Maine, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,30.4,2.9
189612,24.2,-3.3
189712,27.4,-0.1
189812,26.2,-1.3
189912,30.9,3.4
190012,25.2,-2.3
190112,28.2,0.7
190212,25.4,-2.1
190312,24.3,-3.2
190412,17.4,-10.1
190512,28.6,1.1
190612,23.7,-3.8
190712,31.3,3.8
190812,25.4,-2.1
190912,26.2,-1.3
191012,22.9,-4.6
191112,31.4,3.9
191212,31.2,3.7
191312,30.5,3.0
191412,25.3,-2.2
191512,29.3,1.8
191612,26.3,-1.2
191712,18.5,-9.0
191812,27.6,0.1
191912,22.9,-4.6
192012,27.4,-0.1
192112,26.1,-1.4
192212,23.7,-3.8
192312,33.5,6.0
192412,23,-4.5
192512,25.7,-1.8
192612,23,-4.5
192712,30.9,3.4
192812,32,4.5
192912,23.7,-3.8
193012,27.5,0.0
193112,29.8,2.3
193212,32.6,5.1
193312,19.4,-8.1
193412,22.6,-4.9
193512,22.4,-5.1
193612,30.1,2.6
193712,25.4,-2.1
193812,29.4,1.9
193912,27.2,-0.3
194012,26.8,-0.7
194112,30.5,3.0
194212,22.5,-5.0
194312,22.8,-4.7
194412,25.6,-1.9
194512,24.3,-3.2
194612,27.1,-0.4
194712,24.4,-3.1
194812,31.6,4.1
194912,32,4.5
195012,31.4,3.9
195112,27.8,0.3
195212,30.3,2.8
195312,35.5,8.0
195412,29.3,1.8
195512,21.5,-6.0
195612,28.9,1.4
195712,34.5,7.0
195812,19.8,-7.7
195912,29.4,1.9
196012,27.4,-0.1
196112,29.1,1.6
196212,28.1,0.6
196312,19.9,-7.6
196412,27.2,-0.3
196512,28,0.5
196612,30.3,2.8
196712,29.2,1.7
196812,26,-1.5
196912,29.6,2.1
197012,20.6,-6.9
197112,27.3,-0.2
197212,24.5,-3.0
197312,35.1,7.6
197412,31,3.5
197512,26.4,-1.1
197612,22.8,-4.7
197712,26.7,-0.8
197812,28.4,0.9
197912,31,3.5
198012,23,-4.5
198112,30.2,2.7
198212,34.2,6.7
198312,27.3,-0.2
198412,31.6,4.1
198512,25.7,-1.8
198612,30,2.5
198712,29.7,2.2
198812,27.1,-0.4
198912,15.5,-12.0
199012,34,6.5
199112,27.1,-0.4
199212,30.1,2.6
199312,30,2.5
199412,32.9,5.4
199512,25.4,-2.1
199612,34.6,7.1
199712,29.9,2.4
199812,35.4,7.9
199912,32.4,4.9
200012,26,-1.5
200112,36.1,8.6
200212,29.7,2.2
200312,31.9,4.4
200412,28.2,0.7
200512,29.1,1.6
200612,35.5,8.0
200712,26.4,-1.1
200812,30.2,2.7
200912,29.2,1.7
201012,30.5,3.0
201112,35,7.5
201212,32.2,4.7
201312,24.6,-2.9
201412,32.5,5.0
201512,37.2,9.7
