Delaware, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,47.8,2.8
189612,42.8,-2.2
189712,46.2,1.2
189812,45,0.0
189912,46,1.0
190012,44.8,-0.2
190112,43.8,-1.2
190212,42.6,-2.4
190312,39.6,-5.4
190412,37.9,-7.1
190512,46.4,1.4
190612,44.8,-0.2
190712,46.8,1.8
190812,44.7,-0.3
190912,39.1,-5.9
191012,36.9,-8.1
191112,49.1,4.1
191212,48.6,3.6
191312,47.5,2.5
191412,38.6,-6.4
191512,41.4,-3.6
191612,42.1,-2.9
191712,35.5,-9.5
191812,47.9,2.9
191912,40.5,-4.5
192012,46.1,1.1
192112,44,-1.0
192212,44.6,-0.4
192312,52.6,7.6
192412,45.2,0.2
192512,42.9,-2.1
192612,39.4,-5.6
192712,46.8,1.8
192812,45.4,0.4
192912,45.9,0.9
193012,41.6,-3.4
193112,52.3,7.3
193212,47.6,2.6
193312,45.4,0.4
193412,44.1,-0.9
193512,36.9,-8.1
193612,47.6,2.6
193712,43.3,-1.7
193812,45.2,0.2
193912,45.8,0.8
194012,49.2,4.2
194112,49.1,4.1
194212,40.6,-4.4
194312,44.5,-0.5
194412,40.8,-4.2
194512,37.5,-7.5
194612,50.4,5.4
194712,42.7,-2.3
194812,47,2.0
194912,48.8,3.8
195012,41.9,-3.1
195112,48.7,3.7
195212,45.4,0.4
195312,49.2,4.2
195412,44.2,-0.8
195512,39.3,-5.7
195612,52.7,7.7
195712,48,3.0
195812,37.8,-7.2
195912,47.8,2.8
196012,39.7,-5.3
196112,42.8,-2.2
196212,38.6,-6.4
196312,37.4,-7.6
196412,47.4,2.4
196512,48.1,3.1
196612,44.1,-0.9
196712,46.2,1.2
196812,42.8,-2.2
196912,40.9,-4.1
197012,44.7,-0.3
197112,52.3,7.3
197212,49.3,4.3
197312,48.1,3.1
197412,48.6,3.6
197512,46.3,1.3
197612,41.3,-3.7
197712,44.4,-0.6
197812,49.1,4.1
197912,47.9,2.9
198012,44,-1.0
198112,42.1,-2.9
198212,51.5,6.5
198312,43.6,-1.4
198412,53.7,8.7
198512,43.3,-1.7
198612,46.5,1.5
198712,48.4,3.4
198812,46.1,1.1
198912,34,-11.0
199012,52.3,7.3
199112,50.6,5.6
199212,46.3,1.3
199312,44,-1.0
199412,51.4,6.4
199512,40.6,-4.4
199612,49.2,4.2
199712,47.6,2.6
199812,51.6,6.6
199912,49.5,4.5
200012,40.2,-4.8
200112,53.8,8.8
200212,44.7,-0.3
200312,46.7,1.7
200412,48.7,3.7
200512,44.1,-0.9
200612,54.2,9.2
200712,47.1,2.1
200812,50.5,5.5
200912,45.1,0.1
201012,39.1,-5.9
201112,53.7,8.7
201212,52.5,7.5
201312,49.5,4.5
201412,48.5,3.5
201512,59.4,14.4
