Kentucky, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,37.3,-5.7
189601,41.8,-1.2
189701,39.5,-3.5
189801,47,4.0
189901,42.1,-0.9
190001,45.1,2.1
190101,44.9,1.9
190201,41.9,-1.1
190301,41.9,-1.1
190401,40.2,-2.8
190501,35.5,-7.5
190601,47.5,4.5
190701,51.9,8.9
190801,42.7,-0.3
190901,46.1,3.1
191001,42.4,-0.6
191101,47.6,4.6
191201,35,-8.0
191301,51.4,8.4
191401,46.3,3.3
191501,40.4,-2.6
191601,51.1,8.1
191701,46,3.0
191801,29.8,-13.2
191901,46.9,3.9
192001,41.1,-1.9
192101,47.6,4.6
192201,42.3,-0.7
192301,48.9,5.9
192401,41.1,-1.9
192501,43.8,0.8
192601,42.7,-0.3
192701,42.9,-0.1
192801,43.2,0.2
192901,43.8,0.8
193001,42.6,-0.4
193101,45.2,2.2
193201,52.1,9.1
193301,51.5,8.5
193401,48.1,5.1
193501,45.2,2.2
193601,37,-6.0
193701,51,8.0
193801,44.3,1.3
193901,48.2,5.2
194001,29.4,-13.6
194101,43.4,0.4
194201,42.2,-0.8
194301,46.5,3.5
194401,46,3.0
194501,38.2,-4.8
194601,45,2.0
194701,47.9,4.9
194801,35.4,-7.6
194901,50.9,7.9
195001,53.5,10.5
195101,45.5,2.5
195201,49,6.0
195301,48.6,5.6
195401,44.6,1.6
195501,41.7,-1.3
195601,40.1,-2.9
195701,40.5,-2.5
195801,39.1,-3.9
195901,42.3,-0.7
196001,43.3,0.3
196101,38.9,-4.1
196201,40.5,-2.5
196301,37.6,-5.4
196401,46.1,3.1
196501,45.2,2.2
196601,36.5,-6.5
196701,47.2,4.2
196801,39.1,-3.9
196901,40.7,-2.3
197001,36.6,-6.4
197101,39.9,-3.1
197201,46.1,3.1
197301,42.7,-0.3
197401,47.4,4.4
197501,47.5,4.5
197601,39.8,-3.2
197701,27.2,-15.8
197801,30.9,-12.1
197901,33.1,-9.9
198001,41.7,-1.3
198101,37.9,-5.1
198201,39.1,-3.9
198301,41.5,-1.5
198401,37.4,-5.6
198501,32.8,-10.2
198601,44.6,1.6
198701,40.5,-2.5
198801,39.3,-3.7
198901,50.4,7.4
199001,51.3,8.3
199101,42.4,-0.6
199201,44.9,1.9
199301,46.4,3.4
199401,35.3,-7.7
199501,43.1,0.1
199601,41.3,-1.7
199701,42.4,-0.6
199801,48.4,5.4
199901,47.3,4.3
200001,43.2,0.2
200101,41.2,-1.8
200201,48.2,5.2
200301,36.9,-6.1
200401,42.5,-0.5
200501,46.9,3.9
200601,53.3,10.3
200701,46.6,3.6
200801,42.8,-0.2
200901,39.4,-3.6
201001,37.6,-5.4
201101,38.4,-4.6
201201,49.1,6.1
201301,45.5,2.5
201401,38.1,-4.9
201501,41.6,-1.4
201601,41.5,-1.5
