Mississippi, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,47.5,-12.1
189602,58.6,-1.0
189702,61.1,1.5
189802,59.3,-0.3
189902,47.9,-11.7
190002,56.4,-3.2
190102,54.5,-5.1
190202,50.8,-8.8
190302,58.4,-1.2
190402,61.9,2.3
190502,48.3,-11.3
190602,57.7,-1.9
190702,61.9,2.3
190802,57.2,-2.4
190902,63.3,3.7
191002,55.6,-4.0
191102,65.9,6.3
191202,54.6,-5.0
191302,56.8,-2.8
191402,57.4,-2.2
191502,59.1,-0.5
191602,59.5,-0.1
191702,61.7,2.1
191802,64.7,5.1
191902,59.5,-0.1
192002,57.9,-1.7
192102,62.7,3.1
192202,62.2,2.6
192302,57.1,-2.5
192402,58.4,-1.2
192502,65,5.4
192602,63.5,3.9
192702,67.7,8.1
192802,59.6,0.0
192902,54.2,-5.4
193002,66,6.4
193102,62.2,2.6
193202,68.6,9.0
193302,58.8,-0.8
193402,57.9,-1.7
193502,61.4,1.8
193602,54.6,-5.0
193702,58.9,-0.7
193802,65.6,6.0
193902,62.6,3.0
194002,55,-4.6
194102,54.1,-5.5
194202,54.5,-5.1
194302,63.1,3.5
194402,63.7,4.1
194502,62.1,2.5
194602,63.2,3.6
194702,53.8,-5.8
194802,57.5,-2.1
194902,61.8,2.2
195002,65.1,5.5
195102,60.7,1.1
195202,62.8,3.2
195302,60.5,0.9
195402,67.4,7.8
195502,59.9,0.3
195602,63.7,4.1
195702,65.8,6.2
195802,50.6,-9.0
195902,59.9,0.3
196002,53.3,-6.3
196102,63.2,3.6
196202,68.1,8.5
196302,54.8,-4.8
196402,54.3,-5.3
196502,57.6,-2.0
196602,56.8,-2.8
196702,55.6,-4.0
196802,51.8,-7.8
196902,57.3,-2.3
197002,57.7,-1.9
197102,58.9,-0.7
197202,59.7,0.1
197302,57,-2.6
197402,60.3,0.7
197502,61.8,2.2
197602,67.5,7.9
197702,60.2,0.6
197802,49.1,-10.5
197902,52.4,-7.2
198002,54.3,-5.3
198102,59.3,-0.3
198202,56.6,-3.0
198302,56.8,-2.8
198402,61.7,2.1
198502,54.1,-5.5
198602,63.4,3.8
198702,58.7,-0.9
198802,57.6,-2.0
198902,55.7,-3.9
199002,65.3,5.7
199102,61.4,1.8
199202,63.8,4.2
199302,58.7,-0.9
199402,60.6,1.0
199502,59.8,0.2
199602,59.3,-0.3
199702,60.3,0.7
199802,60.2,0.6
199902,65.2,5.6
200002,66.6,7.0
200102,63.8,4.2
200202,58.2,-1.4
200302,56.3,-3.3
200402,54.9,-4.7
200502,60.9,1.3
200602,56.9,-2.7
200702,57.9,-1.7
200802,62.3,2.7
200902,63.3,3.7
201002,50.5,-9.1
201102,61.3,1.7
201202,61.7,2.1
201302,59.5,-0.1
201402,56.7,-2.9
201502,52.8,-6.8
201602,62.4,2.8
