Montana, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,64.2,-3.4
189609,61.9,-5.7
189709,71.8,4.2
189809,67.5,-0.1
189909,71.3,3.7
190009,63.5,-4.1
190109,59.1,-8.5
190209,66.3,-1.3
190309,62.7,-4.9
190409,69.4,1.8
190509,70.9,3.3
190609,71.2,3.6
190709,64.9,-2.7
190809,70.2,2.6
190909,69.1,1.5
191009,64.6,-3.0
191109,63.7,-3.9
191209,58.4,-9.2
191309,70.2,2.6
191409,68.3,0.7
191509,60.9,-6.7
191609,66.5,-1.1
191709,69.2,1.6
191809,67,-0.6
191909,68.1,0.5
192009,68.6,1.0
192109,61.9,-5.7
192209,73.2,5.6
192309,70.1,2.5
192409,68.6,1.0
192509,64.5,-3.1
192609,58.4,-9.2
192709,64.6,-3.0
192809,68.5,0.9
192909,61.9,-5.7
193009,68.1,0.5
193109,68.6,1.0
193209,69.5,1.9
193309,67.8,0.2
193409,62.7,-4.9
193509,71.9,4.3
193609,70.1,2.5
193709,70.7,3.1
193809,76.4,8.8
193909,71,3.4
194009,72.7,5.1
194109,60.3,-7.3
194209,67.7,0.1
194309,71.4,3.8
194409,69.5,1.9
194509,64.5,-3.1
194609,65.8,-1.8
194709,66,-1.6
194809,72,4.4
194909,68.9,1.3
195009,65.9,-1.7
195109,62.4,-5.2
195209,73.2,5.6
195309,72.1,4.5
195409,66.4,-1.2
195509,67.1,-0.5
195609,70,2.4
195709,68.3,0.7
195809,69.2,1.6
195909,63.8,-3.8
196009,71.4,3.8
196109,59.9,-7.7
196209,68.1,0.5
196309,74.2,6.6
196409,63.7,-3.9
196509,53.4,-14.2
196609,73.5,5.9
196709,74.4,6.8
196809,66.7,-0.9
196909,72.1,4.5
197009,64.2,-3.4
197109,64.4,-3.2
197209,63.6,-4.0
197309,65.4,-2.2
197409,67.5,-0.1
197509,68.7,1.1
197609,72.6,5.0
197709,65.5,-2.1
197809,68.5,0.9
197909,75.1,7.5
198009,68.1,0.5
198109,72.3,4.7
198209,65.9,-1.7
198309,65.1,-2.5
198409,61.6,-6.0
198509,57.9,-9.7
198609,57.9,-9.7
198709,72.6,5.0
198809,67.9,0.3
198909,69.5,1.9
199009,77,9.4
199109,69.9,2.3
199209,67.9,0.3
199309,65.5,-2.1
199409,74.7,7.1
199509,68.7,1.1
199609,65.5,-2.1
199709,73.1,5.5
199809,76.3,8.7
199909,65.9,-1.7
200009,68.3,0.7
200109,73.8,6.2
200209,69.5,1.9
200309,68.9,1.3
200409,67.3,-0.3
200509,69.8,2.2
200609,68.5,0.9
200709,69.6,2.0
200809,68.1,0.5
200909,77.3,9.7
201009,67,-0.6
201109,74.8,7.2
201209,74.8,7.2
201309,71.5,3.9
201409,68.7,1.1
201509,71.9,4.3
