Washington, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,61.6,-2.0
189605,58.9,-4.7
189705,69,5.4
189805,65,1.4
189905,58.1,-5.5
190005,64.5,0.9
190105,63.7,0.1
190205,61.8,-1.8
190305,62.4,-1.2
190405,63.2,-0.4
190505,61.9,-1.7
190605,62.6,-1.0
190705,66.4,2.8
190805,59.7,-3.9
190905,61.4,-2.2
191005,68.3,4.7
191105,60.4,-3.2
191205,65.3,1.7
191305,62.4,-1.2
191405,67.5,3.9
191505,61.9,-1.7
191605,59,-4.6
191705,60.4,-3.2
191805,61.1,-2.5
191905,63,-0.6
192005,60.7,-2.9
192105,64.4,0.8
192205,63,-0.6
192305,62.5,-1.1
192405,71.1,7.5
192505,67.5,3.9
192605,63.7,0.1
192705,58.9,-4.7
192805,70,6.4
192905,64.3,0.7
193005,61.9,-1.7
193105,68.7,5.1
193205,62.5,-1.1
193305,57.9,-5.7
193405,67.6,4.0
193505,65.1,1.5
193605,68.1,4.5
193705,64.9,1.3
193805,65.5,1.9
193905,66.4,2.8
194005,68.4,4.8
194105,62.6,-1.0
194205,60.9,-2.7
194305,60,-3.6
194405,64.6,1.0
194505,65,1.4
194605,67.7,4.1
194705,69.6,6.0
194805,59.6,-4.0
194905,68.1,4.5
195005,61.4,-2.2
195105,64.4,0.8
195205,65.1,1.5
195305,61.5,-2.1
195405,64.7,1.1
195505,58.2,-5.4
195605,67.8,4.2
195705,66.7,3.1
195805,71.9,8.3
195905,60.4,-3.2
196005,59.3,-4.3
196105,61.9,-1.7
196205,57.6,-6.0
196305,64.5,0.9
196405,61.3,-2.3
196505,61.4,-2.2
196605,66,2.4
196705,62.6,-1.0
196805,63.5,-0.1
196905,67.4,3.8
197005,64,0.4
197105,64.8,1.2
197205,65.5,1.9
197305,65.7,2.1
197405,58.6,-5.0
197505,62.4,-1.2
197605,63.6,0.0
197705,58.9,-4.7
197805,60.5,-3.1
197905,65.3,1.7
198005,62.2,-1.4
198105,61.2,-2.4
198205,63,-0.6
198305,66.8,3.2
198405,58.4,-5.2
198505,65.2,1.6
198605,63.4,-0.2
198705,66.3,2.7
198805,62.9,-0.7
198905,62.5,-1.1
199005,60.6,-3.0
199105,59.8,-3.8
199205,69.8,6.2
199305,68.6,5.0
199405,65.6,2.0
199505,66.7,3.1
199605,58,-5.6
199705,66,2.4
199805,62.7,-0.9
199905,59.9,-3.7
200005,61.6,-2.0
200105,66,2.4
200205,60.5,-3.1
200305,62.4,-1.2
200405,63,-0.6
200505,65.3,1.7
200605,65.2,1.6
200705,65.6,2.0
200805,64.2,0.6
200905,64.8,1.2
201005,59,-4.6
201105,58.8,-4.8
201205,62.4,-1.2
201305,65,1.4
201405,66.2,2.6
201505,67.6,4.0
