Arizona, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,73.9,2.2
189604,69.6,-2.1
189704,72.9,1.2
189804,76.3,4.6
189904,73.7,2.0
190004,64.7,-7.0
190104,69.8,-1.9
190204,75.8,4.1
190304,70.6,-1.1
190404,74.5,2.8
190504,67.2,-4.5
190604,69.3,-2.4
190704,74.1,2.4
190804,72.4,0.7
190904,71.7,0.0
191004,75.2,3.5
191104,71.2,-0.5
191204,65.4,-6.3
191304,71.3,-0.4
191404,72.8,1.1
191504,70.2,-1.5
191604,73.2,1.5
191704,68.7,-3.0
191804,71,-0.7
191904,74,2.3
192004,65.6,-6.1
192104,70.1,-1.6
192204,66.5,-5.2
192304,68.6,-3.1
192404,67.9,-3.8
192504,73.9,2.2
192604,68.5,-3.2
192704,71,-0.7
192804,71.2,-0.5
192904,68.5,-3.2
193004,75.6,3.9
193104,73.3,1.6
193204,72.8,1.1
193304,67.2,-4.5
193404,77.4,5.7
193504,71.3,-0.4
193604,75.9,4.2
193704,71.7,0.0
193804,72.5,0.8
193904,75.2,3.5
194004,72.5,0.8
194104,63.4,-8.3
194204,70.1,-1.6
194304,76.2,4.5
194404,67.4,-4.3
194504,69.8,-1.9
194604,77.1,5.4
194704,72.4,0.7
194804,74.1,2.4
194904,74.3,2.6
195004,76.6,4.9
195104,70.4,-1.3
195204,70.2,-1.5
195304,70.7,-1.0
195404,77.9,6.2
195504,70.6,-1.1
195604,70.3,-1.4
195704,69.6,-2.1
195804,69.6,-2.1
195904,75.9,4.2
196004,74.3,2.6
196104,73.4,1.7
196204,78.1,6.4
196304,69.6,-2.1
196404,68.5,-3.2
196504,68.5,-3.2
196604,74.6,2.9
196704,67,-4.7
196804,68.5,-3.2
196904,73.6,1.9
197004,66.7,-5.0
197104,71,-0.7
197204,74.6,2.9
197304,67.1,-4.6
197404,72.3,0.6
197504,64.4,-7.3
197604,69.9,-1.8
197704,74,2.3
197804,70.5,-1.2
197904,72.2,0.5
198004,71.2,-0.5
198104,75.8,4.1
198204,71.6,-0.1
198304,64.8,-6.9
198404,70.1,-1.6
198504,75.5,3.8
198604,73.1,1.4
198704,76.2,4.5
198804,71.6,-0.1
198904,80.8,9.1
199004,74.1,2.4
199104,71.2,-0.5
199204,76.8,5.1
199304,74.3,2.6
199404,73.1,1.4
199504,69.4,-2.3
199604,76.2,4.5
199704,70.1,-1.6
199804,67,-4.7
199904,67.3,-4.4
200004,78.3,6.6
200104,72.2,0.5
200204,77.9,6.2
200304,70.6,-1.1
200404,71.8,0.1
200504,72.6,0.9
200604,74.6,2.9
200704,74.5,2.8
200804,74.3,2.6
200904,72.4,0.7
201004,70.9,-0.8
201104,73.9,2.2
201204,76.4,4.7
201304,74.8,3.1
201404,74.4,2.7
201504,73.7,2.0
