Tennessee, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,76.6,-1.7
189605,84.3,6.0
189705,75.8,-2.5
189805,82.5,4.2
189905,82.4,4.1
190005,79.4,1.1
190105,77.7,-0.6
190205,83.5,5.2
190305,79.5,1.2
190405,78.1,-0.2
190505,79.8,1.5
190605,79.5,1.2
190705,74.6,-3.7
190805,79.2,0.9
190905,76.8,-1.5
191005,74.5,-3.8
191105,83.7,5.4
191205,79.5,1.2
191305,79.6,1.3
191405,81,2.7
191505,80.2,1.9
191605,81.7,3.4
191705,73.2,-5.1
191805,82.3,4.0
191905,75.5,-2.8
192005,77.2,-1.1
192105,78.8,0.5
192205,79,0.7
192305,74.9,-3.4
192405,73.5,-4.8
192505,76.6,-1.7
192605,80.8,2.5
192705,79.3,1.0
192805,77.3,-1.0
192905,76.6,-1.7
193005,78.6,0.3
193105,75.6,-2.7
193205,78.5,0.2
193305,81.3,3.0
193405,81.4,3.1
193505,77.7,-0.6
193605,83.5,5.2
193705,79.1,0.8
193805,78.3,0.0
193905,78.1,-0.2
194005,76.6,-1.7
194105,83.2,4.9
194205,79.6,1.3
194305,80.6,2.3
194405,82.5,4.2
194505,74.5,-3.8
194605,75.1,-3.2
194705,76.5,-1.8
194805,78.2,-0.1
194905,80.2,1.9
195005,80,1.7
195105,80.1,1.8
195205,80,1.7
195305,80.6,2.3
195405,73.2,-5.1
195505,81,2.7
195605,80.2,1.9
195705,80.1,1.8
195805,78.4,0.1
195905,81.2,2.9
196005,76.4,-1.9
196105,74.7,-3.6
196205,86.6,8.3
196305,78.2,-0.1
196405,80.4,2.1
196505,82.1,3.8
196605,76.4,-1.9
196705,75,-3.3
196805,76.2,-2.1
196905,79.5,1.2
197005,80.7,2.4
197105,74.9,-3.4
197205,77.2,-1.1
197305,74.6,-3.7
197405,77.7,-0.6
197505,79.6,1.3
197605,73.2,-5.1
197705,81.4,3.1
197805,75.8,-2.5
197905,75.8,-2.5
198005,77.4,-0.9
198105,74.5,-3.8
198205,82.1,3.8
198305,74.8,-3.5
198405,75.3,-3.0
198505,77.8,-0.5
198605,78.7,0.4
198705,83.2,4.9
198805,79.1,0.8
198905,74,-4.3
199005,74.8,-3.5
199105,79.8,1.5
199205,75,-3.3
199305,76.9,-1.4
199405,74.4,-3.9
199505,77.3,-1.0
199605,80.1,1.8
199705,73.9,-4.4
199805,80.6,2.3
199905,78.5,0.2
200005,80.2,1.9
200105,78.9,0.6
200205,75.8,-2.5
200305,76.3,-2.0
200405,80.8,2.5
200505,76.3,-2.0
200605,76.2,-2.1
200705,82.5,4.2
200805,76.4,-1.9
200905,76.1,-2.2
201005,80,1.7
201105,76.7,-1.6
201205,82.3,4.0
201305,76.2,-2.1
201405,78.9,0.6
201505,79.8,1.5
