Colorado, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,66.5,0.7
189605,68,2.2
189705,70.5,4.7
189805,61.8,-4.0
189905,66.5,0.7
190005,68.1,2.3
190105,67.6,1.8
190205,68.7,2.9
190305,63.8,-2.0
190405,65.5,-0.3
190505,61.8,-4.0
190605,65.5,-0.3
190705,58.7,-7.1
190805,62.8,-3.0
190905,62.4,-3.4
191005,65.2,-0.6
191105,68,2.2
191205,64.6,-1.2
191305,68.8,3.0
191405,65.5,-0.3
191505,60.9,-4.9
191605,65.1,-0.7
191705,56.5,-9.3
191805,66.5,0.7
191905,67,1.2
192005,65,-0.8
192105,65.7,-0.1
192205,65.6,-0.2
192305,64.9,-0.9
192405,63.3,-2.5
192505,69.6,3.8
192605,65.8,0.0
192705,69.5,3.7
192805,66.2,0.4
192905,64.4,-1.4
193005,63.2,-2.6
193105,64.3,-1.5
193205,67.8,2.0
193305,63,-2.8
193405,74.4,8.6
193505,58,-7.8
193605,69.9,4.1
193705,69,3.2
193805,63.3,-2.5
193905,70,4.2
194005,69,3.2
194105,67.3,1.5
194205,65.9,0.1
194305,63.5,-2.3
194405,66.3,0.5
194505,67.1,1.3
194605,62.3,-3.5
194705,66.7,0.9
194805,67.8,2.0
194905,65.1,-0.7
195005,64.1,-1.7
195105,66.1,0.3
195205,65.7,-0.1
195305,61.3,-4.5
195405,66.6,0.8
195505,65.9,0.1
195605,70,4.2
195705,59.8,-6.0
195805,70,4.2
195905,65.5,-0.3
196005,66.1,0.3
196105,66.1,0.3
196205,68.6,2.8
196305,70.9,5.1
196405,67.5,1.7
196505,65,-0.8
196605,70.2,4.4
196705,63,-2.8
196805,62.7,-3.1
196905,68.9,3.1
197005,69.2,3.4
197105,63.3,-2.5
197205,66.4,0.6
197305,63.9,-1.9
197405,71.5,5.7
197505,63.2,-2.6
197605,65.5,-0.3
197705,67.5,1.7
197805,62.9,-2.9
197905,62.8,-3.0
198005,61.9,-3.9
198105,63,-2.8
198205,63.7,-2.1
198305,60.6,-5.2
198405,68.6,2.8
198505,67,1.2
198605,65.9,0.1
198705,65.5,-0.3
198805,66.5,0.7
198905,68.5,2.7
199005,64.5,-1.3
199105,67.7,1.9
199205,68.2,2.4
199305,66.2,0.4
199405,69.5,3.7
199505,58.4,-7.4
199605,70,4.2
199705,66.6,0.8
199805,69.4,3.6
199905,63.9,-1.9
200005,71.5,5.7
200105,68,2.2
200205,69.2,3.4
200305,68,2.2
200405,69.9,4.1
200505,67.6,1.8
200605,71.3,5.5
200705,67.4,1.6
200805,65.7,-0.1
200905,67.9,2.1
201005,64.2,-1.6
201105,62.9,-2.9
201205,71,5.2
201305,67.2,1.4
201405,66.3,0.5
201505,61.1,-4.7
