Idaho, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,41.3,-1.5
189603,41.3,-1.5
189703,34.1,-8.7
189803,39.5,-3.3
189903,39.4,-3.4
190003,50.8,8.0
190103,41.6,-1.2
190203,39.3,-3.5
190303,40.8,-2.0
190403,37.9,-4.9
190503,47.2,4.4
190603,38.1,-4.7
190703,41.3,-1.5
190803,42.6,-0.2
190903,43.6,0.8
191003,50.4,7.6
191103,45.8,3.0
191203,39.4,-3.4
191303,37.4,-5.4
191403,46.2,3.4
191503,48.5,5.7
191603,44.7,1.9
191703,31.3,-11.5
191803,45.6,2.8
191903,42,-0.8
192003,39.9,-2.9
192103,44.9,2.1
192203,36,-6.8
192303,39.6,-3.2
192403,39.5,-3.3
192503,44.9,2.1
192603,48,5.2
192703,42,-0.8
192803,44.6,1.8
192903,41.9,-0.9
193003,44.4,1.6
193103,42.4,-0.4
193203,38.1,-4.7
193303,40.6,-2.2
193403,53.7,10.9
193503,39.6,-3.2
193603,39.7,-3.1
193703,42.7,-0.1
193803,40,-2.8
193903,44.9,2.1
194003,47.5,4.7
194103,48.6,5.8
194203,40.9,-1.9
194303,39.7,-3.1
194403,39.7,-3.1
194503,41.1,-1.7
194603,44.5,1.7
194703,47.6,4.8
194803,38.8,-4.0
194903,42.8,0.0
195003,39.7,-3.1
195103,38.2,-4.6
195203,36,-6.8
195303,45.4,2.6
195403,40.9,-1.9
195503,35.6,-7.2
195603,41.8,-1.0
195703,43.1,0.3
195803,41,-1.8
195903,43,0.2
196003,42.9,0.1
196103,44,1.2
196203,38.7,-4.1
196303,45,2.2
196403,36.1,-6.7
196503,40.8,-2.0
196603,44.4,1.6
196703,42.3,-0.5
196803,48.3,5.5
196903,40.6,-2.2
197003,41.5,-1.3
197103,39,-3.8
197203,47.4,4.6
197303,41.9,-0.9
197403,42.1,-0.7
197503,39,-3.8
197603,37.9,-4.9
197703,41,-1.8
197803,48.5,5.7
197903,44.3,1.5
198003,41.4,-1.4
198103,47.9,5.1
198203,42.2,-0.6
198303,44.4,1.6
198403,41.6,-1.2
198503,39,-3.8
198603,50.7,7.9
198703,45.3,2.5
198803,44.5,1.7
198903,42.5,-0.3
199003,47.8,5.0
199103,43.1,0.3
199203,53.4,10.6
199303,44.2,1.4
199403,50.2,7.4
199503,43.3,0.5
199603,45.5,2.7
199703,45.4,2.6
199803,44.1,1.3
199903,45,2.2
200003,45.7,2.9
200103,47.3,4.5
200203,40.2,-2.6
200303,45.9,3.1
200403,51.4,8.6
200503,46.8,4.0
200603,42.2,-0.6
200703,50.7,7.9
200803,40.6,-2.2
200903,41.5,-1.3
201003,46.3,3.5
201103,42.3,-0.5
201203,46.5,3.7
201303,46.4,3.6
201403,46.8,4.0
201503,53.5,10.7
201603,46.6,3.8
