Connecticut, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,40.8,3.1
189612,34.9,-2.8
189712,38,0.3
189812,36.1,-1.6
189912,40.1,2.4
190012,38.1,0.4
190112,37.1,-0.6
190212,34.6,-3.1
190312,32.8,-4.9
190412,30.5,-7.2
190512,40.7,3.0
190612,34.2,-3.5
190712,40.2,2.5
190812,38.1,0.4
190912,33,-4.7
191012,31.1,-6.6
191112,41.7,4.0
191212,41.5,3.8
191312,41.2,3.5
191412,34.1,-3.6
191512,35,-2.7
191612,35.4,-2.3
191712,28,-9.7
191812,39.4,1.7
191912,33.2,-4.5
192012,38.8,1.1
192112,36.2,-1.5
192212,35.1,-2.6
192312,43.9,6.2
192412,36.2,-1.5
192512,36.8,-0.9
192612,32.3,-5.4
192712,39.1,1.4
192812,41.3,3.6
192912,35.6,-2.1
193012,36.7,-1.0
193112,42.8,5.1
193212,41.1,3.4
193312,34.7,-3.0
193412,35.6,-2.1
193512,31.7,-6.0
193612,41.2,3.5
193712,35.8,-1.9
193812,37.5,-0.2
193912,38.4,0.7
194012,39.3,1.6
194112,40.7,3.0
194212,32.8,-4.9
194312,35.5,-2.2
194412,35.2,-2.5
194512,32,-5.7
194612,40.4,2.7
194712,35.4,-2.3
194812,40.2,2.5
194912,40.8,3.1
195012,38.1,0.4
195112,40.4,2.7
195212,40.2,2.5
195312,44.4,6.7
195412,38.6,0.9
195512,31.6,-6.1
195612,42,4.3
195712,43.3,5.6
195812,31.9,-5.8
195912,39.7,2.0
196012,34.6,-3.1
196112,36.6,-1.1
196212,34.8,-2.9
196312,30.9,-6.8
196412,37.6,-0.1
196512,40.3,2.6
196612,38.4,0.7
196712,39.9,2.2
196812,35,-2.7
196912,34.5,-3.2
197012,34.8,-2.9
197112,41.7,4.0
197212,38.2,0.5
197312,43,5.3
197412,39.9,2.2
197512,37.9,0.2
197612,33.6,-4.1
197712,35.9,-1.8
197812,40,2.3
197912,41.8,4.1
198012,35.8,-1.9
198112,36.5,-1.2
198212,44.2,6.5
198312,37,-0.7
198412,44.6,6.9
198512,35.3,-2.4
198612,40.1,2.4
198712,40.6,2.9
198812,38.6,0.9
198912,27.1,-10.6
199012,45.4,7.7
199112,41.8,4.1
199212,38.5,0.8
199312,38.8,1.1
199412,44.1,6.4
199512,33.7,-4.0
199612,42.7,5.0
199712,40.2,2.5
199812,46.3,8.6
199912,42.6,4.9
200012,34.8,-2.9
200112,45.8,8.1
200212,37.8,0.1
200312,41.1,3.4
200412,40,2.3
200512,37.1,-0.6
200612,46.9,9.2
200712,37.6,-0.1
200812,41.2,3.5
200912,38.1,0.4
201012,35.8,-1.9
201112,46.3,8.6
201212,43.3,5.6
201312,39.4,1.7
201412,42.1,4.4
201512,51.6,13.9
