New York, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,34.4,-5.9
189603,32.2,-8.1
189703,39.8,-0.5
189803,47.6,7.3
189903,35.8,-4.5
190003,32.5,-7.8
190103,37.2,-3.1
190203,45,4.7
190303,48.2,7.9
190403,36.2,-4.1
190503,39.9,-0.4
190603,32.4,-7.9
190703,42.6,2.3
190803,40.3,0.0
190903,36.1,-4.2
191003,48.1,7.8
191103,36.9,-3.4
191203,35,-5.3
191303,44.8,4.5
191403,36.6,-3.7
191503,35.3,-5.0
191603,32.2,-8.1
191703,38.6,-1.7
191803,43.6,3.3
191903,43,2.7
192003,42.4,2.1
192103,50,9.7
192203,42.1,1.8
192303,36.7,-3.6
192403,37.1,-3.2
192503,44.9,4.6
192603,33.2,-7.1
192703,43.7,3.4
192803,37.6,-2.7
192903,45.7,5.4
193003,39.2,-1.1
193103,39.2,-1.1
193203,34.7,-5.6
193303,36.2,-4.1
193403,38.5,-1.8
193503,43,2.7
193603,45.6,5.3
193703,32.8,-7.5
193803,46,5.7
193903,36.9,-3.4
194003,32,-8.3
194103,33.8,-6.5
194203,42.7,2.4
194303,38.8,-1.5
194403,36.2,-4.1
194503,52.4,12.1
194603,53.8,13.5
194703,36.3,-4.0
194803,42.7,2.4
194903,42,1.7
195003,35,-5.3
195103,40.1,-0.2
195203,38.2,-2.1
195303,42.5,2.2
195403,39.4,-0.9
195503,39.4,-0.9
195603,35.2,-5.1
195703,41.2,0.9
195803,38.5,-1.8
195903,38.8,-1.5
196003,31.2,-9.1
196103,40.4,0.1
196203,40.6,0.3
196303,41.1,0.8
196403,41.7,1.4
196503,36.6,-3.7
196603,41.9,1.6
196703,37.5,-2.8
196803,43.6,3.3
196903,37.4,-2.9
197003,36.5,-3.8
197103,35.9,-4.4
197203,36.5,-3.8
197303,47.9,7.6
197403,39.5,-0.8
197503,37.2,-3.1
197603,44.9,4.6
197703,46.4,6.1
197803,36.3,-4.0
197903,45.3,5.0
198003,38.6,-1.7
198103,40.9,0.6
198203,40,-0.3
198303,42.8,2.5
198403,33.7,-6.6
198503,43.7,3.4
198603,44.4,4.1
198703,45.6,5.3
198803,42,1.7
198903,40.9,0.6
199003,45.4,5.1
199103,43.6,3.3
199203,37.3,-3.0
199303,37.7,-2.6
199403,38.2,-2.1
199503,45.9,5.6
199603,38.3,-2.0
199703,39.5,-0.8
199803,43.8,3.5
199903,39.5,-0.8
200003,48.4,8.1
200103,36.2,-4.1
200203,42.9,2.6
200303,43.3,3.0
200403,44,3.7
200503,37.4,-2.9
200603,41.1,0.8
200703,41.1,0.8
200803,39,-1.3
200903,43.8,3.5
201003,47.8,7.5
201103,40.2,-0.1
201203,54.6,14.3
201303,38.5,-1.8
201403,34.4,-5.9
201503,35.8,-4.5
201603,48.3,8.0
