Massachusetts, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,78.4,0.0
189608,78.6,0.2
189708,75.7,-2.7
189808,78.7,0.3
189908,77.4,-1.0
190008,79.6,1.2
190108,78.2,-0.2
190208,75.2,-3.2
190308,71.3,-7.1
190408,75.9,-2.5
190508,75.3,-3.1
190608,79.8,1.4
190708,77.1,-1.3
190808,75.5,-2.9
190908,76.9,-1.5
191008,75.8,-2.6
191108,77.3,-1.1
191208,74.9,-3.5
191308,78.6,0.2
191408,76.7,-1.7
191508,74.2,-4.2
191608,79.2,0.8
191708,80,1.6
191808,79.4,1.0
191908,74.5,-3.9
192008,79.2,0.8
192108,76.5,-1.9
192208,76.3,-2.1
192308,77.6,-0.8
192408,78.2,-0.2
192508,78.8,0.4
192608,76.9,-1.5
192708,73.7,-4.7
192808,79.6,1.2
192908,77.3,-1.1
193008,77.9,-0.5
193108,78.4,0.0
193208,80.3,1.9
193308,77.5,-0.9
193408,75.9,-2.5
193508,79.6,1.2
193608,79.3,0.9
193708,82,3.6
193808,81.4,3.0
193908,81.7,3.3
194008,77,-1.4
194108,78.6,0.2
194208,77.5,-0.9
194308,78.1,-0.3
194408,82.7,4.3
194508,78.1,-0.3
194608,74.2,-4.2
194708,80.8,2.4
194808,80.9,2.5
194908,82.2,3.8
195008,77.6,-0.8
195108,77.3,-1.1
195208,79.1,0.7
195308,79.7,1.3
195408,76.2,-2.2
195508,81.8,3.4
195608,78.9,0.5
195708,77.5,-0.9
195808,78.4,0.0
195908,81.1,2.7
196008,78.5,0.1
196108,78.4,0.0
196208,76.7,-1.7
196308,77.2,-1.2
196408,74.7,-3.7
196508,79.1,0.7
196608,79.8,1.4
196708,77.5,-0.9
196808,78.7,0.3
196908,81.4,3.0
197008,81.2,2.8
197108,80.1,1.7
197208,77.8,-0.6
197308,81.8,3.4
197408,80.4,2.0
197508,78.7,0.3
197608,77.9,-0.5
197708,79.3,0.9
197808,78.1,-0.3
197908,77.2,-1.2
198008,80.3,1.9
198108,79.1,0.7
198208,76.2,-2.2
198308,80.6,2.2
198408,80.8,2.4
198508,77.6,-0.8
198608,76.1,-2.3
198708,77.9,-0.5
198808,82,3.6
198908,78.4,0.0
199008,79.6,1.2
199108,80.5,2.1
199208,76.5,-1.9
199308,81.2,2.8
199408,77.6,-0.8
199508,81.2,2.8
199608,79.3,0.9
199708,78.2,-0.2
199808,81.1,2.7
199908,79.3,0.9
200008,76.7,-1.7
200108,82.4,4.0
200208,83,4.6
200308,80.9,2.5
200408,78.5,0.1
200508,82.5,4.1
200608,78.7,0.3
200708,80.8,2.4
200808,77.6,-0.8
200908,80.8,2.4
201008,80.8,2.4
201108,79.7,1.3
201208,82.4,4.0
201308,78.9,0.5
201408,78.2,-0.2
201508,82.2,3.8
