Idaho, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,63.6,-5.8
189609,66.6,-2.8
189709,68.9,-0.5
189809,70.9,1.5
189909,72.9,3.5
190009,66.1,-3.3
190109,63.5,-5.9
190209,69.2,-0.2
190309,65.2,-4.2
190409,72.1,2.7
190509,70.8,1.4
190609,71.5,2.1
190709,68.5,-0.9
190809,69.3,-0.1
190909,67.6,-1.8
191009,69.2,-0.2
191109,66.7,-2.7
191209,62,-7.4
191309,69.8,0.4
191409,66.3,-3.1
191509,65.6,-3.8
191609,69.1,-0.3
191709,72.3,2.9
191809,71,1.6
191909,69.4,0.0
192009,67.3,-2.1
192109,63.4,-6.0
192209,74,4.6
192309,72.2,2.8
192409,70.4,1.0
192509,67.6,-1.8
192609,63.6,-5.8
192709,64.6,-4.8
192809,72.6,3.2
192909,65.3,-4.1
193009,69,-0.4
193109,68.3,-1.1
193209,72.3,2.9
193309,68.2,-1.2
193409,67.6,-1.8
193509,74.6,5.2
193609,69.8,0.4
193709,73.5,4.1
193809,76.1,6.7
193909,71.3,1.9
194009,67.8,-1.6
194109,61.8,-7.6
194209,71.9,2.5
194309,75.2,5.8
194409,71.2,1.8
194509,65.9,-3.5
194609,67.7,-1.7
194709,69.9,0.5
194809,70.3,0.9
194909,72.6,3.2
195009,68.5,-0.9
195109,70.7,1.3
195209,74.8,5.4
195309,74.4,5.0
195409,70,0.6
195509,69.4,0.0
195609,72.4,3.0
195709,73.3,3.9
195809,69.2,-0.2
195909,63.4,-6.0
196009,72.9,3.5
196109,62.2,-7.2
196209,72.3,2.9
196309,73.4,4.0
196409,66.9,-2.5
196509,61,-8.4
196609,73.5,4.1
196709,75.4,6.0
196809,66.7,-2.7
196909,71.2,1.8
197009,63.5,-5.9
197109,64,-5.4
197209,63.9,-5.5
197309,67.5,-1.9
197409,73.2,3.8
197509,72.1,2.7
197609,70.7,1.3
197709,66.8,-2.6
197809,65.8,-3.6
197909,75.4,6.0
198009,68.4,-1.0
198109,72.2,2.8
198209,66.3,-3.1
198309,68.1,-1.3
198409,66.4,-3.0
198509,60.7,-8.7
198609,60.6,-8.8
198709,75.3,5.9
198809,69.7,0.3
198909,71.2,1.8
199009,77.9,8.5
199109,72.2,2.8
199209,69,-0.4
199309,70.2,0.8
199409,75.1,5.7
199509,71.9,2.5
199609,66.6,-2.8
199709,71,1.6
199809,74.3,4.9
199909,70.5,1.1
200009,68.1,-1.3
200109,75.5,6.1
200209,70.6,1.2
200309,71.9,2.5
200409,67,-2.4
200509,69.2,-0.2
200609,70.1,0.7
200709,69.4,0.0
200809,71.3,1.9
200909,76.4,7.0
201009,71.6,2.2
201109,75.7,6.3
201209,74.9,5.5
201309,69.2,-0.2
201409,71.9,2.5
201509,71.9,2.5
