Montana, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,62.7,-0.1
189605,58.1,-4.7
189705,71.8,9.0
189805,60,-2.8
189905,56.1,-6.7
190005,68.3,5.5
190105,69.4,6.6
190205,63.5,0.7
190305,60.1,-2.7
190405,61.7,-1.1
190505,58,-4.8
190605,58.8,-4.0
190705,56,-6.8
190805,58.2,-4.6
190905,59,-3.8
191005,64.2,1.4
191105,61.1,-1.7
191205,60.4,-2.4
191305,60.4,-2.4
191405,64.4,1.6
191505,59.5,-3.3
191605,57.5,-5.3
191705,59.3,-3.5
191805,60.6,-2.2
191905,65.8,3.0
192005,60.1,-2.7
192105,60.9,-1.9
192205,60.4,-2.4
192305,63.3,0.5
192405,63.6,0.8
192505,66.2,3.4
192605,65.1,2.3
192705,54.1,-8.7
192805,70.2,7.4
192905,61.4,-1.4
193005,62.1,-0.7
193105,66.9,4.1
193205,64.3,1.5
193305,59.5,-3.3
193405,74.1,11.3
193505,58.5,-4.3
193605,72.8,10.0
193705,67.6,4.8
193805,60,-2.8
193905,68.4,5.6
194005,68.6,5.8
194105,66.8,4.0
194205,58.5,-4.3
194305,58.9,-3.9
194405,66.5,3.7
194505,60.4,-2.4
194605,61,-1.8
194705,64.5,1.7
194805,63.7,0.9
194905,67.8,5.0
195005,58.9,-3.9
195105,64,1.2
195205,64.1,1.3
195305,57.8,-5.0
195405,61.9,-0.9
195505,60.3,-2.5
195605,63,0.2
195705,64.5,1.7
195805,72.7,9.9
195905,58.1,-4.7
196005,62.4,-0.4
196105,63.4,0.6
196205,59.8,-3.0
196305,62.9,0.1
196405,62.6,-0.2
196505,59.7,-3.1
196605,67.4,4.6
196705,59.6,-3.2
196805,59.7,-3.1
196905,66.2,3.4
197005,62.6,-0.2
197105,64,1.2
197205,62.1,-0.7
197305,64.5,1.7
197405,57.2,-5.6
197505,58.4,-4.4
197605,67.4,4.6
197705,64.2,1.4
197805,59.5,-3.3
197905,61,-1.8
198005,67.1,4.3
198105,61.3,-1.5
198205,58.9,-3.9
198305,61,-1.8
198405,62.6,-0.2
198505,68.8,6.0
198605,63.6,0.8
198705,67.7,4.9
198805,69,6.2
198905,62.2,-0.6
199005,60.9,-1.9
199105,61,-1.8
199205,68.3,5.5
199305,67.2,4.4
199405,66.9,4.1
199505,60.5,-2.3
199605,55.8,-7.0
199705,64.5,1.7
199805,67,4.2
199905,60.9,-1.9
200005,64.2,1.4
200105,68.1,5.3
200205,60.4,-2.4
200305,62.2,-0.6
200405,60,-2.8
200505,61.3,-1.5
200605,66.6,3.8
200705,65,2.2
200805,61.2,-1.6
200905,64.6,1.8
201005,57.7,-5.1
201105,57.3,-5.5
201205,62.5,-0.3
201305,64.7,1.9
201405,64.1,1.3
201505,61.7,-1.1
