Minnesota, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,10,-6.5
189601,18.9,2.4
189701,13.1,-3.4
189801,24.8,8.3
189901,15.3,-1.2
190001,25.1,8.6
190101,18.8,2.3
190201,22.3,5.8
190301,17.8,1.3
190401,11.4,-5.1
190501,11.1,-5.4
190601,23.3,6.8
190701,9.7,-6.8
190801,24.6,8.1
190901,16.8,0.3
191001,18.4,1.9
191101,13.3,-3.2
191201,1,-15.5
191301,16,-0.5
191401,23.7,7.2
191501,15.3,-1.2
191601,11.5,-5.0
191701,11.3,-5.2
191801,7.2,-9.3
191901,24.8,8.3
192001,10.4,-6.1
192101,23.8,7.3
192201,17,0.5
192301,19.8,3.3
192401,11.5,-5.0
192501,16.6,0.1
192601,21.5,5.0
192701,16.7,0.2
192801,19.8,3.3
192901,5.4,-11.1
193001,9,-7.5
193101,27.4,10.9
193201,20.7,4.2
193301,25.4,8.9
193401,22.9,6.4
193501,12.6,-3.9
193601,5.9,-10.6
193701,8.1,-8.4
193801,15,-1.5
193901,21.7,5.2
194001,12.1,-4.4
194101,19.7,3.2
194201,24.6,8.1
194301,10.4,-6.1
194401,30.1,13.6
194501,16.5,0.0
194601,18.4,1.9
194701,24.5,8.0
194801,14.5,-2.0
194901,16.7,0.2
195001,9.1,-7.4
195101,13.4,-3.1
195201,16.2,-0.3
195301,19.4,2.9
195401,12.2,-4.3
195501,17.4,0.9
195601,17.6,1.1
195701,12.5,-4.0
195801,24.2,7.7
195901,12.5,-4.0
196001,18.4,1.9
196101,18,1.5
196201,13.4,-3.1
196301,8.8,-7.7
196401,25.1,8.6
196501,13.9,-2.6
196601,6.6,-9.9
196701,19.4,2.9
196801,18.1,1.6
196901,11.5,-5.0
197001,10.4,-6.1
197101,9.5,-7.0
197201,11.4,-5.1
197301,21.8,5.3
197401,15.3,-1.2
197501,19.8,3.3
197601,17.1,0.6
197701,6.6,-9.9
197801,10.1,-6.4
197901,5.9,-10.6
198001,18.1,1.6
198101,24.1,7.6
198201,6.6,-9.9
198301,22.9,6.4
198401,17.7,1.2
198501,16.6,0.1
198601,22.2,5.7
198701,25.4,8.9
198801,15.1,-1.4
198901,25.7,9.2
199001,30.3,13.8
199101,16.5,0.0
199201,25.8,9.3
199301,18.6,2.1
199401,7.3,-9.2
199501,20.2,3.7
199601,12.3,-4.2
199701,13.8,-2.7
199801,21.3,4.8
199901,16.4,-0.1
200001,20.8,4.3
200101,25.1,8.6
200201,27,10.5
200301,19.2,2.7
200401,14.5,-2.0
200501,17,0.5
200601,30.9,14.4
200701,23.1,6.6
200801,18.2,1.7
200901,13.5,-3.0
201001,17.2,0.7
201101,13.9,-2.6
201201,27.4,10.9
201301,21,4.5
201401,13.7,-2.8
201501,22.2,5.7
201601,19.9,3.4
