Wisconsin, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,20.7,-6.0
189602,28.6,1.9
189702,28,1.3
189802,28,1.3
189902,17,-9.7
190002,20.2,-6.5
190102,21,-5.7
190202,25.4,-1.3
190302,25.7,-1.0
190402,16.2,-10.5
190502,20.1,-6.6
190602,25.8,-0.9
190702,27.8,1.1
190802,27.1,0.4
190902,28,1.3
191002,23,-3.7
191102,30.1,3.4
191202,20.4,-6.3
191302,21.3,-5.4
191402,19.2,-7.5
191502,31.7,5.0
191602,21,-5.7
191702,16.8,-9.9
191802,25.6,-1.1
191902,27.6,0.9
192002,23.8,-2.9
192102,31.3,4.6
192202,24.9,-1.8
192302,20.3,-6.4
192402,28,1.3
192502,29.1,2.4
192602,29,2.3
192702,31.4,4.7
192802,28.2,1.5
192902,18.8,-7.9
193002,33.6,6.9
193102,36.8,10.1
193202,30.1,3.4
193302,23.5,-3.2
193402,23.5,-3.2
193502,28.3,1.6
193602,11.6,-15.1
193702,24.3,-2.4
193802,29.6,2.9
193902,23.7,-3.0
194002,27.7,1.0
194102,25.6,-1.1
194202,25.7,-1.0
194302,28.7,2.0
194402,29.6,2.9
194502,27.4,0.7
194602,26.5,-0.2
194702,22.7,-4.0
194802,25.3,-1.4
194902,25.6,-1.1
195002,25.8,-0.9
195102,26,-0.7
195202,31,4.3
195302,27.7,1.0
195402,37,10.3
195502,25.3,-1.4
195602,27,0.3
195702,29.5,2.8
195802,22.7,-4.0
195902,24,-2.7
196002,26.9,0.2
196102,34.3,7.6
196202,22.4,-4.3
196302,21.4,-5.3
196402,32,5.3
196502,24,-2.7
196602,26.9,0.2
196702,21.6,-5.1
196802,25,-1.7
196902,28.5,1.8
197002,27,0.3
197102,25,-1.7
197202,22.6,-4.1
197302,28.7,2.0
197402,26.8,0.1
197502,26.3,-0.4
197602,34.2,7.5
197702,29,2.3
197802,21.9,-4.8
197902,19.4,-7.3
198002,24.5,-2.2
198102,30.6,3.9
198202,25.5,-1.2
198302,32.2,5.5
198402,35.7,9.0
198502,24.3,-2.4
198602,25,-1.7
198702,37.2,10.5
198802,23.9,-2.8
198902,21.2,-5.5
199002,31.9,5.2
199102,32.6,5.9
199202,33,6.3
199302,26.4,-0.3
199402,22.1,-4.6
199502,27.4,0.7
199602,25.8,-0.9
199702,30,3.3
199802,38.6,11.9
199902,35.4,8.7
200002,35.5,8.8
200102,24.8,-1.9
200202,36.1,9.4
200302,24.8,-1.9
200402,30.6,3.9
200502,33.5,6.8
200602,28.1,1.4
200702,20.6,-6.1
200802,23.7,-3.0
200902,30.6,3.9
201002,29.8,3.1
201102,27.7,1.0
201202,35.1,8.4
201302,26.2,-0.5
201402,18.4,-8.3
201502,18,-8.7
