Arkansas, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,52.3,0.8
189612,56.4,4.9
189712,47.7,-3.8
189812,48.3,-3.2
189912,50.2,-1.3
190012,54.3,2.8
190112,47.5,-4.0
190212,47.7,-3.8
190312,50.4,-1.1
190412,51.4,-0.1
190512,46.2,-5.3
190612,54.5,3.0
190712,52.7,1.2
190812,55.4,3.9
190912,44.2,-7.3
191012,50,-1.5
191112,51.1,-0.4
191212,51,-0.5
191312,50.1,-1.4
191412,41.1,-10.4
191512,53.8,2.3
191612,52.2,0.7
191712,44.1,-7.4
191812,56.6,5.1
191912,49.6,-1.9
192012,51.5,0.0
192112,56.6,5.1
192212,56.9,5.4
192312,58,6.5
192412,50.7,-0.8
192512,49.9,-1.6
192612,51.3,-0.2
192712,50.2,-1.3
192812,52.9,1.4
192912,54,2.5
193012,49.4,-2.1
193112,56.5,5.0
193212,47.9,-3.6
193312,59.1,7.6
193412,50.5,-1.0
193512,46.2,-5.3
193612,54,2.5
193712,48.9,-2.6
193812,53.1,1.6
193912,56.1,4.6
194012,56.2,4.7
194112,53.9,2.4
194212,51,-0.5
194312,49.1,-2.4
194412,46.4,-5.1
194512,46.6,-4.9
194612,58.5,7.0
194712,54.8,3.3
194812,53.9,2.4
194912,55.4,3.9
195012,48.9,-2.6
195112,54.2,2.7
195212,51.9,0.4
195312,51.1,-0.4
195412,53.6,2.1
195512,51.4,-0.1
195612,58.2,6.7
195712,57.6,6.1
195812,48.7,-2.8
195912,53.8,2.3
196012,47.1,-4.4
196112,48.9,-2.6
196212,51.2,-0.3
196312,43.4,-8.1
196412,52.1,0.6
196512,56.5,5.0
196612,50.6,-0.9
196712,52.3,0.8
196812,49.6,-1.9
196912,49.4,-2.1
197012,55.9,4.4
197112,56.3,4.8
197212,47.4,-4.1
197312,51.3,-0.2
197412,51.2,-0.3
197512,51.6,0.1
197612,51.6,0.1
197712,51.3,-0.2
197812,52.1,0.6
197912,53.9,2.4
198012,52.6,1.1
198112,50.2,-1.3
198212,55.1,3.6
198312,37.7,-13.8
198412,59.8,8.3
198512,47.9,-3.6
198612,49.3,-2.2
198712,52.7,1.2
198812,54.2,2.7
198912,44.7,-6.8
199012,52.4,0.9
199112,53.3,1.8
199212,50,-1.5
199312,52.6,1.1
199412,53,1.5
199512,49.6,-1.9
199612,54.5,3.0
199712,48.6,-2.9
199812,53.2,1.7
199912,55.2,3.7
200012,40.4,-11.1
200112,55.1,3.6
200212,52.1,0.6
200312,52.8,1.3
200412,52.7,1.2
200512,51.4,-0.1
200612,55.3,3.8
200712,54,2.5
200812,52.2,0.7
200912,46.7,-4.8
201012,49,-2.5
201112,52.7,1.2
201212,56.6,5.1
201312,49.5,-2.0
201412,51,-0.5
201512,60.7,9.2
