Illinois, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,38.6,1.1
189612,41.7,4.2
189712,33.2,-4.3
189812,34.1,-3.4
189912,35.8,-1.7
190012,39,1.5
190112,32,-5.5
190212,34,-3.5
190312,32.5,-5.0
190412,37.1,-0.4
190512,38.5,1.0
190612,38.8,1.3
190712,39.4,1.9
190812,41,3.5
190912,28.1,-9.4
191012,34.2,-3.3
191112,40.8,3.3
191212,42.3,4.8
191312,42,4.5
191412,30,-7.5
191512,35.4,-2.1
191612,36.3,-1.2
191712,29.3,-8.2
191812,45,7.5
191912,30.9,-6.6
192012,39.1,1.6
192112,40.3,2.8
192212,39.8,2.3
192312,47.2,9.7
192412,32.5,-5.0
192512,34.5,-3.0
192612,34.9,-2.6
192712,36.6,-0.9
192812,40.6,3.1
192912,37,-0.5
193012,36.8,-0.7
193112,45.2,7.7
193212,37.2,-0.3
193312,42.1,4.6
193412,33.7,-3.8
193512,31.5,-6.0
193612,42.1,4.6
193712,32.8,-4.7
193812,38.5,1.0
193912,43.3,5.8
194012,41.6,4.1
194112,43.1,5.6
194212,33.2,-4.3
194312,36.4,-1.1
194412,31.2,-6.3
194512,30.5,-7.0
194612,44.2,6.7
194712,40.3,2.8
194812,41,3.5
194912,43.5,6.0
195012,30.4,-7.1
195112,37,-0.5
195212,39.2,1.7
195312,41.2,3.7
195412,38.3,0.8
195512,36.1,-1.4
195612,41.4,3.9
195712,44.1,6.6
195812,33.1,-4.4
195912,42.3,4.8
196012,34.5,-3.0
196112,34.9,-2.6
196212,35.8,-1.7
196312,27,-10.5
196412,35.8,-1.7
196512,45.5,8.0
196612,37.7,0.2
196712,38.7,1.2
196812,36.4,-1.1
196912,34.3,-3.2
197012,41.1,3.6
197112,43.4,5.9
197212,33.8,-3.7
197312,35.2,-2.3
197412,37.7,0.2
197512,39.1,1.6
197612,34.1,-3.4
197712,34,-3.5
197812,37.1,-0.4
197912,42.7,5.2
198012,38.7,1.2
198112,35.2,-2.3
198212,45.2,7.7
198312,24.3,-13.2
198412,44.9,7.4
198512,30.4,-7.1
198612,38.3,0.8
198712,40.2,2.7
198812,40.9,3.4
198912,27.6,-9.9
199012,39.4,1.9
199112,41.6,4.1
199212,38.1,0.6
199312,37.8,0.3
199412,43.4,5.9
199512,36.6,-0.9
199612,38.1,0.6
199712,37.8,0.3
199812,44.1,6.6
199912,41.2,3.7
200012,25.9,-11.6
200112,43.8,6.3
200212,40.8,3.3
200312,41.3,3.8
200412,39.6,2.1
200512,32.9,-4.6
200612,43.7,6.2
200712,37.4,-0.1
200812,36.6,-0.9
200912,36,-1.5
201012,31.1,-6.4
201112,43.4,5.9
201212,44.6,7.1
201312,35.2,-2.3
201412,39.8,2.3
201512,48.3,10.8
