South Dakota, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,75.2,-3.2
189606,80.2,1.8
189706,77,-1.4
189806,79.1,0.7
189906,77.9,-0.5
190006,83.5,5.1
190106,76.4,-2.0
190206,73.6,-4.8
190306,76.5,-1.9
190406,75.1,-3.3
190506,73.9,-4.5
190606,74.8,-3.6
190706,75.7,-2.7
190806,73.9,-4.5
190906,77.4,-1.0
191006,81.2,2.8
191106,87.4,9.0
191206,77.7,-0.7
191306,82.6,4.2
191406,79.6,1.2
191506,71.4,-7.0
191606,72.4,-6.0
191706,75.8,-2.6
191806,80.7,2.3
191906,80,1.6
192006,75.5,-2.9
192106,85.5,7.1
192206,80.5,2.1
192306,77.6,-0.8
192406,73.7,-4.7
192506,76.5,-1.9
192606,78.4,0.0
192706,75.8,-2.6
192806,73.1,-5.3
192906,77.2,-1.2
193006,78.8,0.4
193106,87.7,9.3
193206,80.1,1.7
193306,91.4,13.0
193406,83.9,5.5
193506,75.4,-3.0
193606,86.1,7.7
193706,76.9,-1.5
193806,81.1,2.7
193906,78.1,-0.3
194006,81.2,2.8
194106,77.3,-1.1
194206,74.1,-4.3
194306,76.7,-1.7
194406,76.2,-2.2
194506,69,-9.4
194606,79.5,1.1
194706,73.5,-4.9
194806,75.4,-3.0
194906,81.4,3.0
195006,80.2,1.8
195106,70.8,-7.6
195206,83.3,4.9
195306,79,0.6
195406,76.7,-1.7
195506,75,-3.4
195606,87.5,9.1
195706,75.4,-3.0
195806,74,-4.4
195906,84.5,6.1
196006,75.7,-2.7
196106,83.6,5.2
196206,75.2,-3.2
196306,81.6,3.2
196406,79.2,0.8
196506,76.2,-2.2
196606,80.4,2.0
196706,73.7,-4.7
196806,78.1,-0.3
196906,73.1,-5.3
197006,82,3.6
197106,80.9,2.5
197206,78.7,0.3
197306,80.8,2.4
197406,81,2.6
197506,77.1,-1.3
197606,83.1,4.7
197706,82.6,4.2
197806,79.7,1.3
197906,79,0.6
198006,82.4,4.0
198106,79.3,0.9
198206,73.7,-4.7
198306,76.8,-1.6
198406,77.5,-0.9
198506,76,-2.4
198606,81.1,2.7
198706,83.6,5.2
198806,90,11.6
198906,79.2,0.8
199006,80.3,1.9
199106,80.2,1.8
199206,75.8,-2.6
199306,72.6,-5.8
199406,79.8,1.4
199506,76.7,-1.7
199606,79.7,1.3
199706,80.2,1.8
199806,72.9,-5.5
199906,76.4,-2.0
200006,77.4,-1.0
200106,78,-0.4
200206,84.6,6.2
200306,75.8,-2.6
200406,74.8,-3.6
200506,78.9,0.5
200606,83.2,4.8
200706,80.6,2.2
200806,75.9,-2.5
200906,74.6,-3.8
201006,77.1,-1.3
201106,76.3,-2.1
201206,84.4,6.0
201306,77.2,-1.2
201406,75.6,-2.8
201506,79.5,1.1
