Maryland, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,81.3,3.7
189609,76.5,-1.1
189709,78.8,1.2
189809,79.9,2.3
189909,75.9,-1.7
190009,81.9,4.3
190109,77.1,-0.5
190209,75.7,-1.9
190309,76.6,-1.0
190409,77.3,-0.3
190509,77.3,-0.3
190609,79.5,1.9
190709,77.2,-0.4
190809,76.4,-1.2
190909,75,-2.6
191009,78.7,1.1
191109,77.7,0.1
191209,77.9,0.3
191309,76.2,-1.4
191409,76.3,-1.3
191509,79.4,1.8
191609,76.3,-1.3
191709,71.9,-5.7
191809,73.8,-3.8
191909,78.8,1.2
192009,77.5,-0.1
192109,82.8,5.2
192209,79.1,1.5
192309,77.8,0.2
192409,72.1,-5.5
192509,81.6,4.0
192609,76.4,-1.2
192709,79.3,1.7
192809,72.1,-5.5
192909,79.1,1.5
193009,84.9,7.3
193109,82.7,5.1
193209,79.7,2.1
193309,79.9,2.3
193409,77.1,-0.5
193509,75.1,-2.5
193609,79.1,1.5
193709,75,-2.6
193809,74.7,-2.9
193909,79.4,1.8
194009,75.4,-2.2
194109,82.2,4.6
194209,78.7,1.1
194309,77.8,0.2
194409,77.5,-0.1
194509,79.8,2.2
194609,79,1.4
194709,77.6,0.0
194809,77.7,0.1
194909,74.9,-2.7
195009,72.8,-4.8
195109,78.8,1.2
195209,78.4,0.8
195309,79.1,1.5
195409,80.6,3.0
195509,76.4,-1.2
195609,74.9,-2.7
195709,78.1,0.5
195809,77.3,-0.3
195909,80.6,3.0
196009,77,-0.6
196109,82.4,4.8
196209,74.3,-3.3
196309,74.7,-2.9
196409,78.3,0.7
196509,79.3,1.7
196609,74.4,-3.2
196709,75,-2.6
196809,79.1,1.5
196909,77,-0.6
197009,82.2,4.6
197109,77.9,0.3
197209,77.5,-0.1
197309,79.4,1.8
197409,75.6,-2.0
197509,73.2,-4.4
197609,76.5,-1.1
197709,79.2,1.6
197809,78.6,1.0
197909,76.2,-1.4
198009,81.8,4.2
198109,75.6,-2.0
198209,76.5,-1.1
198309,80,2.4
198409,75.8,-1.8
198509,79.5,1.9
198609,77.6,0.0
198709,78,0.4
198809,76.1,-1.5
198909,77.1,-0.5
199009,76,-1.6
199109,78.1,0.5
199209,75.8,-1.8
199309,77.5,-0.1
199409,76.3,-1.3
199509,77.6,0.0
199609,76.5,-1.1
199709,77.1,-0.5
199809,83.2,5.6
199909,77,-0.6
200009,75.7,-1.9
200109,76.7,-0.9
200209,80.3,2.7
200309,76.6,-1.0
200409,78.1,0.5
200509,83,5.4
200609,74.3,-3.3
200709,81.5,3.9
200809,78.8,1.2
200909,75.5,-2.1
201009,81.9,4.3
201109,77,-0.6
201209,78.5,0.9
201309,77.4,-0.2
201409,78.1,0.5
201509,81,3.4
