Tennessee, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,42.9,-4.2
189601,45.9,-1.2
189701,44.3,-2.8
189801,51.7,4.6
189901,46.7,-0.4
190001,48.2,1.1
190101,48.4,1.3
190201,46,-1.1
190301,46.5,-0.6
190401,45.1,-2.0
190501,39.4,-7.7
190601,50.6,3.5
190701,57.2,10.1
190801,46.7,-0.4
190901,50.7,3.6
191001,47.5,0.4
191101,52.3,5.2
191201,42,-5.1
191301,55,7.9
191401,50.5,3.4
191501,45.1,-2.0
191601,54.3,7.2
191701,50.5,3.4
191801,35.4,-11.7
191901,49.1,2.0
192001,47.5,0.4
192101,51.2,4.1
192201,46.2,-0.9
192301,52.9,5.8
192401,44.4,-2.7
192501,47.9,0.8
192601,46.7,-0.4
192701,48.5,1.4
192801,47.8,0.7
192901,48.7,1.6
193001,46.4,-0.7
193101,47.9,0.8
193201,55,7.9
193301,54.5,7.4
193401,51,3.9
193501,49.1,2.0
193601,42.7,-4.4
193701,55.2,8.1
193801,47.9,0.8
193901,51.6,4.5
194001,33.2,-13.9
194101,48,0.9
194201,46,-1.1
194301,50.1,3.0
194401,48.4,1.3
194501,44.7,-2.4
194601,47.9,0.8
194701,50.2,3.1
194801,39.1,-8.0
194901,54.1,7.0
195001,57.6,10.5
195101,49.2,2.1
195201,53,5.9
195301,52.7,5.6
195401,48.8,1.7
195501,46.1,-1.0
195601,43.6,-3.5
195701,46.3,-0.8
195801,42.6,-4.5
195901,46.7,-0.4
196001,46.2,-0.9
196101,43.3,-3.8
196201,44.5,-2.6
196301,42.1,-5.0
196401,49.4,2.3
196501,50.1,3.0
196601,40.7,-6.4
196701,50,2.9
196801,44,-3.1
196901,44.7,-2.4
197001,40.1,-7.0
197101,45.3,-1.8
197201,50.8,3.7
197301,45.6,-1.5
197401,52.3,5.2
197501,51.9,4.8
197601,44.1,-3.0
197701,32.6,-14.5
197801,35.3,-11.8
197901,37.9,-9.2
198001,46.6,-0.5
198101,43.2,-3.9
198201,43.5,-3.6
198301,44.8,-2.3
198401,42.3,-4.8
198501,37.5,-9.6
198601,49,1.9
198701,44.8,-2.3
198801,42.2,-4.9
198901,53.4,6.3
199001,53.9,6.8
199101,46.7,-0.4
199201,48.5,1.4
199301,49.6,2.5
199401,40.3,-6.8
199501,47.3,0.2
199601,45.6,-1.5
199701,47,-0.1
199801,50.6,3.5
199901,51.9,4.8
200001,47.3,0.2
200101,44.2,-2.9
200201,51.2,4.1
200301,42,-5.1
200401,47.5,0.4
200501,51.7,4.6
200601,55.7,8.6
200701,49.5,2.4
200801,46.4,-0.7
200901,45.1,-2.0
201001,41.6,-5.5
201101,42.9,-4.2
201201,53.1,6.0
201301,49.7,2.6
201401,41.6,-5.5
201501,45.8,-1.3
201601,44.6,-2.5
