Arizona, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,87.3,-3.6
189606,93.9,3.0
189706,88.8,-2.1
189806,91.4,0.5
189906,89.9,-1.0
190006,92.6,1.7
190106,89,-1.9
190206,94.2,3.3
190306,88.8,-2.1
190406,90.7,-0.2
190506,90.2,-0.7
190606,90.1,-0.8
190706,86,-4.9
190806,89.6,-1.3
190906,92.2,1.3
191006,92.4,1.5
191106,89.6,-1.3
191206,90.6,-0.3
191306,88.2,-2.7
191406,88.9,-2.0
191506,89.3,-1.6
191606,92,1.1
191706,92.3,1.4
191806,94.2,3.3
191906,92.1,1.2
192006,88,-2.9
192106,90.4,-0.5
192206,92.5,1.6
192306,87.7,-3.2
192406,94.3,3.4
192506,87.4,-3.5
192606,92.3,1.4
192706,88.9,-2.0
192806,90.7,-0.2
192906,91.8,0.9
193006,91.9,1.0
193106,90.2,-0.7
193206,89.4,-1.5
193306,91.4,0.5
193406,88.2,-2.7
193506,93.3,2.4
193606,94.3,3.4
193706,90,-0.9
193806,91.3,0.4
193906,91.9,1.0
194006,93.6,2.7
194106,87.1,-3.8
194206,91.6,0.7
194306,88.9,-2.0
194406,87.2,-3.7
194506,88.5,-2.4
194606,94,3.1
194706,89,-1.9
194806,90.4,-0.5
194906,89.4,-1.5
195006,91.2,0.3
195106,89.8,-1.1
195206,89.9,-1.0
195306,91.9,1.0
195406,90.1,-0.8
195506,89.4,-1.5
195606,93.9,3.0
195706,92.1,1.2
195806,92.6,1.7
195906,93.9,3.0
196006,94.8,3.9
196106,94.5,3.6
196206,90.1,-0.8
196306,88.2,-2.7
196406,89,-1.9
196506,85.1,-5.8
196606,90.9,0.0
196706,86.7,-4.2
196806,92.1,1.2
196906,88.7,-2.2
197006,91.2,0.3
197106,90.6,-0.3
197206,89.5,-1.4
197306,90.8,-0.1
197406,96.4,5.5
197506,90,-0.9
197606,91.2,0.3
197706,92.8,1.9
197806,93.7,2.8
197906,90.6,-0.3
198006,93,2.1
198106,94.5,3.6
198206,89.2,-1.7
198306,89,-1.9
198406,89.4,-1.5
198506,94,3.1
198606,92.4,1.5
198706,92.9,2.0
198806,92,1.1
198906,92.4,1.5
199006,95.1,4.2
199106,87.7,-3.2
199206,89.4,-1.5
199306,91,0.1
199406,95.7,4.8
199506,88.6,-2.3
199606,94.8,3.9
199706,89.9,-1.0
199806,88.5,-2.4
199906,90.5,-0.4
200006,93.2,2.3
200106,94.3,3.4
200206,96.3,5.4
200306,93,2.1
200406,92.8,1.9
200506,90.8,-0.1
200606,96,5.1
200706,94.3,3.4
200806,94.4,3.5
200906,87.5,-3.4
201006,92.6,1.7
201106,93.1,2.2
201206,95.8,4.9
201306,96.6,5.7
201406,94.4,3.5
201506,94.2,3.3
