Kansas, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,73.4,6.8
189604,73.2,6.6
189704,65.7,-0.9
189804,65.6,-1.0
189904,66.7,0.1
190004,65.8,-0.8
190104,63.9,-2.7
190204,67.9,1.3
190304,67.4,0.8
190404,63.7,-2.9
190504,64.4,-2.2
190604,70.2,3.6
190704,61.3,-5.3
190804,68,1.4
190904,65.6,-1.0
191004,71.2,4.6
191104,67.4,0.8
191204,65.8,-0.8
191304,70.5,3.9
191404,67.2,0.6
191504,69.8,3.2
191604,61.8,-4.8
191704,63.9,-2.7
191804,59.5,-7.1
191904,63.1,-3.5
192004,60.7,-5.9
192104,67,0.4
192204,64.7,-1.9
192304,66.2,-0.4
192404,67.9,1.3
192504,71.4,4.8
192604,61.4,-5.2
192704,67.5,0.9
192804,63.8,-2.8
192904,68.1,1.5
193004,72.2,5.6
193104,64.4,-2.2
193204,69.6,3.0
193304,67.4,0.8
193404,70.1,3.5
193504,63.3,-3.3
193604,68.6,2.0
193704,66.6,0.0
193804,65.9,-0.7
193904,66.6,0.0
194004,66.3,-0.3
194104,65.9,-0.7
194204,68.7,2.1
194304,71.8,5.2
194404,58.8,-7.8
194504,62.6,-4.0
194604,73.2,6.6
194704,63,-3.6
194804,74.4,7.8
194904,65.8,-0.8
195004,65,-1.6
195104,62.1,-4.5
195204,63.7,-2.9
195304,63.4,-3.2
195404,73.6,7.0
195504,73.1,6.5
195604,66,-0.6
195704,60.9,-5.7
195804,62.2,-4.4
195904,66.2,-0.4
196004,69.4,2.8
196104,63.5,-3.1
196204,67,0.4
196304,71.9,5.3
196404,68.9,2.3
196504,70.9,4.3
196604,64.5,-2.1
196704,70.1,3.5
196804,67.7,1.1
196904,68.1,1.5
197004,66.2,-0.4
197104,68.2,1.6
197204,68.6,2.0
197304,62.3,-4.3
197404,68.6,2.0
197504,65.6,-1.0
197604,68,1.4
197704,69.2,2.6
197804,68.5,1.9
197904,65.2,-1.4
198004,65.2,-1.4
198104,75.2,8.6
198204,64.9,-1.7
198304,57.4,-9.2
198404,59.5,-7.1
198504,70.5,3.9
198604,70.9,4.3
198704,69.3,2.7
198804,66.4,-0.2
198904,72.2,5.6
199004,65.4,-1.2
199104,68.2,1.6
199204,67.9,1.3
199304,61.2,-5.4
199404,67.1,0.5
199504,63,-3.6
199604,68.9,2.3
199704,60.7,-5.9
199804,64.2,-2.4
199904,65,-1.6
200004,68.5,1.9
200104,71.7,5.1
200204,69.9,3.3
200304,69.2,2.6
200404,67.9,1.3
200504,67.7,1.1
200604,74.9,8.3
200704,62.5,-4.1
200804,63.3,-3.3
200904,65.1,-1.5
201004,71,4.4
201104,69.1,2.5
201204,71.8,5.2
201304,61.1,-5.5
201404,68.3,1.7
201504,69.6,3.0
