Montana, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,27.4,-4.4
189602,37.7,5.9
189702,28.6,-3.2
189802,36.4,4.6
189902,16.2,-15.6
190002,27.1,-4.7
190102,26.7,-5.1
190202,31.1,-0.7
190302,25.8,-6.0
190402,23.9,-7.9
190502,26.7,-5.1
190602,35.6,3.8
190702,33.2,1.4
190802,32.5,0.7
190902,30.5,-1.3
191002,23.2,-8.6
191102,25.2,-6.6
191202,32.1,0.3
191302,24.2,-7.6
191402,26.6,-5.2
191502,33.7,1.9
191602,28.9,-2.9
191702,22.7,-9.1
191802,28,-3.8
191902,27,-4.8
192002,31.7,-0.1
192102,39.2,7.4
192202,18.6,-13.2
192302,25.6,-6.2
192402,37.9,6.1
192502,36.6,4.8
192602,39.3,7.5
192702,29.7,-2.1
192802,32.6,0.8
192902,21,-10.8
193002,39,7.2
193102,40.7,8.9
193202,32.4,0.6
193302,24.8,-7.0
193402,40.2,8.4
193502,38.2,6.4
193602,7.4,-24.4
193702,25.4,-6.4
193802,26.7,-5.1
193902,23.7,-8.1
194002,30.1,-1.7
194102,36.7,4.9
194202,27.5,-4.3
194302,35.9,4.1
194402,32.3,0.5
194502,33.2,1.4
194602,34.8,3.0
194702,30.7,-1.1
194802,28.4,-3.4
194902,24,-7.8
195002,34.4,2.6
195102,31.6,-0.2
195202,31.9,0.1
195302,35.9,4.1
195402,43.6,11.8
195502,27.1,-4.7
195602,27.7,-4.1
195702,30.7,-1.1
195802,31.7,-0.1
195902,24.9,-6.9
196002,27.6,-4.2
196102,41,9.2
196202,29.2,-2.6
196302,40,8.2
196402,36.6,4.8
196502,31.7,-0.1
196602,30.3,-1.5
196702,35.9,4.1
196802,35.7,3.9
196902,27.1,-4.7
197002,37.1,5.3
197102,32,0.2
197202,29.7,-2.1
197302,36.2,4.4
197402,38.3,6.5
197502,25.7,-6.1
197602,38.1,6.3
197702,41.2,9.4
197802,25.4,-6.4
197902,25.3,-6.5
198002,33.7,1.9
198102,36.9,5.1
198202,29.3,-2.5
198302,40.8,9.0
198402,41.6,9.8
198502,27.8,-4.0
198602,28.8,-3.0
198702,40.4,8.6
198802,36.1,4.3
198902,19.5,-12.3
199002,35.3,3.5
199102,44.4,12.6
199202,44.6,12.8
199302,26.3,-5.5
199402,26.1,-5.7
199502,38.8,7.0
199602,34,2.2
199702,35.1,3.3
199802,40.4,8.6
199902,39.2,7.4
200002,37.7,5.9
200102,27.3,-4.5
200202,37.9,6.1
200302,31.3,-0.5
200402,34,2.2
200502,41.7,9.9
200602,34.3,2.5
200702,31,-0.8
200802,35.1,3.3
200902,35.1,3.3
201002,31,-0.8
201102,26.8,-5.0
201202,35.4,3.6
201302,36.8,5.0
201402,25.1,-6.7
201502,37.6,5.8
