Pennsylvania, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,57.3,-1.0
189604,61.9,3.6
189704,58.1,-0.2
189804,53.5,-4.8
189904,61.3,3.0
190004,57.9,-0.4
190104,54.2,-4.1
190204,56.1,-2.2
190304,57.6,-0.7
190404,52.2,-6.1
190504,57.7,-0.6
190604,60.2,1.9
190704,51.3,-7.0
190804,58.9,0.6
190904,57.7,-0.6
191004,62.7,4.4
191104,55.6,-2.7
191204,59.6,1.3
191304,60,1.7
191404,55.8,-2.5
191504,64.6,6.3
191604,56,-2.3
191704,57.6,-0.7
191804,57.3,-1.0
191904,57.9,-0.4
192004,53.6,-4.7
192104,65.9,7.6
192204,59,0.7
192304,58.6,0.3
192404,55.7,-2.6
192504,62.2,3.9
192604,53.8,-4.5
192704,56.5,-1.8
192804,54.4,-3.9
192904,59.6,1.3
193004,57.3,-1.0
193104,58.1,-0.2
193204,56.5,-1.8
193304,59.9,1.6
193404,58.9,0.6
193504,55.3,-3.0
193604,53.9,-4.4
193704,55.1,-3.2
193804,60.3,2.0
193904,54.4,-3.9
194004,53.4,-4.9
194104,67,8.7
194204,63.8,5.5
194304,52.5,-5.8
194404,54.5,-3.8
194504,63.1,4.8
194604,58.8,0.5
194704,59.4,1.1
194804,61,2.7
194904,58.4,0.1
195004,53.7,-4.6
195104,57.2,-1.1
195204,59.5,1.2
195304,55,-3.3
195404,63.6,5.3
195504,63.3,5.0
195604,55.5,-2.8
195704,59.8,1.5
195804,60.3,2.0
195904,60.7,2.4
196004,63.8,5.5
196104,51.5,-6.8
196204,57.8,-0.5
196304,60.3,2.0
196404,56.8,-1.5
196504,55,-3.3
196604,53.2,-5.1
196704,59.8,1.5
196804,63.3,5.0
196904,62,3.7
197004,59.1,0.8
197104,57.1,-1.2
197204,56.5,-1.8
197304,57.1,-1.2
197404,61.1,2.8
197504,52.3,-6.0
197604,61.9,3.6
197704,62.2,3.9
197804,57.3,-1.0
197904,56.3,-2.0
198004,58.6,0.3
198104,61.9,3.6
198204,56.7,-1.6
198304,54.4,-3.9
198404,56.4,-1.9
198504,63.6,5.3
198604,60.8,2.5
198704,59.5,1.2
198804,57.2,-1.1
198904,56.3,-2.0
199004,60.2,1.9
199104,60.9,2.6
199204,57.3,-1.0
199304,58.9,0.6
199404,63.4,5.1
199504,56.8,-1.5
199604,59,0.7
199704,56.5,-1.8
199804,61.5,3.2
199904,60.6,2.3
200004,58.5,0.2
200104,61.4,3.1
200204,61.8,3.5
200304,59.6,1.3
200404,59,0.7
200504,62.9,4.6
200604,63.8,5.5
200704,54.8,-3.5
200804,63.8,5.5
200904,61.5,3.2
201004,66.4,8.1
201104,59.6,1.3
201204,60.1,1.8
201304,60.5,2.2
201404,60.3,2.0
201504,60.5,2.2
