Texas, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,89.8,1.8
189609,87.9,-0.1
189709,88,0.0
189809,88.8,0.8
189909,89.3,1.3
190009,88.9,0.9
190109,87.6,-0.4
190209,86.2,-1.8
190309,86.3,-1.7
190409,86.1,-1.9
190509,89.3,1.3
190609,87,-1.0
190709,91.2,3.2
190809,87.2,-0.8
190909,88.7,0.7
191009,91.7,3.7
191109,92.8,4.8
191209,88.5,0.5
191309,83.1,-4.9
191409,88.3,0.3
191509,87,-1.0
191609,87.4,-0.6
191709,87.9,-0.1
191809,86.3,-1.7
191909,86.1,-1.9
192009,90,2.0
192109,90.4,2.4
192209,90.7,2.7
192309,87.5,-0.5
192409,87.4,-0.6
192509,88.5,0.5
192609,90.3,2.3
192709,89,1.0
192809,86.4,-1.6
192909,88.7,0.7
193009,91.8,3.8
193109,93.7,5.7
193209,83.4,-4.6
193309,91.3,3.3
193409,88.9,0.9
193509,83.4,-4.6
193609,86.6,-1.4
193709,89.9,1.9
193809,90.1,2.1
193909,92.6,4.6
194009,88.1,0.1
194109,87.5,-0.5
194209,84.6,-3.4
194309,86.7,-1.3
194409,86.8,-1.2
194509,90.6,2.6
194609,85.9,-2.1
194709,91.9,3.9
194809,88.7,0.7
194909,87.5,-0.5
195009,86.2,-1.8
195109,90.1,2.1
195209,89.4,1.4
195309,91.4,3.4
195409,93.4,5.4
195509,89.3,1.3
195609,92.6,4.6
195709,87,-1.0
195809,85.9,-2.1
195909,90,2.0
196009,89.4,1.4
196109,86.7,-1.3
196209,87.9,-0.1
196309,89.4,1.4
196409,86.4,-1.6
196509,88.8,0.8
196609,85.4,-2.6
196709,83.2,-4.8
196809,85.6,-2.4
196909,87,-1.0
197009,86.5,-1.5
197109,85.1,-2.9
197209,88.4,0.4
197309,85.8,-2.2
197409,79.1,-8.9
197509,84.2,-3.8
197609,85.1,-2.9
197709,92.9,4.9
197809,85.3,-2.7
197909,87.4,-0.6
198009,88.7,0.7
198109,87.1,-0.9
198209,90.2,2.2
198309,89.3,1.3
198409,85.9,-2.1
198509,87.9,-0.1
198609,87,-1.0
198709,86.6,-1.4
198809,88.2,0.2
198909,86.1,-1.9
199009,87.4,-0.6
199109,82.6,-5.4
199209,88.4,0.4
199309,87.9,-0.1
199409,87.2,-0.8
199509,86.9,-1.1
199609,84.8,-3.2
199709,90.5,2.5
199809,91,3.0
199909,88.8,0.8
200009,92.8,4.8
200109,86.6,-1.4
200209,88.2,0.2
200309,84.9,-3.1
200409,87,-1.0
200509,93.2,5.2
200609,86.2,-1.8
200709,88.2,0.2
200809,85.1,-2.9
200909,85,-3.0
201009,89.2,1.2
201109,92.6,4.6
201209,89.2,1.2
201309,90.2,2.2
201409,86.6,-1.4
201509,91.6,3.6
