Massachusetts, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,39.4,-4.4
189603,37.7,-6.1
189703,42.8,-1.0
189803,49.2,5.4
189903,38.5,-5.3
190003,39.5,-4.3
190103,40.6,-3.2
190203,48.9,5.1
190303,51.3,7.5
190403,40.1,-3.7
190503,42.9,-0.9
190603,37,-6.8
190703,44.1,0.3
190803,43.9,0.1
190903,40.3,-3.5
191003,49.1,5.3
191103,40.5,-3.3
191203,40.8,-3.0
191303,48.3,4.5
191403,40.8,-3.0
191503,41.2,-2.6
191603,35.2,-8.6
191703,41,-2.8
191803,44.5,0.7
191903,46.2,2.4
192003,44.6,0.8
192103,53,9.2
192203,44.7,0.9
192303,39.5,-4.3
192403,41.3,-2.5
192503,48.1,4.3
192603,37.8,-6.0
192703,47,3.2
192803,41.3,-2.5
192903,47.2,3.4
193003,43.7,-0.1
193103,42.9,-0.9
193203,39.9,-3.9
193303,39.3,-4.5
193403,42.2,-1.6
193503,45.8,2.0
193603,49.1,5.3
193703,39.1,-4.7
193803,46.6,2.8
193903,39.1,-4.7
194003,37.5,-6.3
194103,38.5,-5.3
194203,46.2,2.4
194303,41.5,-2.3
194403,40.5,-3.3
194503,54.8,11.0
194603,56.4,12.6
194703,42.1,-1.7
194803,45.3,1.5
194903,45.7,1.9
195003,39.9,-3.9
195103,43.7,-0.1
195203,41.7,-2.1
195303,45.2,1.4
195403,45.2,1.4
195503,42.8,-1.0
195603,37.9,-5.9
195703,45.1,1.3
195803,42.7,-1.1
195903,43.1,-0.7
196003,36.9,-6.9
196103,43.1,-0.7
196203,43.8,0.0
196303,44,0.2
196403,45,1.2
196503,41.2,-2.6
196603,45.1,1.3
196703,39,-4.8
196803,45.7,1.9
196903,40.7,-3.1
197003,41.1,-2.7
197103,41.5,-2.3
197203,40.5,-3.3
197303,49.2,5.4
197403,44.6,0.8
197503,41.8,-2.0
197603,46.8,3.0
197703,49.1,5.3
197803,41.2,-2.6
197903,47.6,3.8
198003,42.9,-0.9
198103,44.3,0.5
198203,43.9,0.1
198303,45,1.2
198403,38.1,-5.7
198503,48.3,4.5
198603,47.6,3.8
198703,46.2,2.4
198803,46,2.2
198903,44.6,0.8
199003,48.3,4.5
199103,47.5,3.7
199203,41.5,-2.3
199303,41.5,-2.3
199403,43.1,-0.7
199503,46.4,2.6
199603,42.5,-1.3
199703,42.6,-1.2
199803,47.2,3.4
199903,45.8,2.0
200003,51.3,7.5
200103,40.2,-3.6
200203,46.9,3.1
200303,46.3,2.5
200403,45.5,1.7
200503,41.1,-2.7
200603,45.6,1.8
200703,44.8,1.0
200803,44,0.2
200903,45.3,1.5
201003,50.6,6.8
201103,44.6,0.8
201203,54.5,10.7
201303,43.2,-0.6
201403,39.7,-4.1
201503,39.5,-4.3
201603,51,7.2
