Washington, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,70.5,0.6
189606,70.4,0.5
189706,68.3,-1.6
189806,70.4,0.5
189906,67.1,-2.8
190006,72.6,2.7
190106,64.2,-5.7
190206,68.8,-1.1
190306,73,3.1
190406,70.5,0.6
190506,67.8,-2.1
190606,66.3,-3.6
190706,68.2,-1.7
190806,69.2,-0.7
190906,71,1.1
191006,68.9,-1.0
191106,69.6,-0.3
191206,72.4,2.5
191306,69.6,-0.3
191406,68.2,-1.7
191506,69.9,0.0
191606,68.6,-1.3
191706,67.4,-2.5
191806,76,6.1
191906,69,-0.9
192006,68,-1.9
192106,70.6,0.7
192206,76.4,6.5
192306,68.3,-1.6
192406,72.2,2.3
192506,71.8,1.9
192606,74.9,5.0
192706,70.8,0.9
192806,69,-0.9
192906,68.2,-1.7
193006,68.4,-1.5
193106,69.3,-0.6
193206,73.5,3.6
193306,69.6,-0.3
193406,71.9,2.0
193506,70.3,0.4
193606,70.7,0.8
193706,70.1,0.2
193806,73.9,4.0
193906,66.8,-3.1
194006,75.6,5.7
194106,68.7,-1.2
194206,66.8,-3.1
194306,66.7,-3.2
194406,69.9,0.0
194506,69,-0.9
194606,67.3,-2.6
194706,67.8,-2.1
194806,72.9,3.0
194906,70.6,0.7
195006,69.1,-0.8
195106,71.5,1.6
195206,67.7,-2.2
195306,64,-5.9
195406,64.9,-5.0
195506,69.7,-0.2
195606,66,-3.9
195706,70.3,0.4
195806,74.3,4.4
195906,69,-0.9
196006,70.8,0.9
196106,76.4,6.5
196206,69.9,0.0
196306,68.5,-1.4
196406,67.4,-2.5
196506,70.5,0.6
196606,67.3,-2.6
196706,73.5,3.6
196806,69.3,-0.6
196906,74.1,4.2
197006,74.7,4.8
197106,64.4,-5.5
197206,68.9,-1.0
197306,69.2,-0.7
197406,73.2,3.3
197506,67.3,-2.6
197606,66.3,-3.6
197706,73.4,3.5
197806,73.1,3.2
197906,72.1,2.2
198006,65.3,-4.6
198106,64.8,-5.1
198206,73.4,3.5
198306,67.8,-2.1
198406,66.7,-3.2
198506,71.2,1.3
198606,75,5.1
198706,74.1,4.2
198806,68.7,-1.2
198906,72.7,2.8
199006,68.2,-1.7
199106,65.1,-4.8
199206,76.3,6.4
199306,67.6,-2.3
199406,69.4,-0.5
199506,69.4,-0.5
199606,69.7,-0.2
199706,67.7,-2.2
199806,69.9,0.0
199906,66.8,-3.1
200006,70.6,0.7
200106,66.9,-3.0
200206,71.9,2.0
200306,73.9,4.0
200406,72.8,2.9
200506,67.8,-2.1
200606,71.6,1.7
200706,69,-0.9
200806,68,-1.9
200906,72,2.1
201006,66.2,-3.7
201106,66.1,-3.8
201206,65.1,-4.8
201306,69.8,-0.1
201406,69.8,-0.1
201506,79.2,9.3
