Wyoming, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,56.4,5.3
189604,48.9,-2.2
189704,48.9,-2.2
189804,55.2,4.1
189904,50.9,-0.2
190004,51.4,0.3
190104,50,-1.1
190204,48.7,-2.4
190304,49.8,-1.3
190404,52.9,1.8
190504,49.3,-1.8
190604,53.3,2.2
190704,48.9,-2.2
190804,57.1,6.0
190904,45.7,-5.4
191004,60.2,9.1
191104,50.2,-0.9
191204,48.3,-2.8
191304,54.3,3.2
191404,49.8,-1.3
191504,58,6.9
191604,50.7,-0.4
191704,43.8,-7.3
191804,44.1,-7.0
191904,51.6,0.5
192004,40.3,-10.8
192104,49.1,-2.0
192204,44.9,-6.2
192304,49,-2.1
192404,48.5,-2.6
192504,54.5,3.4
192604,54.5,3.4
192704,48.3,-2.8
192804,48.8,-2.3
192904,46.5,-4.6
193004,59.3,8.2
193104,52.3,1.2
193204,51.3,0.2
193304,47.4,-3.7
193404,57.1,6.0
193504,47.5,-3.6
193604,51.1,0.0
193704,49.2,-1.9
193804,51.8,0.7
193904,55.6,4.5
194004,50.6,-0.5
194104,48.8,-2.3
194204,55,3.9
194304,59.1,8.0
194404,48.8,-2.3
194504,44.6,-6.5
194604,59.6,8.5
194704,49.7,-1.4
194804,53.2,2.1
194904,57.6,6.5
195004,49.4,-1.7
195104,49.1,-2.0
195204,55.1,4.0
195304,46.3,-4.8
195404,55,3.9
195504,51.1,0.0
195604,50,-1.1
195704,46.4,-4.7
195804,47.2,-3.9
195904,51.1,0.0
196004,54,2.9
196104,49.5,-1.6
196204,56.1,5.0
196304,49.5,-1.6
196404,48.5,-2.6
196504,52,0.9
196604,48.9,-2.2
196704,50.6,-0.5
196804,46.8,-4.3
196904,55.7,4.6
197004,43.3,-7.8
197104,50.4,-0.7
197204,51.3,0.2
197304,43.9,-7.2
197404,51.3,0.2
197504,43.9,-7.2
197604,51.9,0.8
197704,56.3,5.2
197804,52.3,1.2
197904,51.8,0.7
198004,53.2,2.1
198104,57.6,6.5
198204,49.1,-2.0
198304,45,-6.1
198404,46.5,-4.6
198504,56.8,5.7
198604,51.8,0.7
198704,60.6,9.5
198804,56.7,5.6
198904,54.9,3.8
199004,54.1,3.0
199104,48.9,-2.2
199204,58.3,7.2
199304,50.1,-1.0
199404,54.3,3.2
199504,48.4,-2.7
199604,52.6,1.5
199704,46.3,-4.8
199804,52.2,1.1
199904,47.6,-3.5
200004,56.3,5.2
200104,53.3,2.2
200204,53.6,2.5
200304,55.6,4.5
200404,55.2,4.1
200504,53.5,2.4
200604,57.5,6.4
200704,53.2,2.1
200804,49.7,-1.4
200904,50.1,-1.0
201004,51.3,0.2
201104,48.6,-2.5
201204,58.7,7.6
201304,47.3,-3.8
201404,52.5,1.4
201504,54.5,3.4
