Pennsylvania, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,39.7,3.1
189612,35.7,-0.9
189712,37.8,1.2
189812,34.8,-1.8
189912,36.8,0.2
190012,35.9,-0.7
190112,35,-1.6
190212,33.7,-2.9
190312,30.7,-5.9
190412,30.8,-5.8
190512,38.4,1.8
190612,35.1,-1.5
190712,37.4,0.8
190812,36.6,0.0
190912,31.4,-5.2
191012,29.4,-7.2
191112,41.2,4.6
191212,40.5,3.9
191312,39.6,3.0
191412,31.7,-4.9
191512,33.4,-3.2
191612,35.6,-1.0
191712,27.1,-9.5
191812,41.9,5.3
191912,31.7,-4.9
192012,37.3,0.7
192112,36.2,-0.4
192212,37.5,0.9
192312,44.7,8.1
192412,35.4,-1.2
192512,34.3,-2.3
192612,31.8,-4.8
192712,37.7,1.1
192812,39.9,3.3
192912,36.8,0.2
193012,33.9,-2.7
193112,43.5,6.9
193212,40,3.4
193312,38.1,1.5
193412,35.3,-1.3
193512,29.6,-7.0
193612,39.6,3.0
193712,34,-2.6
193812,36.5,-0.1
193912,38.5,1.9
194012,41,4.4
194112,40.6,4.0
194212,32,-4.6
194312,35.6,-1.0
194412,32.2,-4.4
194512,30.6,-6.0
194612,40.9,4.3
194712,36.1,-0.5
194812,38.7,2.1
194912,40.2,3.6
195012,32.6,-4.0
195112,38.6,2.0
195212,38.1,1.5
195312,41.5,4.9
195412,35.4,-1.2
195512,32.9,-3.7
195612,43,6.4
195712,41,4.4
195812,29.9,-6.7
195912,39,2.4
196012,31.2,-5.4
196112,35.9,-0.7
196212,32.8,-3.8
196312,29,-7.6
196412,38.3,1.7
196512,40.6,4.0
196612,35.9,-0.7
196712,38.8,2.2
196812,33.8,-2.8
196912,31.7,-4.9
197012,37.1,0.5
197112,43.4,6.8
197212,39.6,3.0
197312,38.5,1.9
197412,37.8,1.2
197512,37.2,0.6
197612,32.5,-4.1
197712,34.5,-2.1
197812,38.9,2.3
197912,40.5,3.9
198012,35.3,-1.3
198112,34.3,-2.3
198212,44.9,8.3
198312,31.9,-4.7
198412,44.7,8.1
198512,33.2,-3.4
198612,38.1,1.5
198712,39.5,2.9
198812,38.1,1.5
198912,25.5,-11.1
199012,43.3,6.7
199112,41.4,4.8
199212,37.2,0.6
199312,36.2,-0.4
199412,43.4,6.8
199512,31.9,-4.7
199612,40.8,4.2
199712,38.8,2.2
199812,45.3,8.7
199912,40.4,3.8
200012,30.5,-6.1
200112,44.6,8.0
200212,35.3,-1.3
200312,38.3,1.7
200412,39.2,2.6
200512,33.6,-3.0
200612,46.4,9.8
200712,38.1,1.5
200812,39.1,2.5
200912,36.1,-0.5
201012,31.7,-4.9
201112,43.3,6.7
201212,42.8,6.2
201312,38.5,1.9
201412,40.1,3.5
201512,50.1,13.5
