Alabama, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,57.1,-0.3
189612,57.7,0.3
189712,58,0.6
189812,54.3,-3.1
189912,55.6,-1.8
190012,57.5,0.1
190112,53.7,-3.7
190212,55.6,-1.8
190312,52.8,-4.6
190412,57,-0.4
190512,52.7,-4.7
190612,60.4,3.0
190712,55.5,-1.9
190812,61.6,4.2
190912,52.1,-5.3
191012,53.2,-4.2
191112,60.1,2.7
191212,56.9,-0.5
191312,57.2,-0.2
191412,51.5,-5.9
191512,58,0.6
191612,58.2,0.8
191712,50.9,-6.5
191812,59.5,2.1
191912,58.8,1.4
192012,55.2,-2.2
192112,62.6,5.2
192212,63.7,6.3
192312,62.8,5.4
192412,58.5,1.1
192512,55.7,-1.7
192612,61.8,4.4
192712,57,-0.4
192812,58.3,0.9
192912,56.2,-1.2
193012,52.3,-5.1
193112,63.6,6.2
193212,58.9,1.5
193312,66.5,9.1
193412,55.3,-2.1
193512,49.4,-8.0
193612,58.5,1.1
193712,55.9,-1.5
193812,57.7,0.3
193912,60,2.6
194012,60.1,2.7
194112,59.9,2.5
194212,58.4,1.0
194312,56.4,-1.0
194412,55.7,-1.7
194512,50.9,-6.5
194612,63.1,5.7
194712,59.2,1.8
194812,60,2.6
194912,60.2,2.8
195012,51.7,-5.7
195112,61.7,4.3
195212,56.1,-1.3
195312,54.8,-2.6
195412,56.6,-0.8
195512,56.8,-0.6
195612,66.1,8.7
195712,59.4,2.0
195812,54,-3.4
195912,57.9,0.5
196012,53.7,-3.7
196112,57.1,-0.3
196212,54.4,-3.0
196312,48.8,-8.6
196412,58.9,1.5
196512,59.3,1.9
196612,56.4,-1.0
196712,60.6,3.2
196812,54.3,-3.1
196912,55.1,-2.3
197012,61.5,4.1
197112,64.3,6.9
197212,59.2,1.8
197312,57.9,0.5
197412,57.5,0.1
197512,56.5,-0.9
197612,54.2,-3.2
197712,56,-1.4
197812,59.3,1.9
197912,57.6,0.2
198012,58,0.6
198112,53.5,-3.9
198212,62,4.6
198312,52.1,-5.3
198412,66.6,9.2
198512,54,-3.4
198612,54.5,-2.9
198712,61.5,4.1
198812,59.3,1.9
198912,49.1,-8.3
199012,62,4.6
199112,60.8,3.4
199212,55.9,-1.5
199312,55.7,-1.7
199412,59.8,2.4
199512,55.2,-2.2
199612,60.6,3.2
199712,54.8,-2.6
199812,60.9,3.5
199912,59.5,2.1
200012,49.8,-7.6
200112,62,4.6
200212,56.3,-1.1
200312,56.3,-1.1
200412,56.8,-0.6
200512,55.5,-1.9
200612,61.8,4.4
200712,62.6,5.2
200812,60.3,2.9
200912,54.1,-3.3
201012,51.8,-5.6
201112,60.2,2.8
201212,61.8,4.4
201312,58.2,0.8
201412,60.2,2.8
201512,66.7,9.3
