New Mexico, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,82.4,-3.1
189606,89.7,4.2
189706,84.2,-1.3
189806,83.4,-2.1
189906,85,-0.5
190006,87.6,2.1
190106,85.3,-0.2
190206,89,3.5
190306,78,-7.5
190406,82,-3.5
190506,84.6,-0.9
190606,86.3,0.8
190706,81.7,-3.8
190806,85.2,-0.3
190906,86.6,1.1
191006,87.2,1.7
191106,84.7,-0.8
191206,82.6,-2.9
191306,80.9,-4.6
191406,83.6,-1.9
191506,84.7,-0.8
191606,87.4,1.9
191706,85.9,0.4
191806,87.1,1.6
191906,82,-3.5
192006,82.4,-3.1
192106,82,-3.5
192206,86.5,1.0
192306,85.7,0.2
192406,90.5,5.0
192506,85.4,-0.1
192606,85.2,-0.3
192706,84.1,-1.4
192806,86.1,0.6
192906,87.4,1.9
193006,86.7,1.2
193106,86.7,1.2
193206,83.8,-1.7
193306,85,-0.5
193406,87.6,2.1
193506,85.8,0.3
193606,87.7,2.2
193706,84.5,-1.0
193806,84.8,-0.7
193906,87.7,2.2
194006,84.8,-0.7
194106,79.8,-5.7
194206,86.5,1.0
194306,85.2,-0.3
194406,85.3,-0.2
194506,84.9,-0.6
194606,88.9,3.4
194706,85.5,0.0
194806,85.4,-0.1
194906,84.1,-1.4
195006,87.4,1.9
195106,86.1,0.6
195206,88,2.5
195306,90,4.5
195406,87.1,1.6
195506,84.4,-1.1
195606,89.4,3.9
195706,85.8,0.3
195806,88.1,2.6
195906,87,1.5
196006,87.7,2.2
196106,87,1.5
196206,84.8,-0.7
196306,85.5,0.0
196406,85.6,0.1
196506,82.1,-3.4
196606,83.8,-1.7
196706,82.6,-2.9
196806,87.2,1.7
196906,83.7,-1.8
197006,83.6,-1.9
197106,86.9,1.4
197206,84.5,-1.0
197306,84.2,-1.3
197406,89,3.5
197506,85.4,-0.1
197606,85.6,0.1
197706,87.6,2.1
197806,86.9,1.4
197906,82.4,-3.1
198006,90.9,5.4
198106,88.6,3.1
198206,84.7,-0.8
198306,83.3,-2.2
198406,83.1,-2.4
198506,85.5,0.0
198606,82.3,-3.2
198706,84.3,-1.2
198806,84.6,-0.9
198906,85.7,0.2
199006,91.9,6.4
199106,84.5,-1.0
199206,82.9,-2.6
199306,86,0.5
199406,91,5.5
199506,83.7,-1.8
199606,87.9,2.4
199706,84.4,-1.1
199806,88,2.5
199906,84.3,-1.2
200006,85.8,0.3
200106,88.5,3.0
200206,91.2,5.7
200306,85.4,-0.1
200406,86.8,1.3
200506,87,1.5
200606,89.6,4.1
200706,86.4,0.9
200806,89.5,4.0
200906,84.1,-1.4
201006,89.5,4.0
201106,91.4,5.9
201206,91.8,6.3
201306,91.4,5.9
201406,89.2,3.7
201506,86.8,1.3
