South Carolina, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,55.9,-0.9
189612,54.6,-2.2
189712,56.9,0.1
189812,55.4,-1.4
189912,55.4,-1.4
190012,55.6,-1.2
190112,54.5,-2.3
190212,56.1,-0.7
190312,52.6,-4.2
190412,55.1,-1.7
190512,52.9,-3.9
190612,58.5,1.7
190712,56.3,-0.5
190812,60.3,3.5
190912,52.5,-4.3
191012,51.8,-5.0
191112,58.8,2.0
191212,58.1,1.3
191312,56.8,0.0
191412,50,-6.8
191512,54.2,-2.6
191612,56.6,-0.2
191712,47.3,-9.5
191812,59.3,2.5
191912,56.9,0.1
192012,55.5,-1.3
192112,61.8,5.0
192212,59.7,2.9
192312,62.5,5.7
192412,58.5,1.7
192512,53.8,-3.0
192612,59.9,3.1
192712,57,0.2
192812,57.1,0.3
192912,56.5,-0.3
193012,50.8,-6.0
193112,63.9,7.1
193212,59.6,2.8
193312,64.1,7.3
193412,55.7,-1.1
193512,48.2,-8.6
193612,55.9,-0.9
193712,54.5,-2.3
193812,56.7,-0.1
193912,58.2,1.4
194012,59.8,3.0
194112,59.4,2.6
194212,55.5,-1.3
194312,57.3,0.5
194412,52.8,-4.0
194512,50.1,-6.7
194612,62.9,6.1
194712,56.4,-0.4
194812,59.6,2.8
194912,58.4,1.6
195012,51.2,-5.6
195112,59.6,2.8
195212,55,-1.8
195312,56.4,-0.4
195412,55,-1.8
195512,53.8,-3.0
195612,66.6,9.8
195712,58.3,1.5
195812,53.7,-3.1
195912,57.2,0.4
196012,53.5,-3.3
196112,57.5,0.7
196212,53.5,-3.3
196312,49.4,-7.4
196412,58.4,1.6
196512,59,2.2
196612,56.1,-0.7
196712,61.5,4.7
196812,54.1,-2.7
196912,54.3,-2.5
197012,61,4.2
197112,64.5,7.7
197212,60.2,3.4
197312,57.6,0.8
197412,56.3,-0.5
197512,57.3,0.5
197612,53.7,-3.1
197712,55.7,-1.1
197812,59.8,3.0
197912,57.7,0.9
198012,56.9,0.1
198112,52.6,-4.2
198212,61.6,4.8
198312,54.7,-2.1
198412,66,9.2
198512,55.3,-1.5
198612,56.7,-0.1
198712,59.4,2.6
198812,58.2,1.4
198912,49.3,-7.5
199012,61.4,4.6
199112,61.7,4.9
199212,54.8,-2.0
199312,55.3,-1.5
199412,59.2,2.4
199512,54.7,-2.1
199612,60,3.2
199712,55.6,-1.2
199812,62.3,5.5
199912,59,2.2
200012,49.1,-7.7
200112,64.2,7.4
200212,55,-1.8
200312,55.9,-0.9
200412,58.1,1.3
200512,55.8,-1.0
200612,63.5,6.7
200712,63.8,7.0
200812,61.9,5.1
200912,55,-1.8
201012,49.6,-7.2
201112,62.8,6.0
201212,61.8,5.0
201312,61,4.2
201412,60,3.2
201512,68.2,11.4
