Indiana, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,87,4.9
189606,81.7,-0.4
189706,81.1,-1.0
189806,84.9,2.8
189906,85,2.9
190006,81.1,-1.0
190106,84.4,2.3
190206,80,-2.1
190306,76.6,-5.5
190406,80,-2.1
190506,82.5,0.4
190606,81.3,-0.8
190706,77.9,-4.2
190806,81.9,-0.2
190906,81.6,-0.5
191006,80.8,-1.3
191106,84.9,2.8
191206,79.6,-2.5
191306,86,3.9
191406,86.9,4.8
191506,78.9,-3.2
191606,76.9,-5.2
191706,78.8,-3.3
191806,83,0.9
191906,85.8,3.7
192006,82,-0.1
192106,87.4,5.3
192206,85.2,3.1
192306,83.5,1.4
192406,80,-2.1
192506,86.1,4.0
192606,79,-3.1
192706,77.2,-4.9
192806,75.3,-6.8
192906,80.1,-2.0
193006,83.5,1.4
193106,85.4,3.3
193206,84.2,2.1
193306,90.6,8.5
193406,90.4,8.3
193506,77.9,-4.2
193606,85.9,3.8
193706,80.9,-1.2
193806,80.3,-1.8
193906,83.2,1.1
194006,82.8,0.7
194106,83.1,1.0
194206,82.3,0.2
194306,85.7,3.6
194406,87.3,5.2
194506,78.6,-3.5
194606,82,-0.1
194706,78.8,-3.3
194806,82.9,0.8
194906,84.4,2.3
195006,80.3,-1.8
195106,80.3,-1.8
195206,87.8,5.7
195306,87.8,5.7
195406,86.7,4.6
195506,78.2,-3.9
195606,83.6,1.5
195706,81.7,-0.4
195806,77.5,-4.6
195906,83.6,1.5
196006,80,-2.1
196106,80.3,-1.8
196206,82.8,0.7
196306,84.4,2.3
196406,83.9,1.8
196506,82.2,0.1
196606,83.7,1.6
196706,82.7,0.6
196806,82.7,0.6
196906,79.8,-2.3
197006,80.8,-1.3
197106,85.7,3.6
197206,78.4,-3.7
197306,82.9,0.8
197406,77.3,-4.8
197506,81.8,-0.3
197606,81.6,-0.5
197706,80.6,-1.5
197806,82.7,0.6
197906,81.9,-0.2
198006,80.4,-1.7
198106,82.3,0.2
198206,77.1,-5.0
198306,82.9,0.8
198406,85.3,3.2
198506,79.2,-2.9
198606,82.4,0.3
198706,84.2,2.1
198806,87.4,5.3
198906,80.6,-1.5
199006,81.2,-0.9
199106,85.2,3.1
199206,78.2,-3.9
199306,79.4,-2.7
199406,84.5,2.4
199506,82.6,0.5
199606,81,-1.1
199706,78.4,-3.7
199806,81,-1.1
199906,82.4,0.3
200006,80.7,-1.4
200106,79.7,-2.4
200206,84,1.9
200306,78,-4.1
200406,80,-2.1
200506,84.5,2.4
200606,80.9,-1.2
200706,84,1.9
200806,83.1,1.0
200906,82,-0.1
201006,84.3,2.2
201106,82.7,0.6
201206,85,2.9
201306,81,-1.1
201406,82.6,0.5
201506,80.3,-1.8
