Nebraska, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,37.3,0.9
189612,43.9,7.5
189712,30.9,-5.5
189812,33.8,-2.6
189912,35.1,-1.3
190012,42.6,6.2
190112,34.1,-2.3
190212,28.8,-7.6
190312,39.6,3.2
190412,39.5,3.1
190512,41.2,4.8
190612,40.2,3.8
190712,39.2,2.8
190812,37.7,1.3
190912,21.4,-15.0
191012,35.7,-0.7
191112,33.5,-2.9
191212,40.8,4.4
191312,35.7,-0.7
191412,25.7,-10.7
191512,37.4,1.0
191612,30.9,-5.5
191712,31.8,-4.6
191812,38.2,1.8
191912,28.9,-7.5
192012,35.4,-1.0
192112,39.9,3.5
192212,36.8,0.4
192312,40.9,4.5
192412,24.9,-11.5
192512,35.5,-0.9
192612,33.3,-3.1
192712,29.9,-6.5
192812,38,1.6
192912,38.8,2.4
193012,37.3,0.9
193112,38.4,2.0
193212,30.9,-5.5
193312,42.7,6.3
193412,34.4,-2.0
193512,36.6,0.2
193612,38.3,1.9
193712,36.4,0.0
193812,40.8,4.4
193912,45.7,9.3
194012,37.4,1.0
194112,40.6,4.2
194212,36.2,-0.2
194312,41,4.6
194412,33,-3.4
194512,29.4,-7.0
194612,42.2,5.8
194712,36.6,0.2
194812,34,-2.4
194912,39.3,2.9
195012,39.9,3.5
195112,30.1,-6.3
195212,34.6,-1.8
195312,37.8,1.4
195412,41.6,5.2
195512,30.4,-6.0
195612,42.9,6.5
195712,46.3,9.9
195812,37.5,1.1
195912,43.6,7.2
196012,37.2,0.8
196112,32.1,-4.3
196212,39.6,3.2
196312,31.7,-4.7
196412,35.2,-1.2
196512,42.1,5.7
196612,36.2,-0.2
196712,34.4,-2.0
196812,30.3,-6.1
196912,37,0.6
197012,39.1,2.7
197112,37.7,1.3
197212,28.6,-7.8
197312,33.7,-2.7
197412,38.7,2.3
197512,37.4,1.0
197612,41,4.6
197712,36,-0.4
197812,28.6,-7.8
197912,44,7.6
198012,42.6,6.2
198112,35.8,-0.6
198212,39.7,3.3
198312,16.9,-19.5
198412,37,0.6
198512,29.8,-6.6
198612,41,4.6
198712,38.5,2.1
198812,43.4,7.0
198912,31.6,-4.8
199012,32.5,-3.9
199112,42.2,5.8
199212,32.8,-3.6
199312,40,3.6
199412,39.5,3.1
199512,38.7,2.3
199612,33.7,-2.7
199712,38.3,1.9
199812,42.6,6.2
199912,44.8,8.4
200012,28.7,-7.7
200112,41.9,5.5
200212,44.5,8.1
200312,40.8,4.4
200412,42.7,6.3
200512,35.3,-1.1
200612,42,5.6
200712,31.9,-4.5
200812,33.1,-3.3
200912,28.2,-8.2
201012,37.3,0.9
201112,40.4,4.0
201212,39.7,3.3
201312,35.2,-1.2
201412,37.7,1.3
201512,39.1,2.7
