Indiana, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,81.8,3.9
189609,73.8,-4.1
189709,84.8,6.9
189809,80,2.1
189909,77.8,-0.1
190009,80.9,3.0
190109,78.4,0.5
190209,74.3,-3.6
190309,79.2,1.3
190409,77.8,-0.1
190509,78.5,0.6
190609,81.2,3.3
190709,75.2,-2.7
190809,85.3,7.4
190909,75.5,-2.4
191009,76.8,-1.1
191109,78.9,1.0
191209,78.7,0.8
191309,77.6,-0.3
191409,77.4,-0.5
191509,78.4,0.5
191609,77.4,-0.5
191709,76.8,-1.1
191809,70.3,-7.6
191909,81.8,3.9
192009,79.8,1.9
192109,81.2,3.3
192209,83.5,5.6
192309,76.9,-1.0
192409,72.5,-5.4
192509,83.5,5.6
192609,76.7,-1.2
192709,82,4.1
192809,74.8,-3.1
192909,76.8,-1.1
193009,79.5,1.6
193109,82.7,4.8
193209,76.8,-1.1
193309,83.3,5.4
193409,76.6,-1.3
193509,78.3,0.4
193609,81.1,3.2
193709,76.6,-1.3
193809,78.7,0.8
193909,86,8.1
194009,78.1,0.2
194109,82.7,4.8
194209,75.9,-2.0
194309,74.4,-3.5
194409,78,0.1
194509,77.6,-0.3
194609,79.6,1.7
194709,78.4,0.5
194809,79.4,1.5
194909,72.5,-5.4
195009,74,-3.9
195109,75.7,-2.2
195209,79,1.1
195309,82,4.1
195409,82.7,4.8
195509,82.1,4.2
195609,78,0.1
195709,76.2,-1.7
195809,76.5,-1.4
195909,80.6,2.7
196009,81.7,3.8
196109,81.8,3.9
196209,74.3,-3.6
196309,78.8,0.9
196409,78.9,1.0
196509,77,-0.9
196609,75,-2.9
196709,75.5,-2.4
196809,76.7,-1.2
196909,76.2,-1.7
197009,80.4,2.5
197109,78.7,0.8
197209,77,-0.9
197309,79.3,1.4
197409,71.6,-6.3
197509,71.4,-6.5
197609,75.7,-2.2
197709,78,0.1
197809,81.6,3.7
197909,77.3,-0.6
198009,79.1,1.2
198109,74.5,-3.4
198209,74.8,-3.1
198309,80.1,2.2
198409,75.1,-2.8
198509,77.9,0.0
198609,79.6,1.7
198709,79.1,1.2
198809,77.8,-0.1
198909,73.9,-4.0
199009,77,-0.9
199109,77.9,0.0
199209,74.8,-3.1
199309,71.4,-6.5
199409,76,-1.9
199509,75.9,-2.0
199609,75,-2.9
199709,76.9,-1.0
199809,82.6,4.7
199909,81.5,3.6
200009,76.2,-1.7
200109,75.4,-2.5
200209,82.1,4.2
200309,74.8,-3.1
200409,79.8,1.9
200509,81.5,3.6
200609,72.7,-5.2
200709,82.2,4.3
200809,79.8,1.9
200909,76,-1.9
201009,80.5,2.6
201109,73.6,-4.3
201209,75.5,-2.4
201309,79.3,1.4
201409,75.8,-2.1
201509,80.9,3.0
