North Dakota, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,6.8,-9.5
189601,13.9,-2.4
189701,11.9,-4.4
189801,24.1,7.8
189901,13.8,-2.5
190001,26.1,9.8
190101,17.2,0.9
190201,21.2,4.9
190301,20,3.7
190401,12.4,-3.9
190501,10.2,-6.1
190601,20.5,4.2
190701,2.5,-13.8
190801,28.1,11.8
190901,12.8,-3.5
191001,17.7,1.4
191101,9.6,-6.7
191201,4.2,-12.1
191301,13.3,-3.0
191401,24.8,8.5
191501,14.7,-1.6
191601,2.3,-14.0
191701,11.6,-4.7
191801,6.8,-9.5
191901,28.1,11.8
192001,11.4,-4.9
192101,25.3,9.0
192201,15.8,-0.5
192301,18.9,2.6
192401,12.3,-4.0
192501,18.3,2.0
192601,25.8,9.5
192701,18,1.7
192801,21,4.7
192901,4.6,-11.7
193001,5.2,-11.1
193101,29.2,12.9
193201,17.5,1.2
193301,21.3,5.0
193401,26.1,9.8
193501,12.9,-3.4
193601,2.6,-13.7
193701,-.7,-17.0
193801,17.8,1.5
193901,23.3,7.0
194001,11.9,-4.4
194101,19.1,2.8
194201,28.3,12.0
194301,6.4,-9.9
194401,31.6,15.3
194501,19.4,3.1
194601,21.4,5.1
194701,25.6,9.3
194801,19.4,3.1
194901,10,-6.3
195001,-2.9,-19.2
195101,11.8,-4.5
195201,11.1,-5.2
195301,23.4,7.1
195401,8.8,-7.5
195501,20.1,3.8
195601,14.9,-1.4
195701,10.8,-5.5
195801,27.3,11.0
195901,11.8,-4.5
196001,16.8,0.5
196101,22,5.7
196201,16.8,0.5
196301,11.9,-4.4
196401,25.5,9.2
196501,11.2,-5.1
196601,3.8,-12.5
196701,20.9,4.6
196801,16.7,0.4
196901,5.1,-11.2
197001,10,-6.3
197101,8.6,-7.7
197201,12.4,-3.9
197301,23.5,7.2
197401,15.1,-1.2
197501,22.6,6.3
197601,19.6,3.3
197701,7.8,-8.5
197801,5.3,-11.0
197901,4.6,-11.7
198001,16.8,0.5
198101,27.1,10.8
198201,3.5,-12.8
198301,27.9,11.6
198401,22.2,5.9
198501,17.4,1.1
198601,26.7,10.4
198701,28.7,12.4
198801,18.5,2.2
198901,23.6,7.3
199001,31.5,15.2
199101,17.1,0.8
199201,30.7,14.4
199301,15.8,-0.5
199401,6.9,-9.4
199501,17.8,1.5
199601,10,-6.3
199701,11.2,-5.1
199801,19.1,2.8
199901,16,-0.3
200001,22.7,6.4
200101,26.5,10.2
200201,26,9.7
200301,20.5,4.2
200401,13,-3.3
200501,16.8,0.5
200601,33.1,16.8
200701,24.4,8.1
200801,20.9,4.6
200901,15.2,-1.1
201001,17.4,1.1
201101,15.1,-1.2
201201,30.4,14.1
201301,21.1,4.8
201401,20.2,3.9
201501,25,8.7
201601,23,6.7
