Virginia, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,40.4,-4.2
189601,42.5,-2.1
189701,41.6,-3.0
189801,46.7,2.1
189901,44.8,0.2
190001,45.4,0.8
190101,44.9,0.3
190201,41.1,-3.5
190301,42.4,-2.2
190401,39.7,-4.9
190501,39.9,-4.7
190601,47.8,3.2
190701,51.4,6.8
190801,43.1,-1.5
190901,48.7,4.1
191001,44.6,0.0
191101,49.3,4.7
191201,35.8,-8.8
191301,53.9,9.3
191401,47.4,2.8
191501,43.3,-1.3
191601,51.7,7.1
191701,47.1,2.5
191801,32.7,-11.9
191901,47.9,3.3
192001,42.2,-2.4
192101,46.4,1.8
192201,41.3,-3.3
192301,46.6,2.0
192401,45.3,0.7
192501,43,-1.6
192601,43.7,-0.9
192701,43.6,-1.0
192801,46.9,2.3
192901,44.6,0.0
193001,46.1,1.5
193101,46,1.4
193201,54.3,9.7
193301,52.1,7.5
193401,49,4.4
193501,43.2,-1.4
193601,38.6,-6.0
193701,52.1,7.5
193801,44.1,-0.5
193901,47.7,3.1
194001,32.3,-12.3
194101,42.5,-2.1
194201,43.5,-1.1
194301,47.3,2.7
194401,46.3,1.7
194501,40.6,-4.0
194601,45.3,0.7
194701,50.6,6.0
194801,38.2,-6.4
194901,52.6,8.0
195001,57.3,12.7
195101,48.5,3.9
195201,50.1,5.5
195301,49.6,5.0
195401,46.7,2.1
195501,42.8,-1.8
195601,41.9,-2.7
195701,42.9,-1.7
195801,40.6,-4.0
195901,44.5,-0.1
196001,45.2,0.6
196101,40.5,-4.1
196201,43.3,-1.3
196301,41.7,-2.9
196401,46.2,1.6
196501,45.2,0.6
196601,38.9,-5.7
196701,48.9,4.3
196801,40.6,-4.0
196901,40.9,-3.7
197001,38.4,-6.2
197101,40.7,-3.9
197201,48.3,3.7
197301,45.8,1.2
197401,52.6,8.0
197501,48.5,3.9
197601,42,-2.6
197701,32,-12.6
197801,36.8,-7.8
197901,41,-3.6
198001,43,-1.6
198101,39.5,-5.1
198201,37.9,-6.7
198301,42.4,-2.2
198401,40.3,-4.3
198501,38.3,-6.3
198601,44.6,0.0
198701,41.6,-3.0
198801,39.6,-5.0
198901,50.4,5.8
199001,52.7,8.1
199101,46.7,2.1
199201,47.4,2.8
199301,47.6,3.0
199401,38.4,-6.2
199501,46,1.4
199601,42.5,-2.1
199701,45.5,0.9
199801,49.4,4.8
199901,49.8,5.2
200001,44.7,0.1
200101,45,0.4
200201,50.3,5.7
200301,40,-4.6
200401,41.9,-2.7
200501,47.3,2.7
200601,52.8,8.2
200701,49.7,5.1
200801,46.3,1.7
200901,42.2,-2.4
201001,41.6,-3.0
201101,41,-3.6
201201,49.6,5.0
201301,48,3.4
201401,40.6,-4.0
201501,43.1,-1.5
201601,42.7,-1.9
