Michigan, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,34.2,-4.5
189603,32.2,-6.5
189703,35.5,-3.2
189803,42.1,3.4
189903,29.7,-9.0
190003,30.5,-8.2
190103,34.9,-3.8
190203,44.3,5.6
190303,44.2,5.5
190403,34.5,-4.2
190503,40.3,1.6
190603,30.7,-8.0
190703,42.4,3.7
190803,38.5,-0.2
190903,35.5,-3.2
191003,50.7,12.0
191103,38.6,-0.1
191203,30.6,-8.1
191303,37.1,-1.6
191403,35.9,-2.8
191503,35.5,-3.2
191603,32.4,-6.3
191703,37,-1.7
191803,43.5,4.8
191903,39.9,1.2
192003,40.4,1.7
192103,44.4,5.7
192203,40.1,1.4
192303,32.1,-6.6
192403,35,-3.7
192503,41,2.3
192603,30.9,-7.8
192703,42.5,3.8
192803,36.2,-2.5
192903,43.9,5.2
193003,37.6,-1.1
193103,35.7,-3.0
193203,32,-6.7
193303,35.3,-3.4
193403,33,-5.7
193503,41.7,3.0
193603,40,1.3
193703,34.2,-4.5
193803,45.5,6.8
193903,36.9,-1.8
194003,31.6,-7.1
194103,34.7,-4.0
194203,39.7,1.0
194303,35,-3.7
194403,33.9,-4.8
194503,52.7,14.0
194603,51.4,12.7
194703,34.4,-4.3
194803,38.7,0.0
194903,38.2,-0.5
195003,33.9,-4.8
195103,37.4,-1.3
195203,36.2,-2.5
195303,39.8,1.1
195403,36.4,-2.3
195503,37.6,-1.1
195603,35.3,-3.4
195703,40,1.3
195803,39.2,0.5
195903,37.7,-1.0
196003,31.4,-7.3
196103,41.2,2.5
196203,38.2,-0.5
196303,40.8,2.1
196403,38.6,-0.1
196503,32.1,-6.6
196603,42.3,3.6
196703,39,0.3
196803,44.9,6.2
196903,37.4,-1.3
197003,35.7,-3.0
197103,35.4,-3.3
197203,34.5,-4.2
197303,46.6,7.9
197403,38.1,-0.6
197503,35.8,-2.9
197603,42,3.3
197703,45.4,6.7
197803,35.7,-3.0
197903,40.6,1.9
198003,36,-2.7
198103,41.6,2.9
198203,36.5,-2.2
198303,41.3,2.6
198403,33.1,-5.6
198503,42.2,3.5
198603,42.8,4.1
198703,45.5,6.8
198803,39.9,1.2
198903,37.2,-1.5
199003,43.3,4.6
199103,43.5,4.8
199203,38.6,-0.1
199303,38.7,0.0
199403,40.4,1.7
199503,43.5,4.8
199603,35.5,-3.2
199703,38.8,0.1
199803,41.1,2.4
199903,41.2,2.5
200003,49.4,10.7
200103,38.6,-0.1
200203,37,-1.7
200303,40.8,2.1
200403,42.9,4.2
200503,37.9,-0.8
200603,42.2,3.5
200703,45.1,6.4
200803,36.8,-1.9
200903,42.2,3.5
201003,49.3,10.6
201103,38.2,-0.5
201203,55.4,16.7
201303,36.2,-2.5
201403,32.5,-6.2
201503,39.3,0.6
