New York, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,23.6,-6.8
189602,29.5,-0.9
189702,31,0.6
189802,32.1,1.7
189902,26.2,-4.2
190002,28.9,-1.5
190102,21.9,-8.5
190202,27.4,-3.0
190302,31.9,1.5
190402,23,-7.4
190502,23.8,-6.6
190602,31.3,0.9
190702,24.2,-6.2
190802,26.3,-4.1
190902,34.2,3.8
191002,28.2,-2.2
191102,29.4,-1.0
191202,25.8,-4.6
191302,27.9,-2.5
191402,22.6,-7.8
191502,33.9,3.5
191602,25.2,-5.2
191702,25.7,-4.7
191802,30.5,0.1
191902,32.7,2.3
192002,27.1,-3.3
192102,33.2,2.8
192202,33.5,3.1
192302,24.8,-5.6
192402,25.6,-4.8
192502,38,7.6
192602,27.8,-2.6
192702,33.8,3.4
192802,31.1,0.7
192902,29.2,-1.2
193002,35.3,4.9
193102,32.3,1.9
193202,34.1,3.7
193302,34,3.6
193402,20.5,-9.9
193502,29.6,-0.8
193602,24.4,-6.0
193702,34.1,3.7
193802,34.4,4.0
193902,33.9,3.5
194002,29,-1.4
194102,28.7,-1.7
194202,25.9,-4.5
194302,32,1.6
194402,30.6,0.2
194502,30.9,0.5
194602,30.1,-0.3
194702,26.4,-4.0
194802,30.1,-0.3
194902,37.4,7.0
195002,28.9,-1.5
195102,33.1,2.7
195202,33.6,3.2
195302,35.4,5.0
195402,37.5,7.1
195502,31.6,1.2
195602,32.3,1.9
195702,35.3,4.9
195802,24.4,-6.0
195902,29.3,-1.1
196002,32.5,2.1
196102,33.9,3.5
196202,28.1,-2.3
196302,25.7,-4.7
196402,30,-0.4
196502,30.7,0.3
196602,30.6,0.2
196702,27.3,-3.1
196802,25.6,-4.8
196902,30,-0.4
197002,31.1,0.7
197102,31.1,0.7
197202,27.8,-2.6
197302,29.4,-1.0
197402,28.9,-1.5
197502,32.1,1.7
197602,38.3,7.9
197702,30.3,-0.1
197802,23.8,-6.6
197902,20.4,-10.0
198002,26.8,-3.6
198102,39.2,8.8
198202,30.5,0.1
198302,34.7,4.3
198402,38.7,8.3
198502,31.7,1.3
198602,28.4,-2.0
198702,29.9,-0.5
198802,31.7,1.3
198902,29.6,-0.8
199002,37.3,6.9
199102,36.7,6.3
199202,32.7,2.3
199302,26.5,-3.9
199402,27.4,-3.0
199502,28.7,-1.7
199602,30.5,0.1
199702,37.1,6.7
199802,38.8,8.4
199902,36.9,6.5
200002,35.4,5.0
200102,33.7,3.3
200202,39.5,9.1
200302,27.7,-2.7
200402,32.3,1.9
200502,34.4,4.0
200602,33.3,2.9
200702,24.8,-5.6
200802,32.2,1.8
200902,34.4,4.0
201002,30.4,0.0
201102,32.3,1.9
201202,37.9,7.5
201302,31.1,0.7
201402,28,-2.4
201502,20.1,-10.3
