Idaho, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,57.7,5.0
189604,48.2,-4.5
189704,54.2,1.5
189804,58.6,5.9
189904,52.1,-0.6
190004,54.2,1.5
190104,50.2,-2.5
190204,50.5,-2.2
190304,49.5,-3.2
190404,54.3,1.6
190504,55.2,2.5
190604,56.1,3.4
190704,51.9,-0.8
190804,56.8,4.1
190904,48.9,-3.8
191004,59.3,6.6
191104,50.7,-2.0
191204,49.8,-2.9
191304,54,1.3
191404,53.7,1.0
191504,59.9,7.2
191604,54.5,1.8
191704,44.7,-8.0
191804,52,-0.7
191904,55,2.3
192004,45.9,-6.8
192104,48.4,-4.3
192204,46,-6.7
192304,51.2,-1.5
192404,52.4,-0.3
192504,55.1,2.4
192604,60.3,7.6
192704,50.5,-2.2
192804,49.1,-3.6
192904,47.7,-5.0
193004,59.8,7.1
193104,54.3,1.6
193204,52.2,-0.5
193304,51.3,-1.4
193404,63.1,10.4
193504,50,-2.7
193604,55.7,3.0
193704,48.6,-4.1
193804,53.4,0.7
193904,57.9,5.2
194004,53.8,1.1
194104,53.7,1.0
194204,56,3.3
194304,58.3,5.6
194404,51.2,-1.5
194504,48.5,-4.2
194604,57.5,4.8
194704,53.4,0.7
194804,50.5,-2.2
194904,59.5,6.8
195004,51.1,-1.6
195104,56.2,3.5
195204,56.7,4.0
195304,50.3,-2.4
195404,53.9,1.2
195504,46.3,-6.4
195604,54.9,2.2
195704,51,-1.7
195804,48.7,-4.0
195904,55,2.3
196004,53.3,0.6
196104,51.3,-1.4
196204,57.5,4.8
196304,48.7,-4.0
196404,48.6,-4.1
196504,52.6,-0.1
196604,53.6,0.9
196704,45.9,-6.8
196804,49.6,-3.1
196904,54.5,1.8
197004,44.9,-7.8
197104,50.6,-2.1
197204,49.6,-3.1
197304,50.1,-2.6
197404,51.7,-1.0
197504,43.1,-9.6
197604,50.3,-2.4
197704,59.9,7.2
197804,50.7,-2.0
197904,51,-1.7
198004,56.6,3.9
198104,53.6,0.9
198204,47.8,-4.9
198304,48.8,-3.9
198404,48.3,-4.4
198504,56.5,3.8
198604,52.2,-0.5
198704,62.4,9.7
198804,57,4.3
198904,56.8,4.1
199004,58.4,5.7
199104,50.1,-2.6
199204,58.3,5.6
199304,49.5,-3.2
199404,55.9,3.2
199504,50.8,-1.9
199604,52.7,0.0
199704,49.5,-3.2
199804,53,0.3
199904,50.5,-2.2
200004,58.2,5.5
200104,51.5,-1.2
200204,53.3,0.6
200304,51.6,-1.1
200404,57.3,4.6
200504,53.6,0.9
200604,54.1,1.4
200704,55.3,2.6
200804,48.9,-3.8
200904,52.4,-0.3
201004,51.7,-1.0
201104,46.8,-5.9
201204,57.2,4.5
201304,52,-0.7
201404,53.8,1.1
201504,55.3,2.6
