Mississippi, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,90.2,3.2
189609,87.7,0.7
189709,90,3.0
189809,85.9,-1.1
189909,86.8,-0.2
190009,90.7,3.7
190109,84.2,-2.8
190209,84,-3.0
190309,87.2,0.2
190409,90.6,3.6
190509,88.4,1.4
190609,88.6,1.6
190709,87.9,0.9
190809,87.2,0.2
190909,88.3,1.3
191009,91.1,4.1
191109,92.8,5.8
191209,88.6,1.6
191309,84.2,-2.8
191409,86.2,-0.8
191509,89.8,2.8
191609,87.4,0.4
191709,85.4,-1.6
191809,84.4,-2.6
191909,88.1,1.1
192009,89.2,2.2
192109,93,6.0
192209,90.8,3.8
192309,87.4,0.4
192409,85.9,-1.1
192509,95.9,8.9
192609,90.8,3.8
192709,90.4,3.4
192809,85,-2.0
192909,85.8,-1.2
193009,86.8,-0.2
193109,91.6,4.6
193209,84.7,-2.3
193309,92.3,5.3
193409,86.8,-0.2
193509,86.7,-0.3
193609,91,4.0
193709,85.8,-1.2
193809,88.6,1.6
193909,90.7,3.7
194009,86.2,-0.8
194109,88.9,1.9
194209,85,-2.0
194309,83.2,-3.8
194409,86.9,-0.1
194509,88.7,1.7
194609,84.4,-2.6
194709,88.9,1.9
194809,83.7,-3.3
194909,84.6,-2.4
195009,82.7,-4.3
195109,88.2,1.2
195209,86.6,-0.4
195309,89.6,2.6
195409,92.8,5.8
195509,90,3.0
195609,87.9,0.9
195709,82.2,-4.8
195809,86.1,-0.9
195909,86.2,-0.8
196009,86.2,-0.8
196109,86,-1.0
196209,87.8,0.8
196309,85.8,-1.2
196409,87.3,0.3
196509,85.4,-1.6
196609,84.1,-2.9
196709,80.8,-6.2
196809,84.1,-2.9
196909,85,-2.0
197009,89.2,2.2
197109,85.7,-1.3
197209,90.2,3.2
197309,86.2,-0.8
197409,80.2,-6.8
197509,81.8,-5.2
197609,84.6,-2.4
197709,87.2,0.2
197809,87.7,0.7
197909,82.8,-4.2
198009,91.3,4.3
198109,85,-2.0
198209,84.5,-2.5
198309,84.9,-2.1
198409,85.1,-1.9
198509,85.1,-1.9
198609,88.6,1.6
198709,86.8,-0.2
198809,85.3,-1.7
198909,82.5,-4.5
199009,89.8,2.8
199109,85.7,-1.3
199209,83.5,-3.5
199309,86.3,-0.7
199409,84.8,-2.2
199509,87,0.0
199609,83.9,-3.1
199709,87.9,0.9
199809,89.6,2.6
199909,87.6,0.6
200009,87.6,0.6
200109,83.6,-3.4
200209,87.7,0.7
200309,84.8,-2.2
200409,86.1,-0.9
200509,89.7,2.7
200609,85.4,-1.6
200709,87.5,0.5
200809,83.8,-3.2
200909,84.8,-2.2
201009,90.7,3.7
201109,83.9,-3.1
201209,85.6,-1.4
201309,88.8,1.8
201409,87.2,0.2
201509,88.3,1.3
