Arizona, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,56,-1.6
189602,58.1,0.5
189702,53.2,-4.4
189802,60.8,3.2
189902,55.9,-1.7
190002,60,2.4
190102,56.1,-1.5
190202,60.1,2.5
190302,50.3,-7.3
190402,63.5,5.9
190502,51.9,-5.7
190602,58.4,0.8
190702,63.3,5.7
190802,56,-1.6
190902,55.8,-1.8
191002,58,0.4
191102,53.6,-4.0
191202,60.8,3.2
191302,52.5,-5.1
191402,56.9,-0.7
191502,54.1,-3.5
191602,62,4.4
191702,54.9,-2.7
191802,57.8,0.2
191902,51.4,-6.2
192002,56.6,-1.0
192102,60.8,3.2
192202,55,-2.6
192302,54.8,-2.8
192402,62.2,4.6
192502,62.2,4.6
192602,60.9,3.3
192702,58.4,0.8
192802,55.9,-1.7
192902,52.4,-5.2
193002,62.8,5.2
193102,55.6,-2.0
193202,55.5,-2.1
193302,50.1,-7.5
193402,62.9,5.3
193502,57.8,0.2
193602,55.7,-1.9
193702,54.5,-3.1
193802,55.4,-2.2
193902,47.4,-10.2
194002,56.4,-1.2
194102,57.7,0.1
194202,53.4,-4.2
194302,61.9,4.3
194402,53.1,-4.5
194502,57.9,0.3
194602,58.6,1.0
194702,63.5,5.9
194802,54.1,-3.5
194902,52,-5.6
195002,61.8,4.2
195102,57.4,-0.2
195202,55.9,-1.7
195302,58.1,0.5
195402,65.7,8.1
195502,52.8,-4.8
195602,53.1,-4.5
195702,63.2,5.6
195802,59.7,2.1
195902,55.8,-1.8
196002,52.7,-4.9
196102,60.1,2.5
196202,56.6,-1.0
196302,63.3,5.7
196402,54.3,-3.3
196502,56.6,-1.0
196602,51.5,-6.1
196702,61.9,4.3
196802,61.1,3.5
196902,54.7,-2.9
197002,61.6,4.0
197102,58.6,1.0
197202,63.1,5.5
197302,54.1,-3.5
197402,57.7,0.1
197502,55.8,-1.8
197602,60.4,2.8
197702,62.1,4.5
197802,55.4,-2.2
197902,55.4,-2.2
198002,59.3,1.7
198102,62,4.4
198202,57.3,-0.3
198302,56.6,-1.0
198402,59.6,2.0
198502,55.4,-2.2
198602,60.2,2.6
198702,56.2,-1.4
198802,61,3.4
198902,59.1,1.5
199002,55.8,-1.8
199102,63.6,6.0
199202,58.2,0.6
199302,54.6,-3.0
199402,56.3,-1.3
199502,64,6.4
199602,62.9,5.3
199702,58.2,0.6
199802,52.4,-5.2
199902,63.2,5.6
200002,62.3,4.7
200102,57,-0.6
200202,62,4.4
200302,56.9,-0.7
200402,54.4,-3.2
200502,55.4,-2.2
200602,63.6,6.0
200702,60,2.4
200802,58,0.4
200902,60.4,2.8
201002,55.5,-2.1
201102,55.7,-1.9
201202,59.3,1.7
201302,55.6,-2.0
201402,64.3,6.7
201502,66.1,8.5
201602,66.8,9.2
