Wisconsin, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,27.8,1.5
189612,29.1,2.8
189712,22.6,-3.7
189812,22.5,-3.8
189912,26.3,0.0
190012,27.9,1.6
190112,23.2,-3.1
190212,24.5,-1.8
190312,19.8,-6.5
190412,24.9,-1.4
190512,30.4,4.1
190612,27.5,1.2
190712,30,3.7
190812,27.3,1.0
190912,20.6,-5.7
191012,24,-2.3
191112,31.1,4.8
191212,31.4,5.1
191312,36.1,9.8
191412,20.2,-6.1
191512,27,0.7
191612,21.8,-4.5
191712,18.3,-8.0
191812,32.3,6.0
191912,16.8,-9.5
192012,28.6,2.3
192112,27.2,0.9
192212,25.6,-0.7
192312,36.4,10.1
192412,17.8,-8.5
192512,22.1,-4.2
192612,22.8,-3.5
192712,20.7,-5.6
192812,29.9,3.6
192912,25,-1.3
193012,27.4,1.1
193112,34.1,7.8
193212,25.5,-0.8
193312,24.7,-1.6
193412,22.7,-3.6
193512,23.7,-2.6
193612,30.3,4.0
193712,23.4,-2.9
193812,26.2,-0.1
193912,34.3,8.0
194012,27.9,1.6
194112,32.8,6.5
194212,21.2,-5.1
194312,30,3.7
194412,23.7,-2.6
194512,20.6,-5.7
194612,29.3,3.0
194712,26.4,0.1
194812,27.3,1.0
194912,28.2,1.9
195012,20.1,-6.2
195112,23.9,-2.4
195212,29.1,2.8
195312,29.5,3.2
195412,27.9,1.6
195512,22.1,-4.2
195612,29,2.7
195712,30.2,3.9
195812,20.8,-5.5
195912,33,6.7
196012,25.4,-0.9
196112,24.2,-2.1
196212,25.9,-0.4
196312,18.8,-7.5
196412,22.8,-3.5
196512,32.1,5.8
196612,26.1,-0.2
196712,28.6,2.3
196812,25.6,-0.7
196912,26.8,0.5
197012,26.6,0.3
197112,28,1.7
197212,21.5,-4.8
197312,25.2,-1.1
197412,30.5,4.2
197512,27.1,0.8
197612,19.4,-6.9
197712,23.5,-2.8
197812,23.4,-2.9
197912,33,6.7
198012,25.7,-0.6
198112,26.4,0.1
198212,32.5,6.2
198312,15.6,-10.7
198412,29.1,2.8
198512,17.5,-8.8
198612,29.1,2.8
198712,31,4.7
198812,28.1,1.8
198912,17.8,-8.5
199012,27,0.7
199112,29.4,3.1
199212,28.2,1.9
199312,28,1.7
199412,33.4,7.1
199512,24.3,-2.0
199612,24.9,-1.4
199712,32.6,6.3
199812,35.1,8.8
199912,31.1,4.8
200012,17.6,-8.7
200112,34.9,8.6
200212,32.2,5.9
200312,32.8,6.5
200412,29,2.7
200512,24.8,-1.5
200612,34.2,7.9
200712,25.2,-1.1
200812,23.3,-3.0
200912,25.6,-0.7
201012,24.4,-1.9
201112,33.3,7.0
201212,32.3,6.0
201312,20.7,-5.6
201412,30,3.7
201512,37.2,10.9
