Oklahoma, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,43.5,-4.4
189601,48,0.1
189701,43.7,-4.2
189801,49.6,1.7
189901,46.1,-1.8
190001,50.6,2.7
190101,52.5,4.6
190201,48.2,0.3
190301,48,0.1
190401,48.2,0.3
190501,38.1,-9.8
190601,51.8,3.9
190701,52.9,5.0
190801,52.6,4.7
190901,49.6,1.7
191001,50.3,2.4
191101,54.7,6.8
191201,40.6,-7.3
191301,49.2,1.3
191401,55.7,7.8
191501,47.1,-0.8
191601,45.2,-2.7
191701,50.7,2.8
191801,37.4,-10.5
191901,46.7,-1.2
192001,45.1,-2.8
192101,53.2,5.3
192201,45.1,-2.8
192301,59.1,11.2
192401,44.6,-3.3
192501,46,-1.9
192601,47,-0.9
192701,49,1.1
192801,52.7,4.8
192901,45.1,-2.8
193001,33.8,-14.1
193101,51.9,4.0
193201,48.1,0.2
193301,57.6,9.7
193401,52.5,4.6
193501,53.2,5.3
193601,45,-2.9
193701,39.6,-8.3
193801,52.3,4.4
193901,53.7,5.8
194001,33.4,-14.5
194101,49.2,1.3
194201,48.9,1.0
194301,50.2,2.3
194401,48,0.1
194501,48.1,0.2
194601,48.4,0.5
194701,48.9,1.0
194801,42.2,-5.7
194901,39.7,-8.2
195001,50.6,2.7
195101,50,2.1
195201,55.8,7.9
195301,55.7,7.8
195401,50.4,2.5
195501,48.7,0.8
195601,47.5,-0.4
195701,43.7,-4.2
195801,49.8,1.9
195901,45.3,-2.6
196001,45.5,-2.4
196101,48.7,0.8
196201,43.7,-4.2
196301,42.4,-5.5
196401,53.7,5.8
196501,52.3,4.4
196601,42.5,-5.4
196701,54.4,6.5
196801,45.8,-2.1
196901,48.7,0.8
197001,43.2,-4.7
197101,49.2,1.3
197201,47.8,-0.1
197301,42.4,-5.5
197401,45.7,-2.2
197501,51,3.1
197601,51.7,3.8
197701,39.6,-8.3
197801,36,-11.9
197901,32.7,-15.2
198001,47,-0.9
198101,51.4,3.5
198201,48.2,0.3
198301,46.9,-1.0
198401,45.5,-2.4
198501,41.7,-6.2
198601,56.8,8.9
198701,45.9,-2.0
198801,43.1,-4.8
198901,54.5,6.6
199001,56.7,8.8
199101,43.2,-4.7
199201,51.4,3.5
199301,44.1,-3.8
199401,47.1,-0.8
199501,50.4,2.5
199601,48.7,0.8
199701,48,0.1
199801,50,2.1
199901,51.3,3.4
200001,52.4,4.5
200101,45.9,-2.0
200201,52.8,4.9
200301,49.1,1.2
200401,50.6,2.7
200501,49.8,1.9
200601,61.5,13.6
200701,44.4,-3.5
200801,51,3.1
200901,51.2,3.3
201001,45.6,-2.3
201101,48.1,0.2
201201,56.4,8.5
201301,51.6,3.7
201401,50.1,2.2
201501,49.7,1.8
201601,49.5,1.6
