Massachusetts, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,70.1,2.7
189605,71.6,4.2
189705,66.4,-1.0
189805,64.2,-3.2
189905,68.2,0.8
190005,66.3,-1.1
190105,64.2,-3.2
190205,67,-0.4
190305,71.4,4.0
190405,70.8,3.4
190505,67.1,-0.3
190605,68,0.6
190705,61,-6.4
190805,68.1,0.7
190905,64.7,-2.7
191005,65.4,-2.0
191105,73.2,5.8
191205,67.2,-0.2
191305,64.5,-2.9
191405,70,2.6
191505,64,-3.4
191605,65.8,-1.6
191705,57.2,-10.2
191805,72.6,5.2
191905,67.4,0.0
192005,63.7,-3.7
192105,67.6,0.2
192205,71.3,3.9
192305,66.6,-0.8
192405,62,-5.4
192505,65.2,-2.2
192605,65.9,-1.5
192705,62.9,-4.5
192805,63.8,-3.6
192905,68.7,1.3
193005,69.5,2.1
193105,69.1,1.7
193205,69.3,1.9
193305,70.9,3.5
193405,70.8,3.4
193505,65.2,-2.2
193605,71.7,4.3
193705,69.3,1.9
193805,65.1,-2.3
193905,68.7,1.3
194005,65.4,-2.0
194105,70.4,3.0
194205,70.6,3.2
194305,66.8,-0.6
194405,74.5,7.1
194505,63.3,-4.1
194605,66.5,-0.9
194705,66.1,-1.3
194805,63.5,-3.9
194905,69.4,2.0
195005,65.9,-1.5
195105,69.1,1.7
195205,65.3,-2.1
195305,68.4,1.0
195405,63.8,-3.6
195505,72.4,5.0
195605,64.3,-3.1
195705,68.8,1.4
195805,63.6,-3.8
195905,71.9,4.5
196005,68.9,1.5
196105,64.3,-3.1
196205,66.5,-0.9
196305,68,0.6
196405,72.5,5.1
196505,72.3,4.9
196605,64.3,-3.1
196705,60.2,-7.2
196805,65.3,-2.1
196905,67.3,-0.1
197005,68.8,1.4
197105,65.1,-2.3
197205,67,-0.4
197305,64.4,-3.0
197405,63.7,-3.7
197505,72.1,4.7
197605,66.9,-0.5
197705,71.5,4.1
197805,67.1,-0.3
197905,68.3,0.9
198005,68.6,1.2
198105,69.5,2.1
198205,69.4,2.0
198305,64,-3.4
198405,66.1,-1.3
198505,69.5,2.1
198605,69.1,1.7
198705,68.5,1.1
198805,67.1,-0.3
198905,68.6,1.2
199005,63.2,-4.2
199105,73.9,6.5
199205,67.8,0.4
199305,69.9,2.5
199405,66.3,-1.1
199505,65.3,-2.1
199605,66.3,-1.1
199705,63.5,-3.9
199805,71.1,3.7
199905,69.3,1.9
200005,67.5,0.1
200105,69.9,2.5
200205,65.8,-1.6
200305,64.3,-3.1
200405,69.8,2.4
200505,61.1,-6.3
200605,65.6,-1.8
200705,71.3,3.9
200805,65.8,-1.6
200905,67.8,0.4
201005,72.7,5.3
201105,68.2,0.8
201205,70.2,2.8
201305,70.1,2.7
201405,68.2,0.8
201505,75.3,7.9
