New Mexico, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,59.1,0.6
189603,60.2,1.7
189703,56.7,-1.8
189803,56.8,-1.7
189903,59.9,1.4
190003,61.6,3.1
190103,57.9,-0.6
190203,54.3,-4.2
190303,56.8,-1.7
190403,62.8,4.3
190503,56.3,-2.2
190603,57.5,-1.0
190703,64.4,5.9
190803,63,4.5
190903,55.1,-3.4
191003,66.4,7.9
191103,60.9,2.4
191203,55.2,-3.3
191303,54.4,-4.1
191403,59.4,0.9
191503,50.9,-7.6
191603,63.8,5.3
191703,56.3,-2.2
191803,61.2,2.7
191903,54.5,-4.0
192003,56,-2.5
192103,62.1,3.6
192203,56.6,-1.9
192303,53.9,-4.6
192403,51.6,-6.9
192503,63.7,5.2
192603,54.9,-3.6
192703,58.4,-0.1
192803,61.5,3.0
192903,56.5,-2.0
193003,56,-2.5
193103,56,-2.5
193203,54.9,-3.6
193303,61.1,2.6
193403,63.9,5.4
193503,60,1.5
193603,60.9,2.4
193703,54.1,-4.4
193803,58.9,0.4
193903,59.4,0.9
194003,61.2,2.7
194103,53.8,-4.7
194203,55.9,-2.6
194303,59.6,1.1
194403,56.8,-1.7
194503,58,-0.5
194603,60.9,2.4
194703,58.6,0.1
194803,51.6,-6.9
194903,59.7,1.2
195003,61.3,2.8
195103,57.5,-1.0
195203,53.3,-5.2
195303,60.8,2.3
195403,57.3,-1.2
195503,59.6,1.1
195603,62.6,4.1
195703,57.2,-1.3
195803,49.4,-9.1
195903,59.3,0.8
196003,60.6,2.1
196103,58,-0.5
196203,53.9,-4.6
196303,59.5,1.0
196403,54.9,-3.6
196503,53.2,-5.3
196603,61.4,2.9
196703,65.5,7.0
196803,56.1,-2.4
196903,51.9,-6.6
197003,54.2,-4.3
197103,62.1,3.6
197203,67.3,8.8
197303,53.4,-5.1
197403,65.3,6.8
197503,57.1,-1.4
197603,59.3,0.8
197703,56.3,-2.2
197803,60.8,2.3
197903,57.3,-1.2
198003,57,-1.5
198103,56.1,-2.4
198203,59.5,1.0
198303,56.4,-2.1
198403,59.1,0.6
198503,58.7,0.2
198603,63.1,4.6
198703,55.6,-2.9
198803,60.1,1.6
198903,66.3,7.8
199003,59.1,0.6
199103,57.5,-1.0
199203,60.1,1.6
199303,60.6,2.1
199403,61.3,2.8
199503,60.3,1.8
199603,60,1.5
199703,64.8,6.3
199803,57.8,-0.7
199903,62.9,4.4
200003,61.3,2.8
200103,58.4,-0.1
200203,61.3,2.8
200303,60.2,1.7
200403,64.5,6.0
200503,56.9,-1.6
200603,60,1.5
200703,63.8,5.3
200803,61.8,3.3
200903,63.2,4.7
201003,58.2,-0.3
201103,66.7,8.2
201203,65.1,6.6
201303,63.4,4.9
201403,62.3,3.8
201503,62.8,4.3
