Wisconsin, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,59,5.1
189604,57.1,3.2
189704,52.9,-1.0
189804,53.9,0.0
189904,58,4.1
190004,59,5.1
190104,58.3,4.4
190204,54.6,0.7
190304,54.9,1.0
190404,48.9,-5.0
190504,53.1,-0.8
190604,58.7,4.8
190704,44.8,-9.1
190804,55.5,1.6
190904,46,-7.9
191004,60.4,6.5
191104,52.5,-1.4
191204,56.9,3.0
191304,57.1,3.2
191404,52.5,-1.4
191504,64.5,10.6
191604,52.4,-1.5
191704,49.8,-4.1
191804,52.7,-1.2
191904,53.6,-0.3
192004,46.9,-7.0
192104,60,6.1
192204,52.6,-1.3
192304,51.5,-2.4
192404,51,-2.9
192504,61.8,7.9
192604,51.4,-2.5
192704,52.6,-1.3
192804,47.9,-6.0
192904,55.1,1.2
193004,57,3.1
193104,58,4.1
193204,52.8,-1.1
193304,51.2,-2.7
193404,51.5,-2.4
193504,50.8,-3.1
193604,47,-6.9
193704,49.4,-4.5
193804,54.7,0.8
193904,50.8,-3.1
194004,50.9,-3.0
194104,60.3,6.4
194204,62.2,8.3
194304,52.3,-1.6
194404,50.4,-3.5
194504,53.5,-0.4
194604,59.2,5.3
194704,49.6,-4.3
194804,59,5.1
194904,56.7,2.8
195004,43.8,-10.1
195104,49.2,-4.7
195204,58.6,4.7
195304,48.3,-5.6
195404,56.1,2.2
195504,61.5,7.6
195604,50.6,-3.3
195704,54.8,0.9
195804,56.3,2.4
195904,54.2,0.3
196004,55,1.1
196104,49,-4.9
196204,52.8,-1.1
196304,58.2,4.3
196404,55.3,1.4
196504,49.4,-4.5
196604,49.7,-4.2
196704,53.5,-0.4
196804,57.2,3.3
196904,56.4,2.5
197004,54.9,1.0
197104,55.2,1.3
197204,48.9,-5.0
197304,51.1,-2.8
197404,55.8,1.9
197504,46.9,-7.0
197604,58.1,4.2
197704,61.6,7.7
197804,52.1,-1.8
197904,49.7,-4.2
198004,56.4,2.5
198104,56.9,3.0
198204,50.4,-3.5
198304,49.1,-4.8
198404,55,1.1
198504,59.1,5.2
198604,59.2,5.3
198704,62.1,8.2
198804,56.8,2.9
198904,52.8,-1.1
199004,57.3,3.4
199104,58.2,4.3
199204,49.3,-4.6
199304,50,-3.9
199404,55.4,1.5
199504,48.5,-5.4
199604,50.1,-3.8
199704,53,-0.9
199804,59.1,5.2
199904,57.8,3.9
200004,54.7,0.8
200104,58.1,4.2
200204,53.2,-0.7
200304,54.7,0.8
200404,57.3,3.4
200504,60.7,6.8
200604,61.7,7.8
200704,54.2,0.3
200804,53.2,-0.7
200904,54.4,0.5
201004,63,9.1
201104,51.4,-2.5
201204,56.8,2.9
201304,46.9,-7.0
201404,50.2,-3.7
201504,57.3,3.4
