Missouri, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,85.1,1.0
189606,83.6,-0.5
189706,84.9,0.8
189806,85.9,1.8
189906,85,0.9
190006,83.9,-0.2
190106,91.4,7.3
190206,81.2,-2.9
190306,77.8,-6.3
190406,80.5,-3.6
190506,86.2,2.1
190606,83,-1.1
190706,81.3,-2.8
190806,81.3,-2.8
190906,83.5,-0.6
191006,81.7,-2.4
191106,92,7.9
191206,80.4,-3.7
191306,88.6,4.5
191406,91.2,7.1
191506,80.7,-3.4
191606,80.4,-3.7
191706,82.7,-1.4
191806,89,4.9
191906,84.9,0.8
192006,83.9,-0.2
192106,86.5,2.4
192206,88,3.9
192306,83.1,-1.0
192406,82.5,-1.6
192506,87.8,3.7
192606,82.7,-1.4
192706,80.1,-4.0
192806,77,-7.1
192906,81.9,-2.2
193006,84.1,0.0
193106,88.4,4.3
193206,85.7,1.6
193306,91.3,7.2
193406,93,8.9
193506,79,-5.1
193606,90.6,6.5
193706,84.6,0.5
193806,82.4,-1.7
193906,84,-0.1
194006,84.3,0.2
194106,84.4,0.3
194206,82.7,-1.4
194306,84.8,0.7
194406,86.6,2.5
194506,78.2,-5.9
194606,84.7,0.6
194706,82,-2.1
194806,84.1,0.0
194906,84.7,0.6
195006,83.1,-1.0
195106,80.2,-3.9
195206,92.7,8.6
195306,92.3,8.2
195406,88.4,4.3
195506,79.7,-4.4
195606,85.5,1.4
195706,83.2,-0.9
195806,82.3,-1.8
195906,84.6,0.5
196006,82.9,-1.2
196106,82.1,-2.0
196206,83.3,-0.8
196306,86.7,2.6
196406,83.2,-0.9
196506,83,-1.1
196606,83.3,-0.8
196706,82.1,-2.0
196806,85.4,1.3
196906,82,-2.1
197006,81.8,-2.3
197106,88,3.9
197206,86.1,2.0
197306,84.7,0.6
197406,80,-4.1
197506,84.1,0.0
197606,82.3,-1.8
197706,85.6,1.5
197806,84.5,0.4
197906,83.5,-0.6
198006,86.5,2.4
198106,84.3,0.2
198206,78.8,-5.3
198306,83.2,-0.9
198406,85.5,1.4
198506,80.8,-3.3
198606,86.5,2.4
198706,87,2.9
198806,89.6,5.5
198906,81.1,-3.0
199006,84.3,0.2
199106,86.2,2.1
199206,80.8,-3.3
199306,82.4,-1.7
199406,85.7,1.6
199506,81.8,-2.3
199606,83.1,-1.0
199706,81.5,-2.6
199806,84,-0.1
199906,82.5,-1.6
200006,81.3,-2.8
200106,82.3,-1.8
200206,85.4,1.3
200306,80,-4.1
200406,81,-3.1
200506,86.7,2.6
200606,85.1,1.0
200706,83.8,-0.3
200806,83.7,-0.4
200906,85.1,1.0
201006,87.7,3.6
201106,86.5,2.4
201206,87.8,3.7
201306,83.3,-0.8
201406,82.8,-1.3
201506,83.4,-0.7
