Mississippi, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,57.6,0.0
189612,59.1,1.5
189712,56.9,-0.7
189812,53.2,-4.4
189912,55.8,-1.8
190012,58.1,0.5
190112,53.8,-3.8
190212,55.5,-2.1
190312,54.5,-3.1
190412,57.4,-0.2
190512,52.1,-5.5
190612,61.5,3.9
190712,57.4,-0.2
190812,61.3,3.7
190912,51.6,-6.0
191012,55.1,-2.5
191112,58.5,0.9
191212,55.5,-2.1
191312,56.5,-1.1
191412,49.8,-7.8
191512,59,1.4
191612,58.6,1.0
191712,51.5,-6.1
191812,61.3,3.7
191912,58.4,0.8
192012,55.7,-1.9
192112,63.6,6.0
192212,64.2,6.6
192312,62.9,5.3
192412,58.1,0.5
192512,55.4,-2.2
192612,61.4,3.8
192712,56.8,-0.8
192812,58.3,0.7
192912,56.8,-0.8
193012,52.9,-4.7
193112,63.5,5.9
193212,54.9,-2.7
193312,67.4,9.8
193412,57.3,-0.3
193512,51.4,-6.2
193612,58.8,1.2
193712,55.8,-1.8
193812,57.9,0.3
193912,61.1,3.5
194012,61.3,3.7
194112,59.8,2.2
194212,58.7,1.1
194312,56.2,-1.4
194412,54.8,-2.8
194512,52.1,-5.5
194612,63.3,5.7
194712,59.4,1.8
194812,60.6,3.0
194912,61.5,3.9
195012,52.7,-4.9
195112,62.9,5.3
195212,57,-0.6
195312,55,-2.6
195412,58.6,1.0
195512,57.8,0.2
195612,65.7,8.1
195712,61.1,3.5
195812,53.5,-4.1
195912,58.1,0.5
196012,53.6,-4.0
196112,57,-0.6
196212,55.4,-2.2
196312,48.1,-9.5
196412,58.4,0.8
196512,60.4,2.8
196612,56,-1.6
196712,59.9,2.3
196812,55.2,-2.4
196912,56.1,-1.5
197012,61.9,4.3
197112,63.7,6.1
197212,57,-0.6
197312,57.6,0.0
197412,57.9,0.3
197512,56.3,-1.3
197612,55,-2.6
197712,56.4,-1.2
197812,59.4,1.8
197912,57.3,-0.3
198012,58,0.4
198112,55,-2.6
198212,61.8,4.2
198312,49.6,-8.0
198412,66.3,8.7
198512,53.9,-3.7
198612,53.8,-3.8
198712,61.1,3.5
198812,59,1.4
198912,48.9,-8.7
199012,61.4,3.8
199112,60.8,3.2
199212,56.4,-1.2
199312,56.5,-1.1
199412,58.8,1.2
199512,55.8,-1.8
199612,61.2,3.6
199712,54.6,-3.0
199812,59.2,1.6
199912,59.3,1.7
200012,48.9,-8.7
200112,62.1,4.5
200212,57.4,-0.2
200312,56.9,-0.7
200412,57.5,-0.1
200512,56.1,-1.5
200612,60.2,2.6
200712,63,5.4
200812,59.1,1.5
200912,53.3,-4.3
201012,53.7,-3.9
201112,58.2,0.6
201212,62.2,4.6
201312,56.7,-0.9
201412,59.8,2.2
201512,66.8,9.2
