Arkansas, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,87.2,-0.5
189606,88.7,1.0
189706,88.9,1.2
189806,88.6,0.9
189906,87.6,-0.1
190006,86.1,-1.6
190106,91.5,3.8
190206,88.7,1.0
190306,81.5,-6.2
190406,85.5,-2.2
190506,87.1,-0.6
190606,87.3,-0.4
190706,85.5,-2.2
190806,85.9,-1.8
190906,86.9,-0.8
191006,84.6,-3.1
191106,93.5,5.8
191206,83.7,-4.0
191306,89.8,2.1
191406,94.5,6.8
191506,86,-1.7
191606,85.5,-2.2
191706,86.9,-0.8
191806,91.6,3.9
191906,86.4,-1.3
192006,85.8,-1.9
192106,88.5,0.8
192206,89,1.3
192306,86.2,-1.5
192406,88.6,0.9
192506,93.8,6.1
192606,88.1,0.4
192706,85.6,-2.1
192806,82.4,-5.3
192906,87.4,-0.3
193006,89.2,1.5
193106,90.4,2.7
193206,89.5,1.8
193306,91.6,3.9
193406,93.2,5.5
193506,84.3,-3.4
193606,94.3,6.6
193706,89.3,1.6
193806,86,-1.7
193906,87.9,0.2
194006,85.9,-1.8
194106,87.3,-0.4
194206,87.4,-0.3
194306,90.2,2.5
194406,90.4,2.7
194506,85,-2.7
194606,86.5,-1.2
194706,87.4,-0.3
194806,89.6,1.9
194906,88.1,0.4
195006,86.7,-1.0
195106,86.2,-1.5
195206,94.7,7.0
195306,96,8.3
195406,92.3,4.6
195506,84.3,-3.4
195606,86.9,-0.8
195706,86.2,-1.5
195806,87.1,-0.6
195906,85.5,-2.2
196006,87,-0.7
196106,84.2,-3.5
196206,86.1,-1.6
196306,89.4,1.7
196406,88.9,1.2
196506,86.3,-1.4
196606,88,0.3
196706,87.2,-0.5
196806,87.8,0.1
196906,87.2,-0.5
197006,86.5,-1.2
197106,90.6,2.9
197206,89.2,1.5
197306,87,-0.7
197406,83,-4.7
197506,86.3,-1.4
197606,83.6,-4.1
197706,90.8,3.1
197806,87.6,-0.1
197906,85.3,-2.4
198006,89.1,1.4
198106,87.9,0.2
198206,84.3,-3.4
198306,85.1,-2.6
198406,89.2,1.5
198506,87.7,0.0
198606,87.7,0.0
198706,88.1,0.4
198806,90.9,3.2
198906,83.6,-4.1
199006,89.1,1.4
199106,87.9,0.2
199206,83.8,-3.9
199306,86.2,-1.5
199406,89.3,1.6
199506,85.5,-2.2
199606,86.8,-0.9
199706,84.6,-3.1
199806,90.6,2.9
199906,86.1,-1.6
200006,84.7,-3.0
200106,86.4,-1.3
200206,87.1,-0.6
200306,82.9,-4.8
200406,84.8,-2.9
200506,89,1.3
200606,87.9,0.2
200706,87.3,-0.4
200806,87.8,0.1
200906,89.6,1.9
201006,92.1,4.4
201106,93.1,5.4
201206,90.9,3.2
201306,87.5,-0.2
201406,85.4,-2.3
201506,87.8,0.1
