Kentucky, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,53.9,-2.6
189603,48.7,-7.8
189703,58.3,1.8
189803,59.4,2.9
189903,54,-2.5
190003,52.1,-4.4
190103,57.2,0.7
190203,56.3,-0.2
190303,61.3,4.8
190403,57.1,0.6
190503,62.1,5.6
190603,45.7,-10.8
190703,64.7,8.2
190803,61.2,4.7
190903,54.1,-2.4
191003,68.4,11.9
191103,57,0.5
191203,49.3,-7.2
191303,56.6,0.1
191403,50.7,-5.8
191503,46.4,-10.1
191603,54.7,-1.8
191703,55.7,-0.8
191803,64.3,7.8
191903,58.6,2.1
192003,56.8,0.3
192103,67.9,11.4
192203,58.2,1.7
192303,57.3,0.8
192403,49.3,-7.2
192503,60.9,4.4
192603,49.4,-7.1
192703,57.1,0.6
192803,55.8,-0.7
192903,62.5,6.0
193003,55,-1.5
193103,48.5,-8.0
193203,50.1,-6.4
193303,55.5,-1.0
193403,54.4,-2.1
193503,63.4,6.9
193603,61.9,5.4
193703,51.9,-4.6
193803,63.6,7.1
193903,60.2,3.7
194003,52.8,-3.7
194103,50.8,-5.7
194203,58.9,2.4
194303,53.6,-2.9
194403,55.6,-0.9
194503,66.8,10.3
194603,66.3,9.8
194703,47.2,-9.3
194803,60.1,3.6
194903,55.6,-0.9
195003,53.5,-3.0
195103,54,-2.5
195203,55.3,-1.2
195303,58.9,2.4
195403,55.1,-1.4
195503,57.8,1.3
195603,56.8,0.3
195703,54.1,-2.4
195803,47.1,-9.4
195903,55.4,-1.1
196003,40.7,-15.8
196103,57.9,1.4
196203,50.9,-5.6
196303,61.8,5.3
196403,57.2,0.7
196503,49,-7.5
196603,58.4,1.9
196703,62,5.5
196803,57.7,1.2
196903,49.7,-6.8
197003,52,-4.5
197103,52.4,-4.1
197203,55.4,-1.1
197303,63.5,7.0
197403,60.7,4.2
197503,51.7,-4.8
197603,62.7,6.2
197703,62.5,6.0
197803,51.3,-5.2
197903,58.4,1.9
198003,51.5,-5.0
198103,54.2,-2.3
198203,59.4,2.9
198303,56.4,-0.1
198403,50.5,-6.0
198503,59.9,3.4
198603,59.3,2.8
198703,60.3,3.8
198803,57.5,1.0
198903,59.8,3.3
199003,59.9,3.4
199103,59.2,2.7
199203,56.8,0.3
199303,51.6,-4.9
199403,56.2,-0.3
199503,61,4.5
199603,51,-5.5
199703,60.1,3.6
199803,56.1,-0.4
199903,52.8,-3.7
200003,62.8,6.3
200103,51.9,-4.6
200203,57.1,0.6
200303,60.9,4.4
200403,60.4,3.9
200503,53.3,-3.2
200603,57.1,0.6
200703,65.8,9.3
200803,56.1,-0.4
200903,59.2,2.7
201003,57.1,0.6
201103,57.9,1.4
201203,70.5,14.0
201303,48.7,-7.8
201403,54.1,-2.4
201503,55.9,-0.6
201603,63,6.5
