North Carolina, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,47.8,-2.8
189601,48,-2.6
189701,46.4,-4.2
189801,53.2,2.6
189901,50.8,0.2
190001,51,0.4
190101,50,-0.6
190201,47.4,-3.2
190301,48.8,-1.8
190401,45.5,-5.1
190501,46,-4.6
190601,52.4,1.8
190701,58.3,7.7
190801,49.2,-1.4
190901,55.4,4.8
191001,50.9,0.3
191101,55.1,4.5
191201,43.3,-7.3
191301,58.9,8.3
191401,53,2.4
191501,49.7,-0.9
191601,56.8,6.2
191701,53.7,3.1
191801,40,-10.6
191901,53.8,3.2
192001,50.3,-0.3
192101,52.5,1.9
192201,47.1,-3.5
192301,53.5,2.9
192401,50.5,-0.1
192501,49.2,-1.4
192601,49.2,-1.4
192701,50.3,-0.3
192801,52.3,1.7
192901,52.1,1.5
193001,52.8,2.2
193101,51.1,0.5
193201,59.7,9.1
193301,57.7,7.1
193401,54.4,3.8
193501,50.5,-0.1
193601,45.9,-4.7
193701,58.5,7.9
193801,49.8,-0.8
193901,54.5,3.9
194001,38.9,-11.7
194101,50,-0.6
194201,50.3,-0.3
194301,52.8,2.2
194401,51.1,0.5
194501,48.3,-2.3
194601,50.9,0.3
194701,55.3,4.7
194801,44.1,-6.5
194901,58.6,8.0
195001,61.7,11.1
195101,52.8,2.2
195201,56.5,5.9
195301,55.5,4.9
195401,52.6,2.0
195501,48.4,-2.2
195601,47.4,-3.2
195701,50.8,0.2
195801,44.9,-5.7
195901,50.7,0.1
196001,50.6,0.0
196101,47.5,-3.1
196201,48.9,-1.7
196301,47.2,-3.4
196401,51.3,0.7
196501,51.9,1.3
196601,44.6,-6.0
196701,53.2,2.6
196801,46.5,-4.1
196901,46.8,-3.8
197001,44.4,-6.2
197101,47.7,-2.9
197201,55.2,4.6
197301,50.3,-0.3
197401,59.8,9.2
197501,55.3,4.7
197601,49,-1.6
197701,38.2,-12.4
197801,43,-7.6
197901,48.2,-2.4
198001,49.2,-1.4
198101,45.4,-5.2
198201,44.9,-5.7
198301,47,-3.6
198401,47,-3.6
198501,44.2,-6.4
198601,50.1,-0.5
198701,47.9,-2.7
198801,44.1,-6.5
198901,55.2,4.6
199001,58,7.4
199101,50.9,0.3
199201,52.3,1.7
199301,52.8,2.2
199401,47,-3.6
199501,51,0.4
199601,48.4,-2.2
199701,50.8,0.2
199801,53.7,3.1
199901,56.8,6.2
200001,49.3,-1.3
200101,50.7,0.1
200201,54.2,3.6
200301,46.6,-4.0
200401,49,-1.6
200501,53.5,2.9
200601,57.7,7.1
200701,54.8,4.2
200801,50.9,0.3
200901,49.1,-1.5
201001,47,-3.6
201101,46.4,-4.2
201201,55.2,4.6
201301,54.2,3.6
201401,47.1,-3.5
201501,50,-0.6
201601,48.4,-2.2
