Nevada, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,43.5,-1.8
189602,49.4,4.1
189702,39.2,-6.1
189802,47.7,2.4
189902,44.5,-0.8
190002,48.4,3.1
190102,43,-2.3
190202,47.2,1.9
190302,31.5,-13.8
190402,47.5,2.2
190502,45.4,0.1
190602,46.1,0.8
190702,52,6.7
190802,45.1,-0.2
190902,43.6,-1.7
191002,40.9,-4.4
191102,37.9,-7.4
191202,48.8,3.5
191302,42.4,-2.9
191402,44.5,-0.8
191502,44.4,-0.9
191602,46.7,1.4
191702,40.4,-4.9
191802,44.2,-1.1
191902,41.4,-3.9
192002,47.8,2.5
192102,48.7,3.4
192202,38,-7.3
192302,39.9,-5.4
192402,52.3,7.0
192502,50.1,4.8
192602,48.3,3.0
192702,45.8,0.5
192802,47,1.7
192902,39.6,-5.7
193002,51.2,5.9
193102,46.4,1.1
193202,38.8,-6.5
193302,32.8,-12.5
193402,51.5,6.2
193502,46.9,1.6
193602,42.9,-2.4
193702,39.3,-6.0
193802,42.4,-2.9
193902,37,-8.3
194002,44.9,-0.4
194102,47.2,1.9
194202,39.9,-5.4
194302,48.3,3.0
194402,40.3,-5.0
194502,44.3,-1.0
194602,44.9,-0.4
194702,51.8,6.5
194802,42.8,-2.5
194902,36.6,-8.7
195002,50,4.7
195102,46.4,1.1
195202,42.6,-2.7
195302,47.9,2.6
195402,52.9,7.6
195502,38.9,-6.4
195602,40,-5.3
195702,49.9,4.6
195802,49.6,4.3
195902,42.8,-2.5
196002,41.2,-4.1
196102,48.4,3.1
196202,41.9,-3.4
196302,54.2,8.9
196402,43.5,-1.8
196502,48.3,3.0
196602,41.3,-4.0
196702,48.9,3.6
196802,50.5,5.2
196902,40,-5.3
197002,51.4,6.1
197102,47.1,1.8
197202,48.8,3.5
197302,43.5,-1.8
197402,45.7,0.4
197502,43.1,-2.2
197602,47.3,2.0
197702,52,6.7
197802,45.4,0.1
197902,42.9,-2.4
198002,48.9,3.6
198102,49.3,4.0
198202,46.3,1.0
198302,45.6,0.3
198402,44.9,-0.4
198502,42.4,-2.9
198602,49.6,4.3
198702,46,0.7
198802,48.7,3.4
198902,40.7,-4.6
199002,42.5,-2.8
199102,54.9,9.6
199202,49.3,4.0
199302,39.7,-5.6
199402,43.4,-1.9
199502,56,10.7
199602,48.6,3.3
199702,45.7,0.4
199802,41.8,-3.5
199902,46.9,1.6
200002,47.8,2.5
200102,42.2,-3.1
200202,48.5,3.2
200302,45.3,0.0
200402,41.7,-3.6
200502,44.8,-0.5
200602,48.4,3.1
200702,48.5,3.2
200802,45.9,0.6
200902,46.1,0.8
201002,45.8,0.5
201102,44.5,-0.8
201202,46.4,1.1
201302,45.2,-0.1
201402,50.7,5.4
201502,55.5,10.2
201602,50.1,4.8
