Nebraska, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,79.2,-2.1
189606,82.9,1.6
189706,80.9,-0.4
189806,82.3,1.0
189906,82.4,1.1
190006,85.2,3.9
190106,82.5,1.2
190206,77.8,-3.5
190306,75.2,-6.1
190406,77.2,-4.1
190506,79.3,-2.0
190606,79.8,-1.5
190706,79.1,-2.2
190806,77.4,-3.9
190906,80.2,-1.1
191006,82.2,0.9
191106,89.7,8.4
191206,77.8,-3.5
191306,83,1.7
191406,84.4,3.1
191506,74.3,-7.0
191606,76.9,-4.4
191706,80,-1.3
191806,87.2,5.9
191906,81.3,0.0
192006,79.6,-1.7
192106,84.6,3.3
192206,85.6,4.3
192306,78.6,-2.7
192406,78.9,-2.4
192506,82.8,1.5
192606,81.4,0.1
192706,77.8,-3.5
192806,73.5,-7.8
192906,79.9,-1.4
193006,80.9,-0.4
193106,89.1,7.8
193206,82,0.7
193306,92.3,11.0
193406,88.8,7.5
193506,77.7,-3.6
193606,86.3,5.0
193706,80.4,-0.9
193806,82.9,1.6
193906,82.7,1.4
194006,85.4,4.1
194106,79.1,-2.2
194206,77.9,-3.4
194306,80.7,-0.6
194406,80.2,-1.1
194506,72.1,-9.2
194606,84,2.7
194706,76.1,-5.2
194806,79.8,-1.5
194906,80.9,-0.4
195006,82.6,1.3
195106,73.2,-8.1
195206,88.8,7.5
195306,86.1,4.8
195406,83.8,2.5
195506,76,-5.3
195606,88.6,7.3
195706,79.2,-2.1
195806,79,-2.3
195906,85.2,3.9
196006,78.8,-2.5
196106,82.1,0.8
196206,77.8,-3.5
196306,85.7,4.4
196406,80.9,-0.4
196506,78.1,-3.2
196606,81.4,0.1
196706,76.3,-5.0
196806,84.5,3.2
196906,76.9,-4.4
197006,82.6,1.3
197106,84.7,3.4
197206,82.7,1.4
197306,83.7,2.4
197406,82.2,0.9
197506,79.3,-2.0
197606,83.3,2.0
197706,84.7,3.4
197806,83.1,1.8
197906,81.1,-0.2
198006,84.5,3.2
198106,84.3,3.0
198206,75.3,-6.0
198306,77.8,-3.5
198406,82,0.7
198506,80.3,-1.0
198606,84.3,3.0
198706,84.9,3.6
198806,89.4,8.1
198906,79.4,-1.9
199006,84.5,3.2
199106,83.3,2.0
199206,76.8,-4.5
199306,77.3,-4.0
199406,83.9,2.6
199506,78.7,-2.6
199606,81.9,0.6
199706,82.3,1.0
199806,77.6,-3.7
199906,78.2,-3.1
200006,82,0.7
200106,81.8,0.5
200206,87.9,6.6
200306,78.2,-3.1
200406,77.6,-3.7
200506,81.7,0.4
200606,86,4.7
200706,81.7,0.4
200806,80.6,-0.7
200906,78.3,-3.0
201006,81.6,0.3
201106,80.8,-0.5
201206,87.9,6.6
201306,82,0.7
201406,80.4,-0.9
201506,81.5,0.2
