North Dakota, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,15.7,-6.3
189602,24.8,2.8
189702,16.8,-5.2
189802,25.6,3.6
189902,8.2,-13.8
190002,14,-8.0
190102,16.7,-5.3
190202,19.4,-2.6
190302,14.6,-7.4
190402,8.4,-13.6
190502,19.4,-2.6
190602,20.3,-1.7
190702,20.6,-1.4
190802,21.7,-0.3
190902,18.6,-3.4
191002,13.1,-8.9
191102,18,-4.0
191202,19.6,-2.4
191302,17.9,-4.1
191402,11.4,-10.6
191502,25.1,3.1
191602,16,-6.0
191702,9,-13.0
191802,21.6,-0.4
191902,15.6,-6.4
192002,22.6,0.6
192102,30.2,8.2
192202,10.2,-11.8
192302,14.8,-7.2
192402,30.5,8.5
192502,25.8,3.8
192602,29.9,7.9
192702,22.3,0.3
192802,27.9,5.9
192902,13.2,-8.8
193002,29.8,7.8
193102,36.7,14.7
193202,23,1.0
193302,18.3,-3.7
193402,28.9,6.9
193502,33,11.0
193602,-4.7,-26.7
193702,15.9,-6.1
193802,16.1,-5.9
193902,9.9,-12.1
194002,22.2,0.2
194102,21.7,-0.3
194202,22.8,0.8
194302,25.3,3.3
194402,22.1,0.1
194502,25.3,3.3
194602,21.3,-0.7
194702,18.4,-3.6
194802,16.8,-5.2
194902,12.6,-9.4
195002,18.9,-3.1
195102,20.7,-1.3
195202,25.2,3.2
195302,27.7,5.7
195402,38.7,16.7
195502,16.8,-5.2
195602,18.9,-3.1
195702,22.3,0.3
195802,21,-1.0
195902,17,-5.0
196002,19.8,-2.2
196102,28.5,6.5
196202,16.6,-5.4
196302,25.1,3.1
196402,31.2,9.2
196502,20.2,-1.8
196602,18.4,-3.6
196702,19.4,-2.6
196802,21.4,-0.6
196902,20.3,-1.7
197002,25.5,3.5
197102,22.2,0.2
197202,15.8,-6.2
197302,28.7,6.7
197402,25,3.0
197502,19.1,-2.9
197602,32.9,10.9
197702,30.9,8.9
197802,13.8,-8.2
197902,9.1,-12.9
198002,22,0.0
198102,29.8,7.8
198202,19.7,-2.3
198302,31.3,9.3
198402,35.6,13.6
198502,21.3,-0.7
198602,19.6,-2.4
198702,34.5,12.5
198802,23.6,1.6
198902,12.7,-9.3
199002,29.5,7.5
199102,35.2,13.2
199202,33.5,11.5
199302,19.3,-2.7
199402,13.1,-8.9
199502,26.1,4.1
199602,24.4,2.4
199702,26.5,4.5
199802,34.3,12.3
199902,31.8,9.8
200002,32.9,10.9
200102,15.9,-6.1
200202,35.1,13.1
200302,19.7,-2.3
200402,24.7,2.7
200502,31.1,9.1
200602,25.3,3.3
200702,16.9,-5.1
200802,21.9,-0.1
200902,20.5,-1.5
201002,18.2,-3.8
201102,19.4,-2.6
201202,32,10.0
201302,25.8,3.8
201402,16.2,-5.8
201502,19.7,-2.3
201602,34.7,12.7
