South Carolina, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,62.6,-3.3
189603,63.5,-2.4
189703,65.6,-0.3
189803,68.5,2.6
189903,65.9,0.0
190003,62.6,-3.3
190103,64.7,-1.2
190203,64.9,-1.0
190303,68.5,2.6
190403,67.2,1.3
190503,69,3.1
190603,61.7,-4.2
190703,74.5,8.6
190803,72.3,6.4
190903,64.5,-1.4
191003,71.5,5.6
191103,66.2,0.3
191203,62.6,-3.3
191303,65.8,-0.1
191403,61,-4.9
191503,56.4,-9.5
191603,65.4,-0.5
191703,65.4,-0.5
191803,70.3,4.4
191903,67,1.1
192003,62.8,-3.1
192103,73.9,8.0
192203,66.2,0.3
192303,67.1,1.2
192403,61.6,-4.3
192503,68.5,2.6
192603,58.7,-7.2
192703,65.5,-0.4
192803,65.1,-0.8
192903,68.3,2.4
193003,60.8,-5.1
193103,59.5,-6.4
193203,63.2,-2.7
193303,66.2,0.3
193403,63.8,-2.1
193503,71.5,5.6
193603,67.9,2.0
193703,64.6,-1.3
193803,72.3,6.4
193903,69.5,3.6
194003,63.1,-2.8
194103,59.5,-6.4
194203,66.2,0.3
194303,63.3,-2.6
194403,65.3,-0.6
194503,75.5,9.6
194603,71.4,5.5
194703,57.3,-8.6
194803,68.1,2.2
194903,66.6,0.7
195003,62.6,-3.3
195103,64.8,-1.1
195203,65.4,-0.5
195303,67,1.1
195403,65.1,-0.8
195503,69.4,3.5
195603,66.3,0.4
195703,62.7,-3.2
195803,58.6,-7.3
195903,63.5,-2.4
196003,53,-12.9
196103,69.2,3.3
196203,60.8,-5.1
196303,70.1,4.2
196403,65.3,-0.6
196503,62,-3.9
196603,64,-1.9
196703,70.1,4.2
196803,67.8,1.9
196903,60.8,-5.1
197003,65.4,-0.5
197103,60.7,-5.2
197203,66.5,0.6
197303,68.2,2.3
197403,71.6,5.7
197503,64.6,-1.3
197603,71,5.1
197703,68.7,2.8
197803,63.7,-2.2
197903,67.7,1.8
198003,61.6,-4.3
198103,64.5,-1.4
198203,68.1,2.2
198303,64.7,-1.2
198403,66.1,0.2
198503,69.8,3.9
198603,67.9,2.0
198703,64.9,-1.0
198803,67.3,1.4
198903,66.3,0.4
199003,69.5,3.6
199103,68.3,2.4
199203,66.1,0.2
199303,62.2,-3.7
199403,70.1,4.2
199503,69.5,3.6
199603,61.6,-4.3
199703,73.6,7.7
199803,63.8,-2.1
199903,64.6,-1.3
200003,71.2,5.3
200103,63.9,-2.0
200203,69,3.1
200303,67.4,1.5
200403,70.7,4.8
200503,64.5,-1.4
200603,66.9,1.0
200703,72.2,6.3
200803,67.9,2.0
200903,65.4,-0.5
201003,64.4,-1.5
201103,67.9,2.0
201203,75.4,9.5
201303,60.6,-5.3
201403,62.6,-3.3
201503,67.8,1.9
