Massachusetts, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,29.7,-5.0
189602,34.1,-0.6
189702,34.7,0.0
189802,36.6,1.9
189902,30.4,-4.3
190002,33.5,-1.2
190102,27.7,-7.0
190202,33.1,-1.6
190302,35.6,0.9
190402,27.9,-6.8
190502,28,-6.7
190602,35.7,1.0
190702,27.4,-7.3
190802,31,-3.7
190902,37.7,3.0
191002,33.7,-1.0
191102,31.8,-2.9
191202,31.3,-3.4
191302,32.4,-2.3
191402,29,-5.7
191502,37.6,2.9
191602,29.9,-4.8
191702,30.6,-4.1
191802,32.7,-2.0
191902,35.9,1.2
192002,30.9,-3.8
192102,36.5,1.8
192202,34.8,0.1
192302,28,-6.7
192402,30.4,-4.3
192502,41.2,6.5
192602,31.3,-3.4
192702,36.1,1.4
192802,34.7,0.0
192902,34.8,0.1
193002,39.3,4.6
193102,35.2,0.5
193202,35,0.3
193302,38.4,3.7
193402,25,-9.7
193502,33.7,-1.0
193602,27.9,-6.8
193702,38.2,3.5
193802,37,2.3
193902,38.1,3.4
194002,34,-0.7
194102,34,-0.7
194202,31.8,-2.9
194302,36.1,1.4
194402,34.6,-0.1
194502,34.9,0.2
194602,33.6,-1.1
194702,33.7,-1.0
194802,32.4,-2.3
194902,39.8,5.1
195002,32.7,-2.0
195102,39.5,4.8
195202,36.9,2.2
195302,40.1,5.4
195402,41.9,7.2
195502,37.3,2.6
195602,36.4,1.7
195702,39.7,5.0
195802,29.6,-5.1
195902,33.4,-1.3
196002,38.9,4.2
196102,37.3,2.6
196202,31.9,-2.8
196302,31.3,-3.4
196402,34.3,-0.4
196502,34.1,-0.6
196602,35.4,0.7
196702,32.4,-2.3
196802,31.1,-3.6
196902,33.5,-1.2
197002,36.7,2.0
197102,34.9,0.2
197202,33.4,-1.3
197302,34.4,-0.3
197402,34.4,-0.3
197502,35.5,0.8
197602,42.3,7.6
197702,34.1,-0.6
197802,30.1,-4.6
197902,25.7,-9.0
198002,32.7,-2.0
198102,42.3,7.6
198202,35.1,0.4
198302,38,3.3
198402,42.2,7.5
198502,37.8,3.1
198602,32.7,-2.0
198702,35.3,0.6
198802,37,2.3
198902,34.7,0.0
199002,40.7,6.0
199102,41.5,6.8
199202,37.1,2.4
199302,31,-3.7
199402,31.9,-2.8
199502,34.7,0.0
199602,34.6,-0.1
199702,41.2,6.5
199802,42.1,7.4
199902,40,5.3
200002,39.3,4.6
200102,37.5,2.8
200202,42.9,8.2
200302,31.8,-2.9
200402,37.4,2.7
200502,38.4,3.7
200602,37.3,2.6
200702,31.1,-3.6
200802,37.2,2.5
200902,38.6,3.9
201002,36.1,1.4
201102,36.6,1.9
201202,43.1,8.4
201302,36,1.3
201402,33.9,-0.8
201502,26,-8.7
