Nevada, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,78.5,-0.9
189606,83.7,4.3
189706,77,-2.4
189806,79.8,0.4
189906,78.6,-0.8
190006,84.3,4.9
190106,76.5,-2.9
190206,82.1,2.7
190306,80,0.6
190406,79.7,0.3
190506,79,-0.4
190606,75.9,-3.5
190706,71.3,-8.1
190806,76.2,-3.2
190906,81.7,2.3
191006,82.3,2.9
191106,78.8,-0.6
191206,79,-0.4
191306,74.9,-4.5
191406,75.4,-4.0
191506,77.9,-1.5
191606,79.1,-0.3
191706,80.9,1.5
191806,87.4,8.0
191906,82.8,3.4
192006,78.7,-0.7
192106,80.8,1.4
192206,83.3,3.9
192306,73.2,-6.2
192406,83.6,4.2
192506,78.2,-1.2
192606,85.4,6.0
192706,80.7,1.3
192806,78.9,-0.5
192906,78.4,-1.0
193006,82,2.6
193106,81.5,2.1
193206,79.2,-0.2
193306,82,2.6
193406,77.1,-2.3
193506,83.7,4.3
193606,82.1,2.7
193706,78.9,-0.5
193806,78.9,-0.5
193906,79.9,0.5
194006,86.1,6.7
194106,75.8,-3.6
194206,78.1,-1.3
194306,73.7,-5.7
194406,72.4,-7.0
194506,74.5,-4.9
194606,80.8,1.4
194706,75.9,-3.5
194806,77.8,-1.6
194906,78.9,-0.5
195006,79.4,0.0
195106,79.5,0.1
195206,76.5,-2.9
195306,76.8,-2.6
195406,77,-2.4
195506,79.3,-0.1
195606,81.5,2.1
195706,81.2,1.8
195806,79.1,-0.3
195906,84.3,4.9
196006,85,5.6
196106,85.4,6.0
196206,79.3,-0.1
196306,72,-7.4
196406,74.7,-4.7
196506,74.8,-4.6
196606,80.1,0.7
196706,74,-5.4
196806,80.9,1.5
196906,74.9,-4.5
197006,78.8,-0.6
197106,77.9,-1.5
197206,80.5,1.1
197306,81.3,1.9
197406,86.1,6.7
197506,77.5,-1.9
197606,78.4,-1.0
197706,83.3,3.9
197806,79.8,0.4
197906,81.6,2.2
198006,77,-2.4
198106,83.6,4.2
198206,76.9,-2.5
198306,77.2,-2.2
198406,76.9,-2.5
198506,84.8,5.4
198606,84.7,5.3
198706,82.2,2.8
198806,81.9,2.5
198906,80.2,0.8
199006,81,1.6
199106,77.1,-2.3
199206,79.4,0.0
199306,75.3,-4.1
199406,84.7,5.3
199506,73.7,-5.7
199606,83.2,3.8
199706,77.7,-1.7
199806,73.6,-5.8
199906,79.4,0.0
200006,84.4,5.0
200106,83.8,4.4
200206,84.2,4.8
200306,84,4.6
200406,83,3.6
200506,76.5,-2.9
200606,85,5.6
200706,84.5,5.1
200806,82,2.6
200906,75.7,-3.7
201006,79.9,0.5
201106,77.7,-1.7
201206,83.4,4.0
201306,85.4,6.0
201406,82.8,3.4
201506,86.6,7.2
