Washington, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,36.7,0.6
189612,39.2,3.1
189712,35.2,-0.9
189812,32.8,-3.3
189912,38.3,2.2
190012,41,4.9
190112,38.1,2.0
190212,34.2,-1.9
190312,35.6,-0.5
190412,38.2,2.1
190512,35.5,-0.6
190612,35.9,-0.2
190712,37.7,1.6
190812,34.1,-2.0
190912,29.9,-6.2
191012,37.5,1.4
191112,36.2,0.1
191212,37.4,1.3
191312,35.9,-0.2
191412,31.2,-4.9
191512,36.2,0.1
191612,30.9,-5.2
191712,41,4.9
191812,36.8,0.7
191912,30.2,-5.9
192012,37.5,1.4
192112,33.9,-2.2
192212,30.1,-6.0
192312,37.4,1.3
192412,31,-5.1
192512,40.3,4.2
192612,35.4,-0.7
192712,31.7,-4.4
192812,35,-1.1
192912,38.8,2.7
193012,34.9,-1.2
193112,33.8,-2.3
193212,34.3,-1.8
193312,41,4.9
193412,37.5,1.4
193512,35.9,-0.2
193612,38.8,2.7
193712,38.3,2.2
193812,38.2,2.1
193912,42.4,6.3
194012,38.8,2.7
194112,38.8,2.7
194212,36.8,0.7
194312,36.7,0.6
194412,34.1,-2.0
194512,35.6,-0.5
194612,37.7,1.6
194712,38.2,2.1
194812,30.9,-5.2
194912,37.2,1.1
195012,40.2,4.1
195112,32.1,-4.0
195212,37.1,1.0
195312,40.6,4.5
195412,37.2,1.1
195512,33.3,-2.8
195612,37.5,1.4
195712,40.8,4.7
195812,38.9,2.8
195912,37.3,1.2
196012,35,-1.1
196112,35.7,-0.4
196212,39.7,3.6
196312,35.7,-0.4
196412,32.5,-3.6
196512,36.9,0.8
196612,40.1,4.0
196712,36.2,0.1
196812,33.3,-2.8
196912,37.2,1.1
197012,34.7,-1.4
197112,33.6,-2.5
197212,32.9,-3.2
197312,39.7,3.6
197412,39.7,3.6
197512,38.8,2.7
197612,38.8,2.7
197712,36.8,0.7
197812,32.7,-3.4
197912,40.7,4.6
198012,39.6,3.5
198112,37.1,1.0
198212,36.1,0.0
198312,28.3,-7.8
198412,30.7,-5.4
198512,29.4,-6.7
198612,35.9,-0.2
198712,35.2,-0.9
198812,36.7,0.6
198912,38.5,2.4
199012,30.5,-5.6
199112,39.5,3.4
199212,32.9,-3.2
199312,37.2,1.1
199412,36.8,0.7
199512,36.8,0.7
199612,33.5,-2.6
199712,38.1,2.0
199812,35.9,-0.2
199912,39.6,3.5
200012,34.5,-1.6
200112,36.9,0.8
200212,39,2.9
200312,36.5,0.4
200412,39.9,3.8
200512,34.9,-1.2
200612,36,-0.1
200712,35.7,-0.4
200812,32.2,-3.9
200912,32.8,-3.3
201012,36.9,0.8
201112,37.6,1.5
201212,37.2,1.1
201312,34.7,-1.4
201412,39.6,3.5
201512,37.2,1.1
