Colorado, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,60.8,4.7
189604,58.3,2.2
189704,55.9,-0.2
189804,59,2.9
189904,58.7,2.6
190004,52.4,-3.7
190104,55.5,-0.6
190204,59.1,3.0
190304,55.6,-0.5
190404,58.3,2.2
190504,53,-3.1
190604,56.2,0.1
190704,55.5,-0.6
190804,59,2.9
190904,51.8,-4.3
191004,60.4,4.3
191104,56.9,0.8
191204,52.5,-3.6
191304,57.6,1.5
191404,55.6,-0.5
191504,57.9,1.8
191604,55.2,-0.9
191704,51.2,-4.9
191804,50.5,-5.6
191904,55.7,-0.4
192004,47.2,-8.9
192104,53.4,-2.7
192204,52.4,-3.7
192304,55,-1.1
192404,54.8,-1.3
192504,60.8,4.7
192604,56,-0.1
192704,56.8,0.7
192804,54.2,-1.9
192904,53.9,-2.2
193004,62.6,6.5
193104,57,0.9
193204,58.2,2.1
193304,53.2,-2.9
193404,61.4,5.3
193504,54.2,-1.9
193604,58.8,2.7
193704,56.6,0.5
193804,57.2,1.1
193904,58.9,2.8
194004,56.8,0.7
194104,51.6,-4.5
194204,57.7,1.6
194304,63.8,7.7
194404,49.9,-6.2
194504,51,-5.1
194604,63.6,7.5
194704,54.2,-1.9
194804,59.6,3.5
194904,57.4,1.3
195004,58.2,2.1
195104,53.5,-2.6
195204,56.2,0.1
195304,52.3,-3.8
195404,63.4,7.3
195504,56.9,0.8
195604,55.3,-0.8
195704,50.2,-5.9
195804,51.7,-4.4
195904,55.8,-0.3
196004,59.1,3.0
196104,53.9,-2.2
196204,59.7,3.6
196304,58.8,2.7
196404,53.8,-2.3
196504,57,0.9
196604,56.7,0.6
196704,58.2,2.1
196804,52.2,-3.9
196904,59.7,3.6
197004,51.2,-4.9
197104,56,-0.1
197204,58.6,2.5
197304,49.8,-6.3
197404,55.8,-0.3
197504,52.7,-3.4
197604,57,0.9
197704,58.7,2.6
197804,58.4,2.3
197904,56.4,0.3
198004,53.3,-2.8
198104,63.3,7.2
198204,56.1,0.0
198304,48.7,-7.4
198404,50,-6.1
198504,59.1,3.0
198604,57.9,1.8
198704,60.5,4.4
198804,58.5,2.4
198904,61.1,5.0
199004,58.3,2.2
199104,55.3,-0.8
199204,62.9,6.8
199304,55.1,-1.0
199404,56.8,0.7
199504,52.6,-3.5
199604,58.2,2.1
199704,51.3,-4.8
199804,54.3,-1.8
199904,52.6,-3.5
200004,61.9,5.8
200104,59.6,3.5
200204,62.6,6.5
200304,59.3,3.2
200404,57.4,1.3
200504,57.5,1.4
200604,62.8,6.7
200704,56.6,0.5
200804,55.8,-0.3
200904,55.4,-0.7
201004,57.2,1.1
201104,56.8,0.7
201204,62.8,6.7
201304,53.5,-2.6
201404,57.1,1.0
201504,58.6,2.5
