New Mexico, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,68.3,1.1
189604,69.8,2.6
189704,67.7,0.5
189804,68.7,1.5
189904,68.1,0.9
190004,62,-5.2
190104,65.9,-1.3
190204,71.6,4.4
190304,66,-1.2
190404,69.9,2.7
190504,61.3,-5.9
190604,64.9,-2.3
190704,67.3,0.1
190804,66,-1.2
190904,67.1,-0.1
191004,69.4,2.2
191104,66.6,-0.6
191204,62.1,-5.1
191304,66.6,-0.6
191404,67.4,0.2
191504,64.3,-2.9
191604,66,-1.2
191704,66,-1.2
191804,64.5,-2.7
191904,66.2,-1.0
192004,61.6,-5.6
192104,64.9,-2.3
192204,64.3,-2.9
192304,64.8,-2.4
192404,65,-2.2
192504,71.7,4.5
192604,62.5,-4.7
192704,69.4,2.2
192804,65.4,-1.8
192904,67.8,0.6
193004,72.5,5.3
193104,64.5,-2.7
193204,68.6,1.4
193304,63.8,-3.4
193404,70.4,3.2
193504,67,-0.2
193604,69.4,2.2
193704,68.5,1.3
193804,67.9,0.7
193904,69,1.8
194004,67.6,0.4
194104,60.4,-6.8
194204,65.9,-1.3
194304,73.3,6.1
194404,64.2,-3.0
194504,65.7,-1.5
194604,73.7,6.5
194704,66.7,-0.5
194804,71.7,4.5
194904,66.1,-1.1
195004,70.9,3.7
195104,65.7,-1.5
195204,66,-1.2
195304,66.8,-0.4
195404,73.7,6.5
195504,67.7,0.5
195604,66.9,-0.3
195704,64.5,-2.7
195804,63.5,-3.7
195904,67.9,0.7
196004,70.3,3.1
196104,67.8,0.6
196204,70.8,3.6
196304,69.7,2.5
196404,65.6,-1.6
196504,68,0.8
196604,68.4,1.2
196704,69.8,2.6
196804,63.5,-3.7
196904,69.6,2.4
197004,64.7,-2.5
197104,66.8,-0.4
197204,71.6,4.4
197304,60.6,-6.6
197404,68.4,1.2
197504,63.4,-3.8
197604,67.6,0.4
197704,67.1,-0.1
197804,70.7,3.5
197904,67,-0.2
198004,65.5,-1.7
198104,71.2,4.0
198204,67.1,-0.1
198304,60.5,-6.7
198404,65.5,-1.7
198504,69.2,2.0
198604,69.6,2.4
198704,67.1,-0.1
198804,67.4,0.2
198904,74.2,7.0
199004,68.1,0.9
199104,68.6,1.4
199204,71,3.8
199304,68.7,1.5
199404,68.4,1.2
199504,65.5,-1.7
199604,70.3,3.1
199704,62.7,-4.5
199804,64.3,-2.9
199904,66.1,-1.1
200004,72.6,5.4
200104,70.8,3.6
200204,74.3,7.1
200304,69.9,2.7
200404,65.1,-2.1
200504,68,0.8
200604,73.6,6.4
200704,67.4,0.2
200804,69.4,2.2
200904,68.1,0.9
201004,68.2,1.0
201104,72.6,5.4
201204,73.7,6.5
201304,69.5,2.3
201404,68.7,1.5
201504,68.3,1.1
