Illinois, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,48.7,-1.0
189603,44,-5.7
189703,48,-1.7
189803,52.2,2.5
189903,41.8,-7.9
190003,43.3,-6.4
190103,47.3,-2.4
190203,50.8,1.1
190303,54,4.3
190403,47.7,-2.0
190503,55,5.3
190603,37.2,-12.5
190703,56.9,7.2
190803,53.7,4.0
190903,47.6,-2.1
191003,63.6,13.9
191103,52.5,2.8
191203,38.7,-11.0
191303,46.9,-2.8
191403,46.6,-3.1
191503,42.5,-7.2
191603,48,-1.7
191703,51.2,1.5
191803,59.5,9.8
191903,52.1,2.4
192003,51.1,1.4
192103,60.1,10.4
192203,50.3,0.6
192303,46.5,-3.2
192403,42,-7.7
192503,54.8,5.1
192603,42.8,-6.9
192703,52,2.3
192803,50.4,0.7
192903,56.2,6.5
193003,49.7,0.0
193103,43.7,-6.0
193203,41.9,-7.8
193303,48.5,-1.2
193403,46.2,-3.5
193503,55.4,5.7
193603,54,4.3
193703,45.6,-4.1
193803,58.1,8.4
193903,52.9,3.2
194003,45.1,-4.6
194103,44.8,-4.9
194203,52.3,2.6
194303,46.5,-3.2
194403,45,-4.7
194503,61.1,11.4
194603,62.1,12.4
194703,41.9,-7.8
194803,48.9,-0.8
194903,49.6,-0.1
195003,45.2,-4.5
195103,45.1,-4.6
195203,46.7,-3.0
195303,50.9,1.2
195403,47.3,-2.4
195503,50.5,0.8
195603,50.9,1.2
195703,48.9,-0.8
195803,43.1,-6.6
195903,50.4,0.7
196003,34.5,-15.2
196103,51.1,1.4
196203,43.9,-5.8
196303,54.2,4.5
196403,48.3,-1.4
196503,39.2,-10.5
196603,52.5,2.8
196703,51.9,2.2
196803,54.6,4.9
196903,44.6,-5.1
197003,45,-4.7
197103,46.7,-3.0
197203,49.5,-0.2
197303,56,6.3
197403,53.3,3.6
197503,44.2,-5.5
197603,56.3,6.6
197703,55.5,5.8
197803,42.1,-7.6
197903,48.3,-1.4
198003,44.3,-5.4
198103,52.1,2.4
198203,48.7,-1.0
198303,49.2,-0.5
198403,40,-9.7
198503,54.3,4.6
198603,54.5,4.8
198703,55.1,5.4
198803,51.3,1.6
198903,50.2,0.5
199003,54,4.3
199103,53.9,4.2
199203,52.6,2.9
199303,44.9,-4.8
199403,51.8,2.1
199503,53.9,4.2
199603,44.9,-4.8
199703,53.4,3.7
199803,48.4,-1.3
199903,48.5,-1.2
200003,57.5,7.8
200103,46.8,-2.9
200203,47.7,-2.0
200303,52.8,3.1
200403,55,5.3
200503,48.9,-0.8
200603,51.2,1.5
200703,58.5,8.8
200803,48.4,-1.3
200903,54.3,4.6
201003,53.6,3.9
201103,50.6,0.9
201203,66.8,17.1
201303,42.3,-7.4
201403,45.3,-4.4
201503,49,-0.7
201603,56.9,7.2
